ID	Label	Parent_class	part_of	OBO_Validated	validation_date
ID	LABEL	SC %	SC part_of some %	>A CCFH:IN_OBO	>A dc:date
UBERON:0002351	sinoatrial node				
UBERON:0002302	myocardium of atrium				
UBERON:0002049	vasculature				
UBERON:0035422	circumflex branch of left coronary artery				
UBERON:0005438	coronary sinus				
UBERON:0002352	atrioventricular node				
UBERON:0001625	right coronary artery				
UBERON:0002302	myocardium of atrium				
UBERON:0002049	vasculature				
UBERON:0006566	left ventricle myocardium		UBERON:0002084	True	2021-01-19T19:29:46.458652
UBERON:0002049	vasculature				
UBERON:0002094	interventricular septum		UBERON:0000948	True	2021-01-19T19:29:47.690893
UBERON:0002353	atrioventricular bundle				
UBERON:0002349	myocardium				
UBERON:0006567	right ventricle myocardium		UBERON:0002080	True	2021-01-19T19:29:49.717903
UBERON:0002049	vasculature				
UBERON:0002080	heart right ventricle		UBERON:0000948	True	2021-01-19T19:29:50.928844
UBERON:0002134	Tricuspid valve	UBERON:0000946		True	2021-01-19T19:29:51.735880
UBERON:0002146	Pulmonary Valve	UBERON:0000946		True	2021-01-19T19:29:52.561074
UBERON:0002135	Mitral valve	UBERON:0000946		True	2021-01-19T19:29:53.368394
UBERON:0002137	Aortic valve	UBERON:0000946		True	2021-01-19T19:29:54.175906
UBERON:0002348	epicardium		UBERON:0000948	True	2021-01-19T19:29:54.573885
