ID	Label	Parent_class	part_of	OBO_Validated	validation_date
ID	LABEL	SC %	SC part_of some %	>A CCFH:IN_OBO	>A dc:date
UBERON:0004641	spleen capsule		UBERON:0002106	True	2020-10-07T13:55:00.194171
UBERON:0001265	trabecula of spleen		UBERON:0002106	True	2020-10-07T13:55:00.581954
UBERON:1000023	spleen pulp		UBERON:0002106	True	2020-10-07T13:55:00.958206
UBERON:0001251	marginal zone of spleen		UBERON:0002106	True	2020-10-07T13:55:01.353948
UBERON:0005353	spleen perifollicular zone		UBERON:0002106	True	2020-10-07T13:55:01.751676
UBERON:0001248	hilum of spleen		UBERON:0002106	True	2020-10-07T13:55:02.149210
UBERON:0001250	red pulp of spleen	UBERON:1000023		True	2020-10-07T13:55:02.979998
UBERON:0001959	white pulp of spleen	UBERON:1000023		True	2020-10-07T13:55:03.786220
UBERON:0001266	splenic cord		UBERON:0001250	True	2020-10-07T13:55:04.183775
UBERON:0001249	spleen lymphoid follicle		UBERON:0001959	True	2020-10-07T13:55:04.581331
UBERON:0001960	periarterial lymphatic sheath		UBERON:0001959	True	2020-10-07T13:55:04.973650
UBERON:0004041	spleen primary B follicle	UBERON:0001249		True	2020-10-07T13:55:05.764637
UBERON:0004042	spleen secondary B follicle	UBERON:0001249		True	2020-10-07T13:55:06.564027
UBERON:0005196	spleen germinal center		UBERON:0004042	True	2020-10-07T13:55:06.962403
UBERON:0010421	spleen B cell corona		UBERON:0004042	True	2020-10-07T13:55:07.361065
