ID,Label,Parent_class,OBO_Validated_isa,validation_date_isa,part_of,OBO_Validated_po,validation_date_po
ID,LABEL,SC %,>A CCFH:IN_OBO,>A dc:date,SC part_of some %,>A CCFH:IN_OBO,>A dc:date
UBERON:0003126,Trachea,,,,,,
UBERON:0001004,Respiratory System,,,,,,
UBERON:0003126,,,,,UBERON:0001004,True,2021-09-27T15:39:35.757294
UBERON:0001901,epithelium of trachea,,,,,,
UBERON:0003126,Trachea,,,,,,
UBERON:0001901,,,,,UBERON:0003126,True,2021-09-27T15:39:36.238881
UBERON:0003387,smooth muscle of trachea,,,,,,
UBERON:0003126,Trachea,,,,,,
UBERON:0003387,,,,,UBERON:0003126,True,2021-09-27T15:39:36.654447
UBERON:0005203,trachea gland,,,,,,
UBERON:0003126,Trachea,,,,,,
UBERON:0005203,,,,,UBERON:0003126,True,2021-09-27T15:39:37.081567
UBERON:0003604,trachea cartilage,,,,,,
UBERON:0003126,Trachea,,,,,,
UBERON:0003604,,,,,UBERON:0003126,True,2021-09-27T15:39:37.481174
UBERON:0003505,trachea blood vessel,,,,,,
UBERON:0003126,Trachea,,,,,,
UBERON:0003505,,,,,UBERON:0003126,True,2021-09-27T15:39:37.907720
UBERON:0007149,inferior thyroid artery,,,,,,
UBERON:0003505,trachea blood vessel,,,,,,
UBERON:0007149,,,,,,,
UBERON:0002040,bronchial artery,,,,,,
UBERON:0003505,trachea blood vessel,,,,,,
UBERON:0002040,,,,,,,
UBERON:0004848,respiratory system arterial endothelium,,,,,,
UBERON:0002040,bronchial artery,,,,,,
UBERON:0004848,,,,,,,
UBERON:0012416,lung arterial smooth muscle,,,,,,
UBERON:0002040,bronchial artery,,,,,,
UBERON:0012416,,,,,,,
UBERON:0007156,inferior thyroid vein,,,,,,
UBERON:0003505,trachea blood vessel,,,,,,
UBERON:0007156,,,,,,,
UBERON:0001592,bronchial vein,,,,,,
UBERON:0003505,trachea blood vessel,,,,,,
UBERON:0001592,,,,,,,
UBERON:0004849,respiratory system venous endothelium,,,,,,
UBERON:0001592,bronchial vein,,,,,,
UBERON:0004849,,,,,,,
UBERON:0012418,lung venous smooth muscle,,,,,,
UBERON:0001592,bronchial vein,,,,,,
UBERON:0012418,,,,,,,
UBERON:0002177,Right Main Bronchus,,,,,,
UBERON:0001004,Respiratory System,,,,,,
UBERON:0002177,,,,,UBERON:0001004,True,2021-09-27T15:39:46.099673
UBERON:0002339,epithelium of lobar bronchus,,,,,,
UBERON:0002177,Right Main Bronchus,,,,,,
UBERON:0002339,,,,,,,
UBERON:0001102,cartilage of main bronchus,,,,,,
UBERON:0002177,Right Main Bronchus,,,,,,
UBERON:0001102,,,,,,,
UBERON:0004889,lobar bronchus vasculature,,,,,,
UBERON:0002177,Right Main Bronchus,,,,,,
UBERON:0004889,,,,,,,
UBERON:0019190,mucous gland of lung,,,,,,
UBERON:0002177,Right Main Bronchus,,,,,,
UBERON:0019190,,,,,,,
UBERON:0001651,right pulmonary artery,,,,,,
UBERON:0002049,vasculature,,,,,,
UBERON:0001651,,,,,UBERON:0002049,True,2021-09-27T15:39:50.400679
UBERON:0005317,Pulmonary artery endothelium,,,,,,
UBERON:0001651,right pulmonary artery,,,,,,
UBERON:0005317,,,,,,,
UBERON:0002178,Left Main Bronchus,,,,,,
UBERON:0001004,Respiratory System,,,,,,
UBERON:0002178,,,,,UBERON:0001004,True,2021-09-27T15:39:51.729713
UBERON:0002339,epithelium of lobar bronchus,,,,,,
UBERON:0002178,Left Main Bronchus,,,,,,
UBERON:0002339,,,,,,,
UBERON:0001102,cartilage of main bronchus,,,,,,
UBERON:0002178,Left Main Bronchus,,,,,,
UBERON:0001102,,,,,,,
UBERON:0004889,lobar bronchus vasculature,,,,,,
UBERON:0002178,Left Main Bronchus,,,,,,
UBERON:0004889,,,,,,,
UBERON:0002040,bronchial artery,,,,,,
UBERON:0004889,lobar bronchus vasculature,,,,,,
UBERON:0002040,,,,,,,
UBERON:0004695,arterial system smooth muscle,,,,,,
UBERON:0002040,bronchial artery,,,,,,
UBERON:0004695,,,,,,,
UBERON:0001592,bronchial vein,,,,,,
UBERON:0004889,lobar bronchus vasculature,,,,,,
UBERON:0001592,,,,,,,
UBERON:0004696,venous system smooth muscle,,,,,,
UBERON:0001592,bronchial vein,,,,,,
UBERON:0004696,,,,,,,
UBERON:0019190,mucous gland of lung,,,,,,
UBERON:0002178,Left Main Bronchus,,,,,,
UBERON:0019190,,,,,,,
UBERON:0001652,left pulmonary artery,,,,,,
UBERON:0002049,vasculature,,,,,,
UBERON:0001652,,,,,UBERON:0002049,True,2021-09-27T15:39:59.826241
UBERON:0005317,Pulmonary artery endothelium,,,,,,
UBERON:0001652,left pulmonary artery,,,,,,
UBERON:0005317,,,,,,,
UBERON:0002167,Right Lung,,,,,,
UBERON:0001004,Respiratory System,,,,,,
UBERON:0002167,,,,,UBERON:0001004,True,2021-09-27T15:40:01.380536
UBERON:0002171,Lower Lobe of Right Lung,,,,,,
UBERON:0002167,Right Lung,,,,,,
UBERON:0002171,,,,,UBERON:0002167,True,2021-09-27T15:40:02.000397
UBERON:0002168,Left Lung,,,,,,
UBERON:0001004,Respiratory System,,,,,,
UBERON:0002168,,,,,UBERON:0001004,True,2021-09-27T15:40:02.481581
UBERON:0002339,epithelium of lobar bronchus,,,,,,
UBERON:0002184,Right Apical Segmental Bronchus,,,,,,
UBERON:0002339,,,,,,,
UBERON:0004884,lobar bronchus mesenchyme,,,,,,
UBERON:0002184,Right Apical Segmental Bronchus,,,,,,
UBERON:0004884,,,,,,,
UBERON:0001102,cartilage of main bronchus,,,,,,
UBERON:0002184,Right Apical Segmental Bronchus,,,,,,
UBERON:0001102,,,,,,,
UBERON:0004889,lobar bronchus vasculature,,,,,,
UBERON:0002184,Right Apical Segmental Bronchus,,,,,,
UBERON:0004889,,,,,,,
UBERON:0019190,mucous gland of lung,,,,,,
UBERON:0002184,Right Apical Segmental Bronchus,,,,,,
UBERON:0019190,,,,,,,
UBERON:0004903,bronchoalveolar duct junction,,,,,,
UBERON:0002187,terminal bronchiole,,,,,,
UBERON:0004903,,,,,,,
UBERON:0002188,respiratory bronchiole,,,,,,
UBERON:0008874,Pulmonary Acinus,,,,,,
UBERON:0002188,,,,,UBERON:0008874,True,2021-09-27T15:40:08.032262
UBERON:0002173,pulmonary alveolar duct,,,,,,
UBERON:0008874,Pulmonary Acinus,,,,,,
UBERON:0002173,,,,,,,
UBERON:0008870,pulmonary alveolar parenchyma,,,,,,
UBERON:0008874,Pulmonary Acinus,,,,,,
UBERON:0008870,,,,,UBERON:0008874,True,2021-09-27T15:40:09.345236
UBERON:0016405,pulmonary capilllary,,,,,,
UBERON:0008870,pulmonary alveolar parenchyma,,,,,,
UBERON:0016405,,,,,,,
UBERON:0003529,respiratory system lymphatic vessel endothelium,,,,,,
UBERON:0018227,pulmonary lymphatic vessel,,,,,,
UBERON:0003529,,,,,,,
UBERON:0004296,respiratory system lymphatic vessel smooth muscle,,,,,,
UBERON:0018227,pulmonary lymphatic vessel,,,,,,
UBERON:0004296,,,,,,,
UBERON:0002048,Lung,,,,,,
UBERON:0001004,Respiratory System,,,,,,
UBERON:0002048,,,,,UBERON:0001004,True,2021-09-27T15:40:12.503788
