ID,Label,User_label,Parent_class,OBO_Validated_isa,validation_date_isa,part_of,OBO_Validated_po,validation_date_po,overlaps,OBO_Validated_overlaps,validation_date_overlaps,connected_to,OBO_Validated_ct,validation_date_ct,develops_from,OBO_Validated_df,validation_date_df,has_part,OBO_Validated_hp,validation_date_hp
ID,LABEL,A skos:prefLabel,SC %,>A CCFH:IN_OBO,>A dc:date,SC part_of some %,>A CCFH:IN_OBO,>A dc:date,SC overlaps some %,>A CCFH:IN_OBO,>A dc:date,SC connected_to some %,>A CCFH:IN_OBO,>A dc:date,SC develops_from some %,>A CCFH:IN_OBO,>A dc:date,SC has_part some %,>A CCFH:IN_OBO,>A dc:date
UBERON:0016632,,isthmus of fallopian tube,,,,,,,,,,,,,,,,,,
UBERON:0003889,,fallopian tube,,,,,,,,,,,,,,,,,,
UBERON:0012499,,serosa of Fallopian tube,,,,,,,,,,,,,,,,,,
UBERON:0016632,,isthmus of fallopian tube,,,,,,,,,,,,,,,,,,
UBERON:0006642,,muscle layer of oviduct,,,,,,,,,,,,,,,,,,
UBERON:0016632,,isthmus of fallopian tube,,,,,,,,,,,,,,,,,,
UBERON:0005048,,mucosa of uterine tube,,,,,,,,,,,,,,,,,,
UBERON:0016632,,isthmus of fallopian tube,,,,,,,,,,,,,,,,,,
UBERON:0004804,,oviduct epithelium,,,,,,,,,,,,,,,,,,
UBERON:0005048,,mucosa of uterine tube,,,,,,,,,,,,,,,,,,
UBERON:0007589,,ciliated columnar oviduct epithelium,,,,,,,,,,,,,,,,,,
UBERON:0004804,,oviduct epithelium,,,,,,,,,,,,,,,,,,
UBERON:0007590,,cuboidal oviduct epithelium,,,,,,,,,,,,,,,,,,
UBERON:0004804,,oviduct epithelium,,,,,,,,,,,,,,,,,,
UBERON:0012648,,ampulla of uterine tube,,,,,,,,,,,,,,,,,,
UBERON:0003889,,fallopian tube,,,,,,,,,,,,,,,,,,
UBERON:0012499,,serosa of Fallopian tube,,,,,,,,,,,,,,,,,,
UBERON:0012648,,ampulla of uterine tube,,,,,,,,,,,,,,,,,,
UBERON:0006642,,muscle layer of oviduct,,,,,,,,,,,,,,,,,,
UBERON:0012648,,ampulla of uterine tube,,,,,,,,,,,,,,,,,,
UBERON:0005048,,mucosa of uterine tube,,,,,,,,,,,,,,,,,,
UBERON:0012648,,ampulla of uterine tube,,,,,,,,,,,,,,,,,,
UBERON:0003984,,uterine tube infundibulum,,,,,,,,,,,,,,,,,,
UBERON:0003889,,fallopian tube,,,,,,,,,,,,,,,,,,
UBERON:0012499,,serosa of Fallopian tube,,,,,,,,,,,,,,,,,,
UBERON:0003984,,uterine tube infundibulum,,,,,,,,,,,,,,,,,,
UBERON:0006642,,muscle layer of oviduct,,,,,,,,,,,,,,,,,,
UBERON:0003984,,uterine tube infundibulum,,,,,,,,,,,,,,,,,,
UBERON:0005048,,mucosa of uterine tube,,,,,,,,,,,,,,,,,,
UBERON:0003984,,uterine tube infundibulum,,,,,,,,,,,,,,,,,,
UBERON:8410010,,fimbria of uterine tube,,,,,,,,,,,,,,,,,,
UBERON:0003889,,fallopian tube,,,,,,,,,,,,,,,,,,
UBERON:0012499,,serosa of Fallopian tube,,,,,,,,,,,,,,,,,,
UBERON:8410010,,fimbria of uterine tube,,,,,,,,,,,,,,,,,,
UBERON:0006642,,muscle layer of oviduct,,,,,,,,,,,,,,,,,,
UBERON:8410010,,fimbria of uterine tube,,,,,,,,,,,,,,,,,,
UBERON:0005048,,mucosa of uterine tube,,,,,,,,,,,,,,,,,,
UBERON:8410010,,fimbria of uterine tube,,,,,,,,,,,,,,,,,,
UBERON:0012331,,mesosalpinx,,,,,,,,,,,,,,,,,,
UBERON:0003889,,fallopian tube,,,,,,,,,,,,,,,,,,
UBERON:0007590,,,UBERON:0004804,True,2021-12-27T07:05:54.663506,,,,,,,,,,,,,,,
UBERON:0007589,,,UBERON:0004804,True,2021-12-27T07:05:54.663525,,,,,,,,,,,,,,,
UBERON:0016632,,,UBERON:0003889,True,2021-12-27T07:05:54.663528,,,,,,,,,,,,,,,
UBERON:8410010,,,UBERON:0003889,True,2021-12-27T07:05:54.663531,,,,,,,,,,,,,,,
UBERON:0012648,,,,,,UBERON:0003889,True,2021-12-27T07:05:54.917636,,,,,,,,,,,,
