ID	LABEL	TYPE	Parent
ID	A rdfs:label	TYPE	I ccf_part_of
UBERON:0000569	cecum	owl:NamedIndividual	UBERON:0000059
UBERON:0004989	mucosa	owl:NamedIndividual	UBERON:0000569
UBERON:0000397	lymphocyte	owl:NamedIndividual	UBERON:0004989
UBERON:0011184	crypt epithelium	owl:NamedIndividual	UBERON:0004989
UBERON:0000317	mucosa	owl:NamedIndividual	UBERON:0000569
UBERON:0000397	lymphocyte	owl:NamedIndividual	UBERON:0000317
UBERON:0013485	crypt 	owl:NamedIndividual	UBERON:0000317
UBERON:0007177	lamina propria	owl:NamedIndividual	UBERON:0000317
UBERON:0001962	gut associated lymphoid tissue (GALT)/Isolated lymphoid follices (ILF)	owl:NamedIndividual	UBERON:0000317
UBERON:0007178	muscularis mucosa	owl:NamedIndividual	UBERON:0000569
UBERON:0007178	muscularis mucosa	owl:NamedIndividual	UBERON:0007178
UBERON:0003331	submucosa	owl:NamedIndividual	UBERON:0000569
UBERON:0003331	submucosa	owl:NamedIndividual	UBERON:0003331
UBERON:0001962	gut associated lymphoid tissue (GALT)/Isolated lymphoid follices (ILF)	owl:NamedIndividual	UBERON:0003331
UBERON:0005304	submucosal plexus of Henle	owl:NamedIndividual	UBERON:0003331
UBERON:0012489	muscularis propria 	owl:NamedIndividual	UBERON:0000569
UBERON:0012398	circular muscle layer	owl:NamedIndividual	UBERON:0012489
UBERON:0002439	myenteric plexus of Auerbach	owl:NamedIndividual	UBERON:0012489
UBERON:0012399	longitudinal muscle layer	owl:NamedIndividual	UBERON:0012489
UBERON:0012375	subserosa	owl:NamedIndividual	UBERON:0000569
UBERON:0012375	subserosa	owl:NamedIndividual	UBERON:0012375
UBERON:0003335	serosa	owl:NamedIndividual	UBERON:0000569
UBERON:0003335	serosa	owl:NamedIndividual	UBERON:0003335
UBERON:0001153	cecum	owl:NamedIndividual	UBERON:0000059
UBERON:0004989	mucosa	owl:NamedIndividual	UBERON:0001153
UBERON:0000317	mucosa	owl:NamedIndividual	UBERON:0001153
UBERON:0007178	muscularis mucosa	owl:NamedIndividual	UBERON:0001153
UBERON:0003331	submucosa	owl:NamedIndividual	UBERON:0001153
UBERON:0012489	muscularis propria 	owl:NamedIndividual	UBERON:0001153
UBERON:0012375	subserosa	owl:NamedIndividual	UBERON:0001153
UBERON:0003335	serosa	owl:NamedIndividual	UBERON:0001153
UBERON:0001154	appendix	owl:NamedIndividual	UBERON:0000059
UBERON:0004989	mucosa	owl:NamedIndividual	UBERON:0001154
UBERON:0013485	crypt 	owl:NamedIndividual	UBERON:0004989
UBERON:0007177	lamina propria	owl:NamedIndividual	UBERON:0004989
UBERON:0001962	gut associated lymphoid tissue (GALT)/Isolated lymphoid follices (ILF)	owl:NamedIndividual	UBERON:0004989
UBERON:0007178	muscularis mucosa	owl:NamedIndividual	UBERON:0001154
UBERON:0004928	submucosa	owl:NamedIndividual	UBERON:0001154
UBERON:0003331	submucosa	owl:NamedIndividual	UBERON:0004928
UBERON:0001962	gut associated lymphoid tissue (GALT)/Isolated lymphoid follices (ILF)	owl:NamedIndividual	UBERON:0004928
UBERON:0005304	submucosal plexus of Henle	owl:NamedIndividual	UBERON:0004928
UBERON:0012489	muscularis propria 	owl:NamedIndividual	UBERON:0001154
UBERON:0012375	subserosa	owl:NamedIndividual	UBERON:0001154
UBERON:0012498	serosa	owl:NamedIndividual	UBERON:0001154
UBERON:0003335	serosa	owl:NamedIndividual	UBERON:0012498
UBERON:0001156	ascending colon	owl:NamedIndividual	UBERON:0000059
UBERON:0004989	mucosa	owl:NamedIndividual	UBERON:0001156
UBERON:0000317	mucosa	owl:NamedIndividual	UBERON:0001156
UBERON:0007178	muscularis mucosa	owl:NamedIndividual	UBERON:0001156
UBERON:0003331	submucosa	owl:NamedIndividual	UBERON:0001156
UBERON:0012489	muscularis propria 	owl:NamedIndividual	UBERON:0001156
UBERON:0012375	subserosa	owl:NamedIndividual	UBERON:0001156
UBERON:0012419	omental coli	owl:NamedIndividual	UBERON:0001156
UBERON:0012419	omental coli	owl:NamedIndividual	UBERON:0012419
UBERON:0003335	serosa	owl:NamedIndividual	UBERON:0001156
