ID,Label,Parent_class,OBO_Validated_isa,validation_date_isa,part_of,OBO_Validated_po,validation_date_po
ID,LABEL,SC %,>A CCFH:IN_OBO,>A dc:date,SC part_of some %,>A CCFH:IN_OBO,>A dc:date
UBERON:0000569,ileocecal valve,,,,,,
UBERON:0000059,large intestine,,,,,,
UBERON:0000569,,,,,,,
UBERON:0004989,mucosa,,,,,,
UBERON:0000569,ileocecal valve,,,,,,
UBERON:0004989,,,,,,,
UBERON:0000397,colonic epithelium,,,,,,
UBERON:0004989,mucosa,,,,,,
UBERON:0000397,,,,,,,
UBERON:0011184,epithelium of crypt of Lieberkuhn,,,,,,
UBERON:0004989,mucosa,,,,,,
UBERON:0011184,,,,,,,
UBERON:0000317,colonic mucosa,,,,,,
UBERON:0000569,ileocecal valve,,,,,,
UBERON:0000317,,,,,,,
UBERON:0000397,colonic epithelium,,,,,,
UBERON:0000317,colonic mucosa,,,,,,
UBERON:0000397,,,,,,,
UBERON:0013485,crypt,,,,,,
UBERON:0000317,colonic mucosa,,,,,,
UBERON:0013485,,,,,UBERON:0000317,True,2021-09-27T15:37:24.969559
UBERON:0007177,lamina propria,,,,,,
UBERON:0000317,colonic mucosa,,,,,,
UBERON:0007177,,,,,UBERON:0000317,True,2021-09-27T15:37:25.402331
UBERON:0001962,gut-associated lymphoid tissue,,,,,,
UBERON:0000317,colonic mucosa,,,,,,
UBERON:0001962,,,,,,,
UBERON:0007178,muscularis mucosae of colon,,,,,,
UBERON:0000569,ileocecal valve,,,,,,
UBERON:0007178,,,,,,,
UBERON:0007178,muscularis mucosae of colon,,,,,,
UBERON:0007178,muscularis mucosae of colon,,,,,,
UBERON:0007178,,UBERON:0007178,True,2021-09-27T15:37:28.151914,,,
UBERON:0003331,submucosa of colon,,,,,,
UBERON:0000569,ileocecal valve,,,,,,
UBERON:0003331,,,,,,,
UBERON:0003331,submucosa of colon,,,,,,
UBERON:0003331,submucosa of colon,,,,,,
UBERON:0003331,,UBERON:0003331,True,2021-09-27T15:37:30.366201,,,
UBERON:0001962,gut-associated lymphoid tissue,,,,,,
UBERON:0003331,submucosa of colon,,,,,,
UBERON:0001962,,,,,,,
UBERON:0005304,submucosal plexus of Henle,,,,,,
UBERON:0003331,submucosa of colon,,,,,,
UBERON:0005304,,,,,,,
UBERON:0012489,muscle layer of colon,,,,,,
UBERON:0000569,ileocecal valve,,,,,,
UBERON:0012489,,,,,,,
UBERON:0012398,circular muscle layer,,,,,,
UBERON:0012489,muscle layer of colon,,,,,,
UBERON:0012398,,,,,,,
UBERON:0002439,myenteric plexus of Auerbach,,,,,,
UBERON:0012489,muscle layer of colon,,,,,,
UBERON:0002439,,,,,,,
UBERON:0012399,longitudinal muscle layer,,,,,,
UBERON:0012489,muscle layer of colon,,,,,,
UBERON:0012399,,,,,,,
UBERON:0012375,subserosa,,,,,,
UBERON:0000569,ileocecal valve,,,,,,
UBERON:0012375,,,,,,,
UBERON:0012375,subserosa,,,,,,
UBERON:0012375,subserosa,,,,,,
UBERON:0012375,,UBERON:0012375,True,2021-09-27T15:37:39.329153,,,
UBERON:0003335,serosa,,,,,,
UBERON:0000569,ileocecal valve,,,,,,
UBERON:0003335,,,,,,,
UBERON:0003335,serosa,,,,,,
UBERON:0003335,serosa,,,,,,
UBERON:0003335,,UBERON:0003335,True,2021-09-27T15:37:41.790796,,,
UBERON:0001153,cecum,,,,,,
UBERON:0000059,large intestine,,,,,,
UBERON:0001153,,,,,UBERON:0000059,True,2021-09-27T15:37:42.195740
UBERON:0004989,mucosa,,,,,,
UBERON:0001153,cecum,,,,,,
UBERON:0004989,,,,,,,
UBERON:0000317,colonic mucosa,,,,,,
UBERON:0001153,cecum,,,,,,
UBERON:0000317,,,,,,,
UBERON:0007178,muscularis mucosae of colon,,,,,,
UBERON:0001153,cecum,,,,,,
UBERON:0007178,,,,,,,
UBERON:0003331,submucosa of colon,,,,,,
UBERON:0001153,cecum,,,,,,
UBERON:0003331,,,,,,,
UBERON:0012489,muscle layer of colon,,,,,,
UBERON:0001153,cecum,,,,,,
UBERON:0012489,,,,,,,
UBERON:0012375,subserosa,,,,,,
UBERON:0001153,cecum,,,,,,
UBERON:0012375,,,,,,,
UBERON:0003335,serosa,,,,,,
UBERON:0001153,cecum,,,,,,
UBERON:0003335,,,,,,,
UBERON:0001154,vermiform appendix,,,,,,
UBERON:0000059,large intestine,,,,,,
UBERON:0001154,,,,,UBERON:0000059,True,2021-09-27T15:37:49.057042
UBERON:0004989,mucosa,,,,,,
UBERON:0001154,vermiform appendix,,,,,,
UBERON:0004989,,,,,UBERON:0001154,True,2021-09-27T15:37:49.466270
UBERON:0013485,crypt,,,,,,
UBERON:0004989,mucosa,,,,,,
UBERON:0013485,,,,,,,
UBERON:0007177,lamina propria,,,,,,
UBERON:0004989,mucosa,,,,,,
UBERON:0007177,,,,,,,
UBERON:0001962,gut-associated lymphoid tissue,,,,,,
UBERON:0004989,mucosa,,,,,,
UBERON:0001962,,,,,,,
UBERON:0007178,muscularis mucosae of colon,,,,,,
UBERON:0001154,vermiform appendix,,,,,,
UBERON:0007178,,,,,,,
UBERON:0004928,submucosa of appendix,,,,,,
UBERON:0001154,vermiform appendix,,,,,,
UBERON:0004928,,,,,UBERON:0001154,True,2021-09-27T15:37:54.457731
UBERON:0003331,submucosa of colon,,,,,,
UBERON:0004928,submucosa of appendix,,,,,,
UBERON:0003331,,,,,,,
UBERON:0001962,gut-associated lymphoid tissue,,,,,,
UBERON:0004928,submucosa of appendix,,,,,,
UBERON:0001962,,,,,,,
UBERON:0005304,submucosal plexus of Henle,,,,,,
UBERON:0004928,submucosa of appendix,,,,,,
UBERON:0005304,,,,,,,
UBERON:0003331,submucosa of colon,,,,,,
UBERON:0001154,vermiform appendix,,,,,,
UBERON:0003331,,,,,,,
UBERON:0012489,muscle layer of colon,,,,,,
UBERON:0001154,vermiform appendix,,,,,,
UBERON:0012489,,,,,,,
