ID	LABEL	TYPE	Parent
ID	A rdfs:label	TYPE	I ccf_part_of
UBERON:0002194	capsule of lymph node	owl:NamedIndividual	UBERON:0002194
UBERON:0002195	trabecula of lymph node	owl:NamedIndividual	UBERON:0002194
UBERON:0002006	cortex of lymph node	owl:NamedIndividual	UBERON:0000029
UBERON:0010395	lymph node primary follicle	owl:NamedIndividual	UBERON:0002006
UBERON:0009039		owl:NamedIndividual	UBERON:0010753
UBERON:0010420	lymph node follicular corona	owl:NamedIndividual	UBERON:0009039
UBERON:0009744	lymph node medullary sinus	owl:NamedIndividual	UBERON:0002007
UBERON:0009745	lymph node medullary cord	owl:NamedIndividual	UBERON:0002007
UBERON:0002007	medulla of lymph node	owl:NamedIndividual	UBERON:0002007
UBERON:0010397	efferent lymphatic vessel	owl:NamedIndividual	UBERON:0035495
UBERON:0035495	hilum of lymph node	owl:NamedIndividual	UBERON:0000029
