	ID	Label	Equivalent axioms	Equivalent relationship axioms
0	ID	LABEL	EC %	EC located in some %
1		mature eosinophil of mucosa-associated lymphoid tissue	CL:0000041	UBERON:0001961
2		mature eosinophil of crypt	CL:0000041	UBERON:0013485
3		mature eosinophil of crypt of Lieberkuhn of colon	CL:0000041	UBERON:0013485
4		mature eosinophil of mucosa-associated lymphoid tissue	CL:0000041	UBERON:0001961
5		mature neutrophil of gut-associated lymphoid tissue	CL:0000096	UBERON:0001962
6		nan of gut-associated lymphoid tissue	CL:0000096	UBERON:0001962
7		nan of gut-associated lymphoid tissue	CL:0000096	UBERON:0001962
8		mast cell of mucosa-associated lymphoid tissue	CL:0000097	UBERON:0001961
9		mast cell of mucosa-associated lymphoid tissue	CL:0000097	UBERON:0001961
10		macrophage of mucosa-associated lymphoid tissue	CL:0000235	UBERON:0001961
11		macrophage of gut-associated lymphoid tissue	CL:0000235	UBERON:0001962
12		macrophage of gut-associated lymphoid tissue	CL:0000235	UBERON:0001962
13		macrophage of mucosa-associated lymphoid tissue	CL:0000235	UBERON:0001961
14		B cell of mucosa-associated lymphoid tissue	CL:0000236	UBERON:0001961
15		B cell of mucosa-associated lymphoid tissue	CL:0000236	UBERON:0001961
16		dendritic cell of gut-associated lymphoid tissue	CL:0000451	UBERON:0001962
17		dendritic cell of mucosa-associated lymphoid tissue	CL:0000451	UBERON:0001961
18		dendritic cell of mucosa-associated lymphoid tissue	CL:0000451	UBERON:0001961
19		dendritic cell of gut-associated lymphoid tissue	CL:0000451	UBERON:0001962
20		T-helper 1 cell of mucosa-associated lymphoid tissue	CL:0000545	UBERON:0001961
21		T-helper 1 cell of mucosa-associated lymphoid tissue	CL:0000545	UBERON:0001961
22		erythroid lineage cell of Bone marrow	CL:0000764	UBERON:0002371
23		erythroid lineage cell of Bone marrow	CL:0000764	UBERON:0002371
24		erythroid lineage cell of Bone marrow	CL:0000764	UBERON:0002371
25		nan of gut-associated lymphoid tissue	CL:0000786	UBERON:0001962
26		plasma cell of gut-associated lymphoid tissue	CL:0000786	UBERON:0001962
27		CD4-positive, alpha-beta intraepithelial T cell of colonic epithelium	CL:0000793	UBERON:0000397
28		CD4-positive, alpha-beta intraepithelial T cell of colonic epithelium	CL:0000793	UBERON:0000397
29		CD4-positive, alpha-beta intraepithelial T cell of colonic epithelium	CL:0000793	UBERON:0000397
30		CD8-alpha-beta-positive, alpha-beta intraepithelial T cell of colonic epithelium	CL:0000796	UBERON:0000397
31		CD8-alpha-beta-positive, alpha-beta intraepithelial T cell of colonic epithelium	CL:0000796	UBERON:0000397
32		regulatory T cell of mucosa-associated lymphoid tissue	CL:0000815	UBERON:0001961
33		regulatory T cell of mucosa-associated lymphoid tissue	CL:0000815	UBERON:0001961
34		cytotoxic T cell of mucosa-associated lymphoid tissue	CL:0000910	UBERON:0001961
35		cytotoxic T cell of mucosa-associated lymphoid tissue	CL:0000910	UBERON:0001961
36		CD4-negative, CD8-negative, alpha-beta intraepithelial T cell of colonic epithelium	CL:0000935	UBERON:0000397
37		CD4-negative, CD8-negative, alpha-beta intraepithelial T cell of colonic epithelium	CL:0000935	UBERON:0000397
38		CD4-negative, CD8-negative, alpha-beta intraepithelial T cell of colonic epithelium	CL:0000935	UBERON:0000397
39		conventional dendritic cell of Bone marrow	CL:0000990	UBERON:0002371
40		conventional dendritic cell of Bone marrow	CL:0000990	UBERON:0002371
41		dermal dendritic cell of dermis	CL:0001006	UBERON:0002067
42		dermal dendritic cell of dermis	CL:0001006	UBERON:0002067
43		dermal dendritic cell of dermis	CL:0001006	UBERON:0002067
44		dermal dendritic cell of dermis	CL:0001006	UBERON:0002067
45		CD1c-positive myeloid dendritic cell of Blood	CL:0002399	UBERON:0000178
46		CD1c-positive myeloid dendritic cell of Blood	CL:0002399	UBERON:0000178
47		lymphocyte of large intestine lamina propria of gut-associated lymphoid tissue	CL:0009018	UBERON:0001962
48		lymphocyte of large intestine lamina propria of gut-associated lymphoid tissue	CL:0009018	UBERON:0001962
49		lymphocyte of large intestine lamina propria of gut-associated lymphoid tissue	CL:0009018	UBERON:0001962
50		lymphocyte of large intestine lamina propria of gut-associated lymphoid tissue	CL:0009018	UBERON:0001962
51		nan of gut-associated lymphoid tissue	CL:0009018	UBERON:0001962
52		lymphocyte of large intestine lamina propria of gut-associated lymphoid tissue	CL:0009018	UBERON:0001962
53		lymphocyte of large intestine lamina propria of gut-associated lymphoid tissue	CL:0009018	UBERON:0001962
54		lymphocyte of large intestine lamina propria of gut-associated lymphoid tissue	CL:0009018	UBERON:0001962
55		macrophage of gut-associated lymphoid tissue	CL:0009018	UBERON:0001962
56		lymphocyte of large intestine lamina propria of gut-associated lymphoid tissue	CL:0009018	UBERON:0001962
57		lymphocyte of large intestine lamina propria of gut-associated lymphoid tissue	CL:0009018	UBERON:0001962
58		lymphocyte of large intestine lamina propria of gut-associated lymphoid tissue	CL:0009018	UBERON:0001962
59		lymphocyte of large intestine lamina propria of gut-associated lymphoid tissue	CL:0009018	UBERON:0001962
60		lymphocyte of large intestine lamina propria of gut-associated lymphoid tissue	CL:0009018	UBERON:0001962
61		lymphocyte of large intestine lamina propria of gut-associated lymphoid tissue	CL:0009018	UBERON:0001962
62		lymphocyte of large intestine lamina propria of gut-associated lymphoid tissue	CL:0009018	UBERON:0001962
63		nan of gut-associated lymphoid tissue	CL:0009018	UBERON:0001962
