AS/1	AS/1/LABEL	AS/1/ID	AS/2	AS/2/LABEL	AS/2/ID	AS/3	AS/3/LABEL	AS/3/ID	AS/4	AS/4/LABEL	AS/4/ID	AS/5	AS/5/LABEL	AS/5/ID	A S/6	A S/6/LABEL	A S/6/ID	CT/1	CT/1/LABEL	CT/1/ID												
spleen	spleen	UBERON:0002106	Splenic Pulp	spleen pulp	UBERON:1000023	Red Pulp  Vasculature of the spleen?	red pulp of spleen	UBERON:0001250	Artery	Splenic Artery	UBERON:0001194							Blood Endothelial Cells	endothelial cell of venous sinus of red pulp of spleen		CD34+, CD141+	CD34, PECAM1, VWF (General splenic vasculature endothelial cell signature, Qiu et al., 2017 DOI 10.1182/ bloodadvances.2017015073)	1	Steiniger et al., 2015 	https://doi.org/10.1111/imm.12469	AS-CT, CT-B						
spleen	spleen	UBERON:0002106	Splenic Pulp	spleen pulp	UBERON:1000023	Red Pulp  Vasculature of the spleen?	red pulp of spleen	UBERON:0001250	Artery	Splenic Artery	UBERON:0001194							Catecholaminergic Nerve	neuron		DBH+, PGP9.5+, S100+, TH+		1	Thomas J.M. Verlinden, Paul van Dijk, Jill Hikspoors, Andreas Herrler, Wouter H. Lamers, S. Eleonore Köhler, Innervation of the human spleen: A complete hilum-embedding approach, Brain, Behavior, and Immunity, Volume 77, 2019, Pages 92-100, ISSN 0889-1591, https://doi.org/10.1016/j.bbi.2018.12.009.	https://doi.org/10.1016/j.bbi.2018.12.009							
spleen	spleen	UBERON:0002106	Splenic Pulp	spleen pulp	UBERON:1000023	Red Pulp  Vasculature of the spleen?	red pulp of spleen	UBERON:0001250	Spleen central arteriole	Spleen central arteriole	UBERON:0010401	Penincillar Arteriole	Penicillar Arteriole	UBERON:0013132				Blood Endothelial Cells	endothelial cell of venous sinus of red pulp of spleen		CD34+, CD141+	CD34, PECAM1, VWF (General splenic vasculature endothelial cell signature, Qiu et al., 2017 DOI 10.1182/ bloodadvances.2017015073)	1	Steiniger et al., 2015 	https://doi.org/10.1111/imm.12469	AS-CT, CT-B						
spleen	spleen	UBERON:0002106	Splenic Pulp	spleen pulp	UBERON:1000023	Red Pulp  Vasculature of the spleen?	red pulp of spleen	UBERON:0001250	Spleen central arteriole	Spleen central arteriole	UBERON:0010401	Penincillar Arteriole	Penicillar Arteriole	UBERON:0013132				Naive B Cell			CD20+, IgD++	CD19, CD79A, MS4A1 (General B signature, Madissoon et al., 2020 https://genomebiology.biomedcentral.com/articles/10.1186/s13059-019-1906-x#Sec12)	1	Steiniger et al., 2015	https://doi.org/10.1111/imm.12469	AS-CT, CT-B	Steiniger et al., 2014	https://doi.org/10.1007/s00418-013-1172-z	AS-CT, CT-B			
spleen	spleen	UBERON:0002107	Splenic Pulp	spleen pulp	UBERON:1000023	Red Pulp  Vasculature of the spleen?	red pulp of spleen	UBERON:0001250	Spleen central arteriole	Spleen central arteriole	UBERON:0010401	Penincillar Arteriole	Penicillar Arteriole	UBERON:0013132				Memory-Like B Cell			CD20+, IgM+	CD19, CD79A, MS4A1 (General B signature, Madissoon et al., 2020 https://genomebiology.biomedcentral.com/articles/10.1186/s13059-019-1906-x#Sec12)	1	Steiniger et al., 2014	https://doi.org/10.1007/s00418-013-1172-z	AS-CT, CT-B						
spleen	spleen	UBERON:0002108	Splenic Pulp	spleen pulp	UBERON:1000023	Red Pulp  Vasculature of the spleen?	red pulp of spleen	UBERON:0001250	Spleen central arteriole	Spleen central arteriole	UBERON:0010401	Penincillar Arteriole	Penicillar Arteriole	UBERON:0013132				Switched B Cell			CD20+, Ig+	CD19, CD79A, MS4A1 (General B signature, Madissoon et al., 2020 https://genomebiology.biomedcentral.com/articles/10.1186/s13059-019-1906-x#Sec12)	1	Steiniger et al., 2014	https://doi.org/10.1007/s00418-013-1172-z	AS-CT, CT-B						
spleen	spleen	UBERON:0002106	Splenic Pulp	spleen pulp	UBERON:1000023	Red Pulp  Vasculature of the spleen?	red pulp of spleen	UBERON:0001250	Spleen central arteriole	Spleen central arteriole	UBERON:0010401	Penincillar Arteriole	Penicillar Arteriole	UBERON:0013132				Adventitial Stromal Cell			CD271+/-		1	Steiniger et al., 2015	https://doi.org/10.1111/imm.12469	AS-CT, CT-B						
spleen	spleen	UBERON:0002106	Splenic Pulp	spleen pulp	UBERON:1000023	Red Pulp  Vasculature of the spleen?	red pulp of spleen	UBERON:0001250	Spleen central arteriole	Spleen central arteriole	UBERON:0010401	Penincillar Arteriole	Penicillar Arteriole	UBERON:0013132				Stromal Cell (non-FRC/non-FDC)			CD271-, CK8/18+, MAdCAM-1+, Smooth Muscle Actin+		1	Steiniger et al., 2015	https://doi.org/10.1111/imm.12469	AS-CT, CT-B						
spleen	spleen	UBERON:0002106	Splenic Pulp	spleen pulp	UBERON:1000023	Red Pulp  Vasculature of the spleen?	red pulp of spleen	UBERON:0001250	Spleen central arteriole	Spleen central arteriole	UBERON:0010401	Penincillar Arteriole	Penicillar Arteriole	UBERON:0013132				Smooth Muscle Cell			Smooth Muscle Actin+		1	Steiniger et al., 2015	https://doi.org/10.1111/imm.12469	AS-CT, CT-B						
spleen	spleen	UBERON:0002106	Splenic Pulp	spleen pulp	UBERON:1000023	Red Pulp	red pulp of spleen	UBERON:0001250	Red pulp vasculature	NOT FOUND	NOT FOUND	Arterial Capillary	NOT FOUND	NOT FOUND				Blood Endothelial Cells	endothelial cell of venous sinus of red pulp of spleen		CD34+, CD141+	CD34, PECAM1, VWF (General splenic vasculature endothelial cell signature, Qiu et al., 2017 DOI 10.1182/ bloodadvances.2017015073)	1	Steiniger B, Stachniss V, Schwarzbach H, Barth PJ. Phenotypic differences between red pulp capillary and sinusoidal endothelia help localizing the open splenic circulation in humans. Histochem Cell Biol. 2007 Nov;128(5):391-8. doi: 10.1007/s00418-007-0320-8. Epub 2007 Sep 12. PMID: 17849140.	https://link.springer.com/article/10.1007/s00418-007-0320-8							
spleen	spleen	UBERON:0002106	Splenic Pulp	spleen pulp	UBERON:1000023	Red Pulp	red pulp of spleen	UBERON:0001250	Red pulp vasculature	NOT FOUND	NOT FOUND	Sheathed Capillary	NOT FOUND	NOT FOUND				Blood Endothelial Cells			CD31+, CD34+, CD106+, vWF+	CD34, PECAM1, VWF (General splenic vasculature endothelial cell signature, Qiu et al., 2017 DOI 10.1182/ bloodadvances.2017015073)	1	Wilkins, B., & Wright, D. (2000). Illustrated Pathology of the Spleen. Cambridge: Cambridge University Press. doi:10.1017/CBO9780511545979	https://doi.org/10.1017/CBO9780511545979							
spleen	spleen	UBERON:0002106	Splenic Pulp	spleen pulp	UBERON:1000023	Red Pulp	red pulp of spleen	UBERON:0001250	Red pulp vasculature	NOT FOUND	NOT FOUND	Sheathed Capillary	NOT FOUND	NOT FOUND				Pericytes			CD271+, Smooth Muscle Actin+		1	Steiniger et al., 2018	https://doi.org/10.1371/journal.pone.0191019		Steiniger, B.S., Pfeffer, H., Guthe, M. et al. Exploring human splenic red pulp vasculature in virtual reality: details of sheathed capillaries and the open capillary network. Histochem Cell Biol (2020). https://doi.org/10.1007/s00418-020-01924-3	https://doi.org/10.1007/s00418-020-01924-3				
spleen	spleen	UBERON:0002106	Splenic Pulp	spleen pulp	UBERON:1000023	Red Pulp	red pulp of spleen	UBERON:0001250	Red pulp vasculature	NOT FOUND	NOT FOUND	Sheathed Capillary	NOT FOUND	NOT FOUND				Stromal Sheath Cell			CXCL13+, CD271++		1	Steiniger et al., 2015	https://doi.org/10.1111/imm.12469	AS-CT, CT-B						
spleen	spleen	UBERON:0002106	Splenic Pulp	spleen pulp	UBERON:1000023	Red Pulp	red pulp of spleen	UBERON:0001250	Red pulp vasculature	NOT FOUND	NOT FOUND	Sheathed Capillary	NOT FOUND	NOT FOUND				Macrophages			CD68+, CD163-, CD169-/++, CD271-	APOE, CD5L (General macrophage signature, Madissoon et al., 2020 https://genomebiology.biomedcentral.com/articles/10.1186/s13059-019-1906-x#Sec12)	1	Steiniger et al., 2015	https://doi.org/10.1111/imm.12469	AS-CT, CT-B						
