Terminal AS/ID	Terminal AS/label	Terminal AS/user_label	Terminal CT/ID	Terminal CT/label	Terminal CT/user_label	Markers	References	Table
UBERON:0000006	islet of Langerhans	Islet of Langerhans	CL:0000235	macrophage	Macrophage	HGNC:1631, HGNC:1693, HGNC:352, HGNC:7228		Pancreas
UBERON:0000006	islet of Langerhans	Islet of Langerhans	CL:0000235	macrophage	Macrophage	HGNC:1693, HGNC:352		Pancreas
UBERON:0000178	Blood	Blood	CL:0000897	CD4-positive, alpha-beta memory T cell	CD4 T cell memory	HGNC:11362, HGNC:11892, HGNC:12029, HGNC:12729, HGNC:1608, HGNC:1673, HGNC:1674, HGNC:1678, HGNC:1706, HGNC:19129, HGNC:19383, HGNC:6001, HGNC:6015, HGNC:6817, HGNC:7849, HGNC:8109, HGNC:9666, HGNC:9721		multi_loc
UBERON:0000178	Blood	Blood	CL:0000897	CD4-positive, alpha-beta memory T cell	CD4 T cell memory	HGNC:12029, HGNC:1608, HGNC:1673, HGNC:1674, HGNC:1678, HGNC:1706, HGNC:2360, HGNC:26974, HGNC:4054, HGNC:537, HGNC:6563, HGNC:9666		multi_loc
UBERON:0000178	Blood	Blood	CL:0000897	CD4-positive, alpha-beta memory T cell	CD4 T cell memory	HGNC:1608, HGNC:16647, HGNC:1674, HGNC:1678, HGNC:1706, HGNC:2360, HGNC:26974, HGNC:4709, HGNC:6134, HGNC:9360, HGNC:9666		multi_loc
UBERON:0000178	Blood	Blood	CL:0002399	CD1c-positive myeloid dendritic cell	dendritic cell type 3 (DC3)	HGNC:10498, HGNC:10499, HGNC:11784, HGNC:1628, HGNC:1631, HGNC:1633, HGNC:1636, HGNC:1636, HGNC:1663, HGNC:1674, HGNC:16916, HGNC:3609, HGNC:3619, HGNC:4947, HGNC:6012, HGNC:6152, HGNC:7656	DOI:10.1002/cyto.a.23724	multi_loc
UBERON:0000178	Blood	Blood	CL:0002399	CD1c-positive myeloid dendritic cell	dendritic cell type 2 (DC2)	HGNC:11784, HGNC:1628, HGNC:1633, HGNC:1636, HGNC:1636, HGNC:1674, HGNC:16916, HGNC:3609, HGNC:3618, HGNC:3619, HGNC:4940, HGNC:4943, HGNC:4947, HGNC:6012, HGNC:6152, HGNC:7656	DOI:10.1016/j.immuni.2017.04.019	multi_loc
UBERON:0000397	colonic epithelium	lymphcyte	CL:0000793	CD4-positive, alpha-beta intraepithelial T cell	surface intraepithelial CD4+ lymphocyte	HGNC:1639, HGNC:1673, HGNC:1673, HGNC:1676, HGNC:1676, HGNC:1678, HGNC:1678, HGNC:1685, HGNC:1685, HGNC:1695, HGNC:1695, HGNC:1695	DOI:10.1093/intimm/7.9.1473|PMID:7495755	Large_intestine
UBERON:0000397	colonic epithelium	epithelium	CL:0000793	CD4-positive, alpha-beta intraepithelial T cell	surface intraepithelial CD4+ lymphocyte	HGNC:1639, HGNC:1639, HGNC:1673, HGNC:1673, HGNC:1676, HGNC:1676, HGNC:1678, HGNC:1678, HGNC:1685, HGNC:1685, HGNC:1695, HGNC:1695	DOI:10.1093/intimm/7.9.1473|PMID:7495755	multi_loc
UBERON:0000397	colonic epithelium	lymphocyte	CL:0000935	CD4-negative, CD8-negative, alpha-beta intraepithelial T cell	surface intraepithelial CD4-CD8- lymphocyte alpha/beta	HGNC:1639, HGNC:1673, HGNC:1673, HGNC:1676, HGNC:1676, HGNC:1685, HGNC:1685, HGNC:1695, HGNC:1695, HGNC:1695	DOI:10.1093/intimm/7.9.1473|PMID:7495755	multi_loc
UBERON:0000397	colonic epithelium	epithelium	CL:0000935	CD4-negative, CD8-negative, alpha-beta intraepithelial T cell	surface intraepithelial CD4-CD8- lymphocyte alpha/beta	HGNC:1639, HGNC:1639, HGNC:1673, HGNC:1673, HGNC:1676, HGNC:1676, HGNC:1685, HGNC:1685, HGNC:1695, HGNC:921	DOI:10.1093/intimm/7.9.1473|PMID:7495755	multi_loc
