Terminal AS/ID	Terminal AS/label	Terminal AS/user_label	Terminal CT/ID	Terminal CT/label	Terminal CT/user_label	Markers	References
UBERON:0005215	kidney interstitium	Interstitium	CL:0000084	T cell	T Cell	HGNC:11935, HGNC:1673, HGNC:1675, HGNC:1677, HGNC:16892	DOI:10.1038/s41467-019-10861-2|DOI:10.1038/s41467-019-10861-2|DOI:10.1038/s41586-020-2941-1|DOI:10.1172/jci.insight.133267|DOI:10.1126/science.aat5031|PMID:31249312|PMCID:PMC6597610
UBERON:0005215	kidney interstitium	Interstitium	CL:0000097	mast cell	Mast cell	HGNC:2298, HGNC:6342, HGNC:7316	DOI:10.1101/2021.07.28.454201|DOI:10.1038/s41467-019-10861-2|DOI:10.1038/s41586-020-2941-1|DOI:10.1172/jci.insight.133267
UBERON:0001986	endothelium	Endothelium (non glomerular)	CL:0000115	endothelial cell	Endothelial Cell	HGNC:16041, HGNC:3763, HGNC:8823, HGNC:8823	DOI:10.1038/s41467-019-10861-2|DOI:10.1038/s41467-019-10861-2|DOI:10.1172/jci.insight.133267|PMID:31249312|PMCID:PMC6597610
UBERON:0005215	kidney interstitium	Interstitium	CL:0000236	B cell	B cell	HGNC:1698, HGNC:4947, HGNC:5713, HGNC:7315	DOI:10.1038/s41467-019-10861-2|DOI:10.1038/s41467-019-10861-2|DOI:10.1038/s41586-020-2941-1|DOI:10.1172/jci.insight.133267|DOI:10.1126/science.aat5031|PMID:31249312|PMCID:PMC6597610
UBERON:0005215	kidney interstitium	Interstitium	CL:0000576	monocyte	Monocyte	HGNC:1241, HGNC:4947, HGNC:6152	DOI:10.1038/s41467-019-10861-2|DOI:10.1038/s41586-020-2941-1|DOI:10.1126/science.aat5031|PMID:31249312|PMCID:PMC6597610
UBERON:0005215	kidney interstitium	Interstitium	CL:0000623	natural killer cell	Natural Killer Cell	HGNC:10473, HGNC:4414, HGNC:4708, HGNC:7830	DOI:10.1038/s41467-019-10861-2|DOI:10.1038/s41467-019-10861-2|DOI:10.1038/s41586-020-2941-1|DOI:10.1172/jci.insight.133267|DOI:10.1126/science.aat5031|PMID:31249312|PMCID:PMC6597610
UBERON:0002303	juxtaglomerular apparatus	Juxtaglomerular Apparatus	CL:0000648	kidney granular cell	Juxtaglomerular granular cell (Renin positive)	HGNC:9958	DOI:10.1038/s41467-019-10861-2|DOI:10.1038/s41467-019-10861-2|DOI:10.1073/pnas.2005477117|PMID:31249312|PMCID:PMC6597610
UBERON:0005751	glomerular visceral epithelium	visceral epithelial layer	CL:0000653	podocyte	Podocyte	HGNC:13394, HGNC:13517, HGNC:23319, HGNC:7908, HGNC:9171, HGNC:9171, HGNC:9679	DOI:10.1038/s41467-019-10861-2|DOI:10.1172/jci.insight.133267|DOI:10.1038/s41467-019-10861-2|DOI:10.1038/s41586-020-2941-1|DOI:10.1073/pnas.2005477117|PMID:31249312|PMCID:PMC6597610
UBERON:0005751	glomerular visceral epithelium	visceral epithelial layer	CL:0000653	podocyte	Podocyte	HGNC:13394, HGNC:7908, HGNC:9171, HGNC:9679	
UBERON:0005751	glomerular visceral epithelium	visceral epithelial layer	CL:0000653	glomerular visceral epithelial cell	Podocyte	HGNC:13394, HGNC:7908, HGNC:9171, HGNC:9171, HGNC:9679	
