Terminal AS/ID	Terminal AS/label	Terminal AS/user_label	Terminal CT/ID	Terminal CT/label	Terminal CT/user_label	Markers	References	Table
UBERON:0008974	apocrine gland	apocrine gland	CL:0000033	apocrine cell	apocrine	HGNC:6445, HGNC:6445	NoDOI	Large_intestine
UBERON:0001266	splenic cord	Splenic Cord	CL:0000037	hematopoetic stem cell	Hematopoetic Stem Cell	HGNC:2298, HGNC:17890, HGNC:5870, HGNC:11200, HGNC:1633, HGNC:1662, HGNC:1667, HGNC:9666, HGNC:11801	DOI:10.1111/imcb.12035|DOI:10.1101/2020.01.26.919753	Spleen
UBERON:0002371	Bone marrow	Bone marrow	CL:0000037	hemopoietic stem cell	hemopoietic stem cell (HSC)	HGNC:894, HGNC:2356, HGNC:7945, HGNC:1036, HGNC:9454, HGNC:4977, HGNC:4977, HGNC:7136, HGNC:1639, HGNC:1674, HGNC:1628, HGNC:3619, HGNC:1633, HGNC:7656, HGNC:4702, HGNC:1662, HGNC:1667, HGNC:9666, HGNC:11801		Bone-Marrow
UBERON:0001961	mucosa-associated lymphoid tissue	dermal skin-associated lymphoid tissue	CL:0000041	mature eosinophil	eosinophil	HGNC:6149, HGNC:4502, HGNC:6149, HGNC:4502	DOI:10.1016/j.immuni.2020.02.001|PMID:32160523PMCID:PMC7155934	Large_intestine
UBERON:0001962	gut-associated lymphoid tissue	gut associated lymphoid tissue (GALT)/lamina propria	CL:0000041	mature eosinophil	eosinophil	HGNC:6149, HGNC:4502, HGNC:6149, HGNC:4502	DOI:10.1016/j.immuni.2020.02.001|PMID:32160523PMCID:PMC7155934	Large_intestine
UBERON:0013485	crypt of Lieberkuhn of colon	crypt	CL:0000041	mature eosinophil	eosinophil	HGNC:6149, HGNC:4502, HGNC:6149, HGNC:4502	DOI:10.1016/j.immuni.2020.02.001|PMID:32160523PMCID:PMC7155934	Large_intestine
UBERON:0002371	Bone marrow	Bone marrow	CL:0000049	common myeloid progenitor	common myeloid progenitor (CMP)	HGNC:5154, HGNC:4171, HGNC:24435, HGNC:3311, HGNC:7028, HGNC:1674, HGNC:1628, HGNC:3619, HGNC:7656, HGNC:1662, HGNC:1667, HGNC:6012, HGNC:9666, HGNC:3765	DOI:10.1038/ni.1889	Bone-Marrow
UBERON:0002371	Bone marrow	Bone marrow	CL:0000050	megakaryocyte-erythroid progenitor cell	megakaryocyte-erythroid-mast cell progenitor (MEMP)	HGNC:1662, HGNC:11245, HGNC:31397, HGNC:4171, HGNC:29109, HGNC:5992, HGNC:15879, HGNC:4170, HGNC:1674, HGNC:1628, HGNC:3619, HGNC:7656, HGNC:1662, HGNC:1667, HGNC:6012, HGNC:9666, HGNC:3765	DOI:10.1038/ni.1889	Bone-Marrow
UBERON:0002371	Bone marrow	Bone marrow	CL:0000051	common lymphoid progenitor	common lymphoid progenitor (CLP)	HGNC:16505, HGNC:186, HGNC:9352, HGNC:12749, HGNC:12560, HGNC:7203, HGNC:1674, HGNC:1628, HGNC:3619, HGNC:7656, HGNC:1662, HGNC:1667, HGNC:6024		Bone-Marrow
UBERON:0003329	submucosa of anal canal	submucosa	CL:0000057	fibroblast	fibroblast	HGNC:2211, HGNC:2212, HGNC:2211, HGNC:2212	NoDOI	Large_intestine
