Upper AS	Upper AS/label	Upper AS/ID	AS Name	References/ID	References/DOI
subsegmental pulmonary vein	Subsegmental pulmonary vein	FMA:9413	pulmonary venule	https://radiologykey.com/6-pulmonary-artery-and-vein/	
subsegmental pulmonary vein	Subsegmental pulmonary vein	FMA:9413	pulmonary venule	https://en.wikipedia.org/wiki/Bronchial_artery	
pulmonary venule			bronchial capillary #2	https://en.wikipedia.org/wiki/Bronchial_artery	
subsegmental pulmonary vein	Subsegmental pulmonary vein	FMA:9413	pulmonary venule	Clark AR, Burrowes KS, Tawhai MH. Contribution of serial and parallel microperfusion to spatial variability in pulmonary inter- and intra-acinar blood flow. J Appl Physiol (1985). 2010 May;108(5):1116-26. doi: 10.1152/japplphysiol.01177.2009. Epub 2010 Jan 28. PMID: 20110543; PMCID: PMC2867543.	10.1152/japplphysiol.01177.2009
pulmonary venule			intra-acinar venule	Clark AR, Burrowes KS, Tawhai MH. Contribution of serial and parallel microperfusion to spatial variability in pulmonary inter- and intra-acinar blood flow. J Appl Physiol (1985). 2010 May;108(5):1116-26. doi: 10.1152/japplphysiol.01177.2009. Epub 2010 Jan 28. PMID: 20110543; PMCID: PMC2867543.	10.1152/japplphysiol.01177.2009
intra-acinar venule			post-alveolar capillary	Clark AR, Burrowes KS, Tawhai MH. Contribution of serial and parallel microperfusion to spatial variability in pulmonary inter- and intra-acinar blood flow. J Appl Physiol (1985). 2010 May;108(5):1116-26. doi: 10.1152/japplphysiol.01177.2009. Epub 2010 Jan 28. PMID: 20110543; PMCID: PMC2867543.	10.1152/japplphysiol.01177.2009
ascending pharyngeal artery	Ascending pharyngeal artery	FMA:49497	neuromeningeal trunk	https://en.wikipedia.org/wiki/Ascending_pharyngeal_artery	
neuromeningeal trunk			hypoglossal branch of ascending pharyngeal artery	https://en.wikipedia.org/wiki/Ascending_pharyngeal_artery	
neuromeningeal trunk			jugular branch of ascending pharyngeal artery	https://en.wikipedia.org/wiki/Ascending_pharyngeal_artery	
ascending pharyngeal artery	Ascending pharyngeal artery	FMA:49497	neuromeningeal trunk	https://neupsykey.com/the-external-carotid-artery-and-extracranial-circulation/	
neuromeningeal trunk			odontoid arcade	https://neupsykey.com/the-external-carotid-artery-and-extracranial-circulation/	
ascending pharyngeal artery	Ascending pharyngeal artery	FMA:49497	neuromeningeal trunk	http://neuroangio.org/anatomy-and-variants/posterior-meningeal-artery/	
