Upper AS	Upper AS/label	Upper AS/ID	AS Name	References/ID	References/DOI
anterior abdominal wall muscle	anterior abdominal wall muscle	UBERON:0002461	internal abdominal oblique muscle	FIPAT. Terminologia Anatomica. 2nd ed. FIPAT.library.dal.ca. Federative International Programme for Anatomical Terminology. 2019. ; Netter FH. Atlas of human anatomy, 7th ed. Elsevier. 2018.	
abdomen muscle	muscle of abdomen	UBERON:0002378	pelvic floor muscle	FIPAT. Terminologia Anatomica. 2nd ed. FIPAT.library.dal.ca. Federative International Programme for Anatomical Terminology. 2019.	
abdomen muscle	muscle of abdomen	UBERON:0002378	pelvic floor muscle	FIPAT. Terminologia Anatomica. 2nd ed. FIPAT.library.dal.ca. Federative International Programme for Anatomical Terminology. 2019. ; Netter FH. Atlas of human anatomy, 7th ed. Elsevier. 2018.	
pelvic floor muscle			puboanalis muscle	FIPAT. Terminologia Anatomica. 2nd ed. FIPAT.library.dal.ca. Federative International Programme for Anatomical Terminology. 2019. ; Netter FH. Atlas of human anatomy, 7th ed. Elsevier. 2018.	
pelvic floor muscle			puboperineales muscle	FIPAT. Terminologia Anatomica. 2nd ed. FIPAT.library.dal.ca. Federative International Programme for Anatomical Terminology. 2019.	
pelvic floor muscle			puboprostaticus muscle	FIPAT. Terminologia Anatomica. 2nd ed. FIPAT.library.dal.ca. Federative International Programme for Anatomical Terminology. 2019.	
perineal muscle	perineal muscle	UBERON:0002379	compressor urethrae muscle	FIPAT. Terminologia Anatomica. 2nd ed. FIPAT.library.dal.ca. Federative International Programme for Anatomical Terminology. 2019. ; Netter FH. Atlas of human anatomy, 7th ed. Elsevier. 2018.	
perineal muscle	perineal muscle	UBERON:0002379	deep transverse perineal muscle	FIPAT. Terminologia Anatomica. 2nd ed. FIPAT.library.dal.ca. Federative International Programme for Anatomical Terminology. 2019. ; Netter FH. Atlas of human anatomy, 7th ed. Elsevier. 2018.	
perineal muscle	perineal muscle	UBERON:0002379	external anal sphincter muscle	FIPAT. Terminologia Anatomica. 2nd ed. FIPAT.library.dal.ca. Federative International Programme for Anatomical Terminology. 2019. ; Netter FH. Atlas of human anatomy, 7th ed. Elsevier. 2018.	
external anal sphincter muscle			deep part of external anal sphincter muscle	FIPAT. Terminologia Anatomica. 2nd ed. FIPAT.library.dal.ca. Federative International Programme for Anatomical Terminology. 2019. ; Netter FH. Atlas of human anatomy, 7th ed. Elsevier. 2018.	
external anal sphincter muscle			subcutaneous part of external anal sphincter muscle	FIPAT. Terminologia Anatomica. 2nd ed. FIPAT.library.dal.ca. Federative International Programme for Anatomical Terminology. 2019. ; Netter FH. Atlas of human anatomy, 7th ed. Elsevier. 2018.	
