WARNING - Different labels found for CL:0000071. Uberongraph: blood vessel endothelial cell ; ASCT+b table: blood endothelial cell
WARNING - Different labels found for CL:0000764. Uberongraph: erythroid lineage cell ; ASCT+b table: erythroid
WARNING - Different labels found for CL:0000809. Uberongraph: double-positive, alpha-beta thymocyte ; ASCT+b table: double positive thymocyte
WARNING - Different labels found for CL:0000866. Uberongraph: thymic macrophage ; ASCT+b table: macrophage
WARNING - Different labels found for CL:0000882. Uberongraph: thymic medullary macrophage ; ASCT+b table: macrophage
WARNING - Different labels found for CL:0000883. Uberongraph: thymic cortical macrophage ; ASCT+b table: macrophage
WARNING - Different labels found for CL:0000897. Uberongraph: CD4-positive, alpha-beta memory T cell ; ASCT+b table: CD4+ T memory T cell
WARNING - Different labels found for CL:0000899. Uberongraph: T-helper 17 cell ; ASCT+b table: Th17 cell
WARNING - Different labels found for CL:0000909. Uberongraph: CD8-positive, alpha-beta memory T cell ; ASCT+b table: CD8+ T memory
WARNING - Different labels found for CL:0000914. Uberongraph: immature NK T cell ; ASCT+b table: immature NKT cell
WARNING - Different labels found for CL:0000934. Uberongraph: CD4-positive, alpha-beta cytotoxic T cell ; ASCT+b table: cytotoxic CD4 T cell
WARNING - Different labels found for CL:0000940. Uberongraph: mucosal invariant T cell ; ASCT+b table: mucosal associated invariant T cell
WARNING - Different labels found for CL:0000942. Uberongraph: thymic plasmacytoid dendritic cell ; ASCT+b table: plasmacytoid dendritic cell
WARNING - Different labels found for CL:0000970. Uberongraph: unswitched memory B cell ; ASCT+b table: memory B cell
WARNING - Different labels found for CL:0000972. Uberongraph: class switched memory B cell ; ASCT+b table: memory B cell
WARNING - Different labels found for CL:0001078. Uberongraph: group 3 innate lymphoid cell, human ; ASCT+b table: group 3 innate lymphoid cell
WARNING - Different labels found for CL:0002059. Uberongraph: CD8alpha-positive thymic conventional dendritic cell ; ASCT+b table: conventional dendritic cell 1
WARNING - Different labels found for CL:0002138. Uberongraph: endothelial cell of lymphatic vessel ; ASCT+b table: lymphatic endothelial cell
WARNING - Different labels found for CL:0002425. Uberongraph: early T lineage precursor ; ASCT+b table: early thymic progenitor
WARNING - Different labels found for CL:0002436. Uberongraph: mature CD4 single-positive thymocyte ; ASCT+b table: CD4+ T single positive thymocyte
WARNING - Different labels found for CL:0002437. Uberongraph: mature CD8 single-positive thymocyte ; ASCT+b table: CD8+ T single positive thymocyte
WARNING - Different labels found for CL:0002460. Uberongraph: CD8alpha-negative thymic conventional dendritic cell ; ASCT+b table: conventional dendritic cell 2
WARNING - Different labels found for CL:0002677. Uberongraph: naive regulatory T cell ; ASCT+b table: regulatory T cells
WARNING - Different labels found for CL:0009074. Uberongraph: medullary thymic epithelial cell type 4 ; ASCT+b table: medullary thymic epithelial cell type 4; thymic tuft cells
WARNING - Different labels found for CL:0009077. Uberongraph: subcapsular thymic epithelial cell ; ASCT+b table: subcapsular cortical epithelial cell
WARNING - Different labels found for CL:0009078. Uberongraph: thymic fibroblast type 1 ; ASCT+b table: thymic capsular fibroblast
WARNING - Different labels found for CL:0009079. Uberongraph: thymic fibroblast type 2 ; ASCT+b table: thymic interlobular fibroblast
WARNING - Different labels found for CL:0009081. Uberongraph: specified double negative thymocyte (Homo sapiens) ; ASCT+b table: double negative thymocyte 2
WARNING - Different labels found for CL:0009082. Uberongraph: committed double negative thymocyte (Homo sapiens) ; ASCT+b table: double negative thymocyte 3
WARNING - Different labels found for CL:0009083. Uberongraph: rearranging double negative thymocyte (Homo sapiens) ; ASCT+b table: double negative thymocyte 4
WARNING - Different labels found for CL:3000002. Uberongraph: sympathetic noradrenergic neuron ; ASCT+b table: sympathetic noradrenergic nerve
WARNING - Different labels found for UBERON:0002370. Uberongraph: thymus ; ASCT+b table: thoracic thymus
WARNING - Different labels found for UBERON:0003988. Uberongraph: thymus corticomedullary boundary ; ASCT+b table: corticomedullary boundary of thymus
WARNING - Different labels found for UBERON:0010397. Uberongraph: efferent lymphatic vessel ; ASCT+b table: efferent lymphatic
