Terminal AS/ID	Terminal AS/label	Terminal AS/user_label	CL Name	References/ID	References/DOI
UBERON:0005463	Subcapsular Sinus	subcapsular sinus of lymph node	Marginal Reticular Cell	Link A, Hardie DL, Favre S, Britschgi MR, Adams DH, Sixt M, Cyster JG, Buckley CD, Luther SA. Association of T-zone reticular networks and conduits with ectopic lymphoid tissues in mice and humans. Am J Pathol. 2011 Apr;178(4):1662-75. doi: 10.1016/j.ajpath.2010.12.039. PMID: 21435450; PMCID: PMC3070229. ; Fletcher AL, Malhotra D, Acton SE, Lukacs-Kornek V, Bellemare-Pelletier A, Curry M, Armant M, Turley SJ. Reproducible isolation of lymph node stromal cells reveals site-dependent differences in fibroblastic reticular cells. Front Immunol. 2011 Sep 12;2:35. doi: 10.3389/fimmu.2011.00035. PMID: 22566825; PMCID: PMC3342056. ; Valencia J, Jiménez E, Martínez VG, Del Amo BG, Hidalgo L, Entrena A, Fernández-Sevilla LM, Del Río F, Varas A, Vicente Á, Sacedón R. Characterization of human fibroblastic reticular cells as potential immunotherapeutic tools. Cytotherapy. 2017 May;19(5):640-653. doi: 10.1016/j.jcyt.2017.01.010. Epub 2017 Mar 2. PMID: 28262465.	DOI: 10.1016/j.ajpath.2010.12.039 ; DOI: 10.3389/fimmu.2011.00035 ; DOI: 10.1016/j.jcyt.2017.01.010
UBERON:0005463	Subcapsular Sinus	subcapsular sinus of lymph node	Lymphatic Endothelial Cell -Subcapsular Sinus Ceiling	Xiang M, Grosso RA, Takeda A, Pan J, Bekkhus T, Brulois K, Dermadi D, Nordling S, Vanlandewijck M, Jalkanen S, Ulvmar MH, Butcher EC. A Single-Cell Transcriptional Roadmap of the Mouse and Human Lymph Node Lymphatic Vasculature. Front Cardiovasc Med. 2020 Apr 30;7:52. doi: 10.3389/fcvm.2020.00052. PMID: 32426372; PMCID: PMC7204639. ; Takeda A, Hollmén M, Dermadi D, Pan J, Brulois KF, Kaukonen R, Lönnberg T, Boström P, Koskivuo I, Irjala H, Miyasaka M, Salmi M, Butcher EC, Jalkanen S. Single-Cell Survey of Human Lymphatics Unveils Marked Endothelial Cell Heterogeneity and Mechanisms of Homing for Neutrophils. Immunity. 2019 Sep 17;51(3):561-572.e5. doi: 10.1016/j.immuni.2019.06.027. Epub 2019 Aug 8. PMID: 31402260.	DOI: 10.3389/fcvm.2020.00052 ; DOI: 10.1016/j.immuni.2019.06.027
UBERON:0005463	Subcapsular Sinus	subcapsular sinus of lymph node	Lymphatic Endothelial Cell-Subcapsular Sinus Floor	Xiang M, Grosso RA, Takeda A, Pan J, Bekkhus T, Brulois K, Dermadi D, Nordling S, Vanlandewijck M, Jalkanen S, Ulvmar MH, Butcher EC. A Single-Cell Transcriptional Roadmap of the Mouse and Human Lymph Node Lymphatic Vasculature. Front Cardiovasc Med. 2020 Apr 30;7:52. doi: 10.3389/fcvm.2020.00052. PMID: 32426372; PMCID: PMC7204639. ; Takeda A, Hollmén M, Dermadi D, Pan J, Brulois KF, Kaukonen R, Lönnberg T, Boström P, Koskivuo I, Irjala H, Miyasaka M, Salmi M, Butcher EC, Jalkanen S. Single-Cell Survey of Human Lymphatics Unveils Marked Endothelial Cell Heterogeneity and Mechanisms of Homing for Neutrophils. Immunity. 2019 Sep 17;51(3):561-572.e5. doi: 10.1016/j.immuni.2019.06.027. Epub 2019 Aug 8. PMID: 31402260.	DOI: 10.3389/fcvm.2020.00052 ; DOI: 10.1016/j.immuni.2019.06.027
UBERON:8410032	Trabecular sinus	trabecular sinus of lymph node	Lymphatic Endothelial Cell-Trabeculae	Xiang M, Grosso RA, Takeda A, Pan J, Bekkhus T, Brulois K, Dermadi D, Nordling S, Vanlandewijck M, Jalkanen S, Ulvmar MH, Butcher EC. A Single-Cell Transcriptional Roadmap of the Mouse and Human Lymph Node Lymphatic Vasculature. Front Cardiovasc Med. 2020 Apr 30;7:52. doi: 10.3389/fcvm.2020.00052. PMID: 32426372; PMCID: PMC7204639. ; Takeda A, Hollmén M, Dermadi D, Pan J, Brulois KF, Kaukonen R, Lönnberg T, Boström P, Koskivuo I, Irjala H, Miyasaka M, Salmi M, Butcher EC, Jalkanen S. Single-Cell Survey of Human Lymphatics Unveils Marked Endothelial Cell Heterogeneity and Mechanisms of Homing for Neutrophils. Immunity. 2019 Sep 17;51(3):561-572.e5. doi: 10.1016/j.immuni.2019.06.027. Epub 2019 Aug 8. PMID: 31402260.	DOI: 10.3389/fcvm.2020.00052 ; DOI: 10.1016/j.immuni.2019.06.027
UBERON:8410052	Light Zone	lymph node germinal center light zone	Centrocyte	Tumors of the Lymph Node and Spleen. L. Jeffrey Medeiros, Dennis P. O’Malley, Nancy P. Caraway, Francisco Vega,Kojo S.J. Elenitoba-Johnson and Megan S. Lim. AFIP Atlas ofTumor Pathology. Series 4. Fascicle 25. Silver Spring, Maryland: American Registry of Pathology; 2017. 1086 pages.ISBN 978-1933477-38-1. ; Victora GD, Dominguez-Sola D, Holmes AB, Deroubaix S, Dalla-Favera R, Nussenzweig MC. Identification of human germinal center light and dark zone cells and their relationship to human B-cell lymphomas. Blood. 2012 Sep 13;120(11):2240-8. doi: 10.1182/blood-2012-03-415380. Epub 2012 Jun 26. Erratum in: Blood. 2015 Sep 3;126(10):1262. PMID: 22740445; PMCID: PMC3447782. ; Benign and Reactive Conditions of the Lymph Node and Spleen. Dennis P. O’Malley, Tracy I. George, Attilio Orazi, and Susan L. Abbondanzo. AFIP Atlas of Nontumor Pathology. ISBN: 978-1-933477-06-0	No DOI ; DOI: 10.1182/blood-2012-03-415380 ; No DOI
UBERON:8410052	Light Zone	lymph node germinal center light zone	T Follicular Regulatory Cell	Lim HW, Hillsamer P, Kim CH. Regulatory T cells can migrate to follicles upon T cell activation and suppress GC-Th cells and GC-Th cell-driven B cell responses. J Clin Invest. 2004 Dec;114(11):1640-9. doi: 10.1172/JCI22325. Erratum in: J Clin Invest. 2005 Jan;115(1):195. PMID: 15578096; PMCID: PMC529283. ; Sayin I, Radtke AJ, Vella LA, Jin W, Wherry EJ, Buggert M, Betts MR, Herati RS, Germain RN, Canaday DH. Spatial distribution and function of T follicular regulatory cells in human lymph nodes. J Exp Med. 2018 Jun 4;215(6):1531-1542. doi: 10.1084/jem.20171940. Epub 2018 May 16. PMID: 29769249; PMCID: PMC5987920.	DOI: 10.1172/JCI200422325 ; DOI: 10.1084/jem.20171940
UBERON:8410053	Dark Zone	ymph node germinal center dark zone	Centroblast	Hsu SM, Jaffe ES. Phenotypic expression of B-lymphocytes. 2. Immunoglobulin expression of germinal center cells. Am J Pathol. 1984 Mar;114(3):396-402. PMID: 6364822; PMCID: PMC1900414. ; Tumors of the Lymph Node and Spleen. L. Jeffrey Medeiros, Dennis P. O’Malley, Nancy P. Caraway, Francisco Vega,Kojo S.J. Elenitoba-Johnson and Megan S. Lim. AFIP Atlas ofTumor Pathology. Series 4. Fascicle 25. Silver Spring, Maryland: American Registry of Pathology; 2017. 1086 pages.ISBN 978-1933477-38-1. ; Victora GD, Dominguez-Sola D, Holmes AB, Deroubaix S, Dalla-Favera R, Nussenzweig MC. Identification of human germinal center light and dark zone cells and their relationship to human B-cell lymphomas. Blood. 2012 Sep 13;120(11):2240-8. doi: 10.1182/blood-2012-03-415380. Epub 2012 Jun 26. Erratum in: Blood. 2015 Sep 3;126(10):1262. PMID: 22740445; PMCID: PMC3447782.	NO DOI ; No DOI ; DOI: 10.1182/blood-2012-03-415380
UBERON:8410053	Dark Zone	ymph node germinal center dark zone	B Cell Zone Reticular Cell	Tumors of the Lymph Node and Spleen. L. Jeffrey Medeiros, Dennis P. O’Malley, Nancy P. Caraway, Francisco Vega,Kojo S.J. Elenitoba-Johnson and Megan S. Lim. AFIP Atlas ofTumor Pathology. Series 4. Fascicle 25. Silver Spring, Maryland: American Registry of Pathology; 2017. 1086 pages.ISBN 978-1933477-38-1. ; Willard-Mack CL. Normal structure, function, and histology of lymph nodes. Toxicol Pathol. 2006;34(5):409-24. doi: 10.1080/01926230600867727. PMID: 17067937.	No DOI ; DOI: 10.1080/01926230600867727
UBERON:8410067	Interfollicular Cortex	lymph node interfollicular cortex	T Cell Zone Reticular Cell	Link A, Hardie DL, Favre S, Britschgi MR, Adams DH, Sixt M, Cyster JG, Buckley CD, Luther SA. Association of T-zone reticular networks and conduits with ectopic lymphoid tissues in mice and humans. Am J Pathol. 2011 Apr;178(4):1662-75. doi: 10.1016/j.ajpath.2010.12.039. PMID: 21435450; PMCID: PMC3070229. ; Fletcher AL, Malhotra D, Acton SE, Lukacs-Kornek V, Bellemare-Pelletier A, Curry M, Armant M, Turley SJ. Reproducible isolation of lymph node stromal cells reveals site-dependent differences in fibroblastic reticular cells. Front Immunol. 2011 Sep 12;2:35. doi: 10.3389/fimmu.2011.00035. PMID: 22566825; PMCID: PMC3342056. ; Valencia J, Jiménez E, Martínez VG, Del Amo BG, Hidalgo L, Entrena A, Fernández-Sevilla LM, Del Río F, Varas A, Vicente Á, Sacedón R. Characterization of human fibroblastic reticular cells as potential immunotherapeutic tools. Cytotherapy. 2017 May;19(5):640-653. doi: 10.1016/j.jcyt.2017.01.010. Epub 2017 Mar 2. PMID: 28262465.	DOI: 10.1016/j.ajpath.2010.12.039 ; DOI: 10.3389/fimmu.2011.00035 ; DOI: 10.1016/j.jcyt.2017.01.010
UBERON:8410067	Interfollicular Cortex	lymph node interfollicular cortex	T Follicular Regulatory Cell	Lim HW, Hillsamer P, Kim CH. Regulatory T cells can migrate to follicles upon T cell activation and suppress GC-Th cells and GC-Th cell-driven B cell responses. J Clin Invest. 2004 Dec;114(11):1640-9. doi: 10.1172/JCI22325. Erratum in: J Clin Invest. 2005 Jan;115(1):195. PMID: 15578096; PMCID: PMC529283. ; Sayin I, Radtke AJ, Vella LA, Jin W, Wherry EJ, Buggert M, Betts MR, Herati RS, Germain RN, Canaday DH. Spatial distribution and function of T follicular regulatory cells in human lymph nodes. J Exp Med. 2018 Jun 4;215(6):1531-1542. doi: 10.1084/jem.20171940. Epub 2018 May 16. PMID: 29769249; PMCID: PMC5987920.	DOI: 10.1172/JCI200422325 ; DOI: 10.1084/jem.20171940
