/usr/local/lib/python3.8/dist-packages/rdflib_jsonld/__init__.py:9: DeprecationWarning: The rdflib-jsonld package has been integrated into rdflib as of rdflib==6.0.1.  Please remove rdflib-jsonld from your project's dependencies.
  warnings.warn(
WARNING - No valid ID provided for '', label: capsule mesenchymal stromal cell, user_label: 
WARNING - No valid ID provided for '', label: descending thin limb of loop of Henle 2, user_label: 
WARNING - No valid ID provided for '', label: Descending Thin Limb Cell Type 2, user_label: 
WARNING - No valid ID provided for '', label: descending thin limb of loop of Henle 1, user_label: 
WARNING - No valid ID provided for '', label: descending thin limb of loop of Henle 2, user_label: 
WARNING - No valid ID provided for '', label: descending thin limb of loop of Henle 3, user_label: 
WARNING - No valid ID provided for '', label: Transitional principal-intercalated cell, user_label: 
WARNING - No valid ID provided for '', label: Endothelium/Juxtaglomerular apparatus, user_label: 
WARNING - No valid ID provided for '', label: Endothelium (non glomerular), user_label: 
WARNING - No valid ID provided for '', label: Vascular Smooth Muscle Cell, user_label: 
WARNING - No valid ID provided for '', label: Immune, user_label: 
WARNING - No valid ID provided for '', label: Monocyte Derived Cell, user_label: 
WARNING - No valid ID provided for '', label: Immune, user_label: 
WARNING - No valid ID provided for '', label: Papillary Tip Epithelium, user_label: 
WARNING - Unrecognised UBERON/CL entity 'CL:4030018'
WARNING - Unrecognised UBERON/CL entity 'CL:4030013'
WARNING - Unrecognised UBERON/CL entity 'CL:4030019'
WARNING - Unrecognised UBERON/CL entity 'CL:4030016'
WARNING - Unrecognised UBERON/CL entity 'CL:4030014'
WARNING - Unrecognised UBERON/CL entity 'CL:4030017'
WARNING - Unrecognised UBERON/CL entity 'CL:4030015'
WARNING - Unrecognised UBERON/CL entity 'CL:4030021'
WARNING - Unrecognised UBERON/CL entity 'CL:4030020'
WARNING - Unrecognised UBERON/CL entity 'CL:4030009'
WARNING - Unrecognised UBERON/CL entity 'CL:4030010'
WARNING - Unrecognised UBERON/CL entity 'CL:4030012'
WARNING - Unrecognised UBERON/CL entity 'CL:4030011'
WARNING - Unrecognised UBERON/CL entity 'CL:4030022'
WARNING - Different labels found for UBERON:0001231. Uberongraph: nephron tubule ; ASCT+b table: Tubules
WARNING - Different labels found for UBERON:0004190. Uberongraph: renal glomerulus vasculature ; ASCT+b table: Glomerulus Vasculature
WARNING - Different labels found for UBERON:0004203. Uberongraph: cortical collecting duct ; ASCT+b table: Collecting Duct (Cortex)
WARNING - Different labels found for CL:0000875. Uberongraph: non-classical monocyte ; ASCT+b table: non Classical Monocyte
WARNING - Different labels found for UBERON:0012441. Uberongraph: endothelium of peritubular capillary ; ASCT+b table: Endothelium (non glomerular)
WARNING - Different labels found for CL:1000698. Uberongraph: kidney resident macrophage ; ASCT+b table: M2-Macrophage
WARNING - Different labels found for UBERON:0009202. Uberongraph: vasa recta descending limb ; ASCT+b table: Descending Vasa Recta
WARNING - Different labels found for CL:1000454. Uberongraph: kidney collecting duct epithelial cell ; ASCT+b table: Collecting Duct Cell
WARNING - Different labels found for CL:1000597. Uberongraph: papillary tips cell ; ASCT+b table: Papillary Tip Epithelial Cell
WARNING - Different labels found for UBERON:0001290. Uberongraph: proximal straight tubule ; ASCT+b table: proximal straight tubule segment 3
WARNING - Different labels found for CL:1000850. Uberongraph: macula densa epithelial cell ; ASCT+b table: Macula Densa cell
WARNING - Different labels found for CL:1000716. Uberongraph: kidney outer medulla collecting duct principal cell ; ASCT+b table: Outer Medullary Collecting Duct Principal Cell
WARNING - Different labels found for CL:0000648. Uberongraph: kidney granular cell ; ASCT+b table: Juxtaglomerular granular cell (Renin positive)
WARNING - Different labels found for CL:1001432. Uberongraph: kidney collecting duct intercalated cell ; ASCT+b table: Collecting Duct Intercalated Cell
WARNING - Different labels found for CL:1000691. Uberongraph: kidney interstitial myofibroblast ; ASCT+b table: Myofibroblast
WARNING - Different labels found for CL:1001431. Uberongraph: kidney collecting duct principal cell ; ASCT+b table: Collecting Duct Principal Cell
WARNING - Different labels found for UBERON:0005097. Uberongraph: renal connecting tubule ; ASCT+b table: Connecting Tubule
WARNING - Different labels found for CL:1000768. Uberongraph: kidney connecting tubule epithelial cell ; ASCT+b table: Connecting Tubule Cell
WARNING - Different labels found for CL:1001099. Uberongraph: kidney efferent arteriole endothelial cell ; ASCT+b table: Efferent Arteriole Endothelial cell
WARNING - Different labels found for CL:0001058. Uberongraph: plasmacytoid dendritic cell, human ; ASCT+b table: Dendritic Cell (plasmatoid)
WARNING - Different labels found for UBERON:0004205. Uberongraph: inner medullary collecting duct ; ASCT+b table: Collecting Duct (Inner Medulla)
WARNING - Different labels found for CL:1001108. Uberongraph: kidney loop of Henle medullary thick ascending limb epithelial cell ; ASCT+b table: Medullary Thick Ascending Limb Cell
WARNING - Different labels found for UBERON:0009095. Uberongraph: tip of renal papilla ; ASCT+b table: papillary tip
WARNING - Different labels found for UBERON:0004639. Uberongraph: renal afferent arteriole ; ASCT+b table: Afferent Arteriole
