WARNING - Different labels found for CL:0000146. Uberongraph: simple columnar epithelial cell ; ASCT+b table: 
WARNING - Different labels found for CL:0000192. Uberongraph: smooth muscle cell ; ASCT+b table: smooth muscle
WARNING - Different labels found for CL:0000240. Uberongraph: stratified squamous epithelial cell ; ASCT+b table: 
WARNING - Different labels found for CL:0000244. Uberongraph: transitional epithelial cell ; ASCT+b table: 
WARNING - Different labels found for CL:0000669. Uberongraph: pericyte ; ASCT+b table: pericyte cell
WARNING - Different labels found for CL:0009009. Uberongraph: paneth cell of colon ; ASCT+b table: paneth cell of epithelium of large intestine
WARNING - Different labels found for CL:0009011. Uberongraph: transit amplifying cell of colon ; ASCT+b table: transit amplifying cell of large intestine
WARNING - Different labels found for CL:1000279. Uberongraph: smooth muscle cell of large intestine ; ASCT+b table: 
WARNING - Different labels found for UBERON:0000423. Uberongraph: eccrine sweat gland ; ASCT+b table: eccrine (sweat) gland
WARNING - Different labels found for UBERON:0001153. Uberongraph: caecum ; ASCT+b table: cecum
WARNING - Different labels found for UBERON:0004760. Uberongraph: gland of anal canal ; ASCT+b table: anal gland
WARNING - Different labels found for UBERON:0012419. Uberongraph: taenia coli ; ASCT+b table: tenia coli
WARNING - Different labels found for UBERON:0012498. Uberongraph: serosa of appendix ; ASCT+b table: serosa
WARNING - Different labels found for UBERON:0015716. Uberongraph: anal canal epithelium ; ASCT+b table: epithelium
WARNING - No valid ID provided for '', label: , user_label: ganglion
WARNING - No valid ID provided for '', label: , user_label: ganglion
WARNING - No valid ID provided for '', label: , user_label: ganglion
WARNING - No valid ID provided for '', label: , user_label: ganglion
WARNING - No valid ID provided for '', label: , user_label: ganglion
WARNING - No valid ID provided for '', label: , user_label: ganglion
WARNING - No valid ID provided for '', label: , user_label: ganglion
WARNING - No valid ID provided for '', label: , user_label: ganglion
WARNING - No valid ID provided for '', label: , user_label: ganglion
WARNING - No valid ID provided for '', label: , user_label: ganglion
WARNING - No valid ID provided for '', label: , user_label: ganglion
WARNING - No valid ID provided for '', label: , user_label: ganglion
WARNING - No valid ID provided for '', label: , user_label: ganglion
WARNING - No valid ID provided for '', label: , user_label: pericryptal fibroblastic sheath
WARNING - No valid ID provided for '', label: , user_label: pericryptal fibroblastic sheath
WARNING - No valid ID provided for '', label: , user_label: pericryptal fibroblastic sheath
WARNING - No valid ID provided for '', label: , user_label: pericryptal fibroblastic sheath
WARNING - No valid ID provided for '', label: , user_label: pericryptal fibroblastic sheath
WARNING - No valid ID provided for '', label: , user_label: pericryptal fibroblastic sheath
WARNING - No valid ID provided for '', label: , user_label: pericryptal fibroblastic sheath
WARNING - No valid ID provided for '', label: , user_label: pericryptal fibroblastic sheath
WARNING - No valid ID provided for '', label: , user_label: pericryptal fibroblastic sheath
WARNING - No valid ID provided for '', label: , user_label: pericryptal fibroblastic sheath
WARNING - No valid ID provided for '', label: , user_label: pericryptal fibroblastic sheath
WARNING - No valid ID provided for '', label: , user_label: subepithelial membrane
WARNING - No valid ID provided for '', label: , user_label: subepithelial membrane
WARNING - No valid ID provided for '', label: , user_label: subepithelial membrane
WARNING - No valid ID provided for '', label: , user_label: subepithelial membrane
WARNING - No valid ID provided for '', label: , user_label: subepithelial membrane
WARNING - No valid ID provided for '', label: , user_label: subepithelial membrane
WARNING - No valid ID provided for '', label: , user_label: subepithelial membrane
WARNING - No valid ID provided for '', label: , user_label: subepithelial membrane
WARNING - No valid ID provided for '', label: , user_label: subepithelial membrane
WARNING - No valid ID provided for '', label: , user_label: subepithelial membrane
WARNING - No valid ID provided for '', label: , user_label: subepithelial membrane
WARNING - No valid ID provided for '', label: , user_label: subepithelial membrane
WARNING - No valid ID provided for '', label: , user_label: subepithelial membrane
WARNING - Unrecognised UBERON/CL/PCL entity 'CL:0008364'
