/usr/local/lib/python3.8/dist-packages/rdflib_jsonld/__init__.py:9: DeprecationWarning: The rdflib-jsonld package has been integrated into rdflib as of rdflib==6.0.1.  Please remove rdflib-jsonld from your project's dependencies.
  warnings.warn(
WARNING - No valid ID provided for '', label: mucosa, user_label: 
WARNING - No valid ID provided for '', label: submucosa, user_label: 
WARNING - No valid ID provided for '', label: muscularis propria, user_label: 
WARNING - No valid ID provided for '', label: serosa, user_label: 
WARNING - No valid ID provided for 'FMA:7206', label: superior duodenum, user_label: superior part of duodenum
WARNING - No valid ID provided for '', label: tuft cell, user_label: 
WARNING - No valid ID provided for 'FMA:7206', label: superior duodenum, user_label: superior part of duodenum
WARNING - No valid ID provided for '', label: absorptive, user_label: 
WARNING - No valid ID provided for 'FMA:7206', label: superior duodenum, user_label: superior part of duodenum
WARNING - No valid ID provided for '', label: enterocyte, user_label: 
WARNING - No valid ID provided for 'FMA:7206', label: superior duodenum, user_label: superior part of duodenum
WARNING - No valid ID provided for '', label: endocrine lineage cell, user_label: 
WARNING - No valid ID provided for 'FMA:7206', label: superior duodenum, user_label: superior part of duodenum
WARNING - No valid ID provided for '', label: stem cell, user_label: 
WARNING - No valid ID provided for 'FMA:7206', label: superior duodenum, user_label: superior part of duodenum
WARNING - No valid ID provided for '', label: BCHE (butyrylcholinesterase) cell, user_label: 
WARNING - No valid ID provided for 'FMA:7206', label: superior duodenum, user_label: superior part of duodenum
WARNING - No valid ID provided for '', label: endothelial, user_label: 
WARNING - No valid ID provided for 'FMA:7206', label: superior duodenum, user_label: superior part of duodenum
WARNING - No valid ID provided for '', label: lymphatic, user_label: 
WARNING - No valid ID provided for 'FMA:7206', label: superior duodenum, user_label: superior part of duodenum
WARNING - No valid ID provided for '', label: myofibroblast, user_label: 
WARNING - No valid ID provided for 'FMA:7206', label: superior duodenum, user_label: superior part of duodenum
WARNING - No valid ID provided for '', label: fibroblast, user_label: 
WARNING - No valid ID provided for 'FMA:7206', label: superior duodenum, user_label: superior part of duodenum
WARNING - No valid ID provided for '', label: nerve, user_label: 
