Cell type	Cell type label	Behavior	Behavior label
CL:0000623	natural killer cell	GO:0001667	ameboidal-type cell migration
CL:0000097	mast cell	GO:0033364	mast cell secretory granule organization
CL:1000698	kidney resident macrophage	GO:0016192	vesicle-mediated transport
CL:0000576	monocyte	GO:0043011	myeloid dendritic cell differentiation
CL:0000648	kidney granular cell	GO:0015031	protein transport
CL:0001058	plasmacytoid dendritic cell, human	GO:0019882	antigen processing and presentation
CL:0000775	neutrophil	GO:0001667	ameboidal-type cell migration
CL:0000097	mast cell	GO:0051674	localization of cell
CL:0000115	endothelial cell	GO:0097699	vascular endothelial cell response to fluid shear stress
CL:1000698	kidney resident macrophage	GO:0071840	cellular component organization or biogenesis
CL:0000084	T cell	GO:0040011	locomotion
CL:0000648	kidney granular cell	GO:0003081	regulation of systemic arterial blood pressure by renin-angiotensin
CL:0000990	conventional dendritic cell	GO:0051179	localization
CL:0000875	non-classical monocyte	GO:0030225	macrophage differentiation
CL:0000576	monocyte	GO:0048731	system development
CL:0000875	non-classical monocyte	GO:0002274	myeloid leukocyte activation
CL:0000814	mature NK T cell	GO:0006950	response to stress
CL:0000097	mast cell	GO:0044249	cellular biosynthetic process
CL:0000814	mature NK T cell	GO:0002250	adaptive immune response
CL:1000698	kidney resident macrophage	GO:0031268	pseudopodium organization
CL:0000115	endothelial cell	GO:0097700	vascular endothelial cell response to laminar fluid shear stress
CL:0000814	mature NK T cell	GO:0002449	lymphocyte mediated immunity
CL:0000084	T cell	GO:0006924	activation-induced cell death of T cells
CL:0001058	plasmacytoid dendritic cell, human	GO:0040011	locomotion
CL:0000097	mast cell	GO:0006811	ion transport
CL:0000875	non-classical monocyte	GO:0048856	anatomical structure development
CL:0000623	natural killer cell	GO:0043320	natural killer cell degranulation
CL:0000775	neutrophil	GO:0009987	cellular process
CL:0000623	natural killer cell	GO:0009607	response to biotic stimulus
CL:0000236	B cell	GO:0002901	mature B cell apoptotic process
CL:0000814	mature NK T cell	GO:0002460	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains
CL:1000698	kidney resident macrophage	GO:0051674	localization of cell
CL:0001056	dendritic cell, human	GO:0043170	macromolecule metabolic process
CL:0000084	T cell	GO:0001768	establishment of T cell polarity
CL:0000814	mature NK T cell	GO:0048870	cell motility
CL:0000910	cytotoxic T cell	GO:0001906	cell killing
CL:0000097	mast cell	GO:0006954	inflammatory response
CL:0001058	plasmacytoid dendritic cell, human	GO:0043170	macromolecule metabolic process
CL:0001056	dendritic cell, human	GO:0048870	cell motility
CL:0000910	cytotoxic T cell	GO:0050896	response to stimulus
CL:0000084	T cell	GO:0070231	T cell apoptotic process
CL:0000115	endothelial cell	GO:0097705	vascular endothelial cell response to pulsatile fluid shear stress
CL:0000990	conventional dendritic cell	GO:0001667	ameboidal-type cell migration
