Terminal AS/ID	Terminal AS/label	Terminal AS/user_label	CL Name	References/ID	References/DOI
UBERON:0002015	kidney capsule	kidney capsule	capsule mesenchymal stromal cell		DOI: 10.1371/journal.pone.0187118
UBERON:0001289	Loop of Henle (Thin Limb)	descending thin limb of loop of Henle	Descending Thin Limb Cell Type 2		
UBERON:0004196	proximal convoluted tubule segment 1	proximal convoluted tubule segment 1	Proximal Tubule Epithelial Cell Segment 1	PMID: 31249312. PMCID: PMC6597610 ; PMID: 31689386	DOI: 10.1038/s41467-019-10861-2 ; DOI: 10.1172/jci.insight.133267 ; DOI: 10.1016/j.devcel.2019.10.005 ; DOI: 10.1038/s41586-020-2941-1 ; DOI: 10.1073/pnas.2005477117 ; DOI: 10.1681/ASN.2020010071
UBERON:0004197	proximal convoluted tubule segment 2	proximal convoluted tubule segment 2	Proximal Tubule Epithelial Cell Segment 2	PMID: 31249312. PMCID: PMC6597610 ; PMID: 31689386	DOI: 10.1038/s41467-019-10861-2 ; DOI: 10.1172/jci.insight.133267 ; DOI: 10.1016/j.devcel.2019.10.005 ; DOI: 10.1073/pnas.2005477117 ; DOI: 10.1681/ASN.2020010071
UBERON:0001290	proximal straight tubule segment 3	proximal straight tubule	Proximal Tubule Cell Epithelial Segment 3	PMID: 31249312. PMCID: PMC6597610 ; PMID: 31689386	DOI: 10.1038/s41467-019-10861-2 ; DOI: 10.1016/j.devcel.2019.10.005 ; DOI: 10.1038/s41586-020-2941-1 ; DOI: 10.1073/pnas.2005477117 ; DOI: 10.1681/ASN.2020010071
UBERON:0001289	Loop of Henle (Thin Limb)	descending thin limb of loop of Henle	Descending Thin Limb Cell Type 1	PMID: 31249312. PMCID: PMC6597610	DOI: 10.1038/s41467-019-10861-2 ; DOI: 10.1172/jci.insight.133267 ; DOI: 10.1152/ajprenal.2000.278.1.F52 ; DOI: 10.1681/ASN.2020010071
UBERON:0001289	Loop of Henle (Thin Limb)	descending thin limb of loop of Henle	Descending Thin Limb Cell Type 2	PMID: 31689386	DOI: 10.1101/2021.07.28.454201 ; DOI: 10.1016/j.devcel.2019.10.005 ; DOI: 10.1038/s41467-019-10861-2 ; DOI: 10.1681/ASN.2020010071 ; DOI: 10.1152/ajprenal.2000.278.1.F52
UBERON:0001289	Loop of Henle (Thin Limb)	descending thin limb of loop of Henle	Descending Thin Limb Cell Type 3	PMID: 31689386 ; https://pubmed.ncbi.nlm.nih.gov/10662724/	DOI: 10.1101/2021.07.28.454201 ; DOI: 10.1016/j.devcel.2019.10.005 ; DOI: 10.1038/s41467-019-10861-2 ; DOI: 10.1152/ajprenal.2000.278.2.F202 ; DOI: 10.1152/ajprenal.2000.278.1.F52 ; DOI: 10.1681/ASN.2020010071
UBERON:0001292	Distal Convolution	distal convoluted tubule	Distal Convoluted Tubule Cell Type 1	PMID: 31249312. PMCID: PMC6597610 ; PMID: 32358040	DOI: 10.1038/s41467-019-10861-2 ; DOI: 10.1038/s41467-019-10861-2 ; DOI: 10.1681/ASN.2020010071 ; DOI: 10.1681/ASN.2020010071
UBERON:0001292	Distal Convolution	distal convoluted tubule	Distal Convoluted Tubule Cell Type 2	PMID: 31249312. PMCID: PMC6597610 ; PMID: 32358040	DOI: 10.1038/s41467-019-10861-2 ; DOI: 10.1038/s41467-019-10861-2 ; DOI: 10.1681/ASN.2020010071 ; DOI: 10.1681/ASN.2020010071
UBERON:0005097	Connecting Tubule	connecting tubule	Connecting Tubule Principal Cell	PMID: 31249312. PMCID: PMC6597610 ; PMID: 32358040	DOI: 10.1038/s41467-019-10861-2 ; DOI: 10.1038/s41467-019-10861-2 ; DOI: 10.1681/ASN.2020010071 ; DOI: 10.1038/s41586-020-2941-1
UBERON:0005097	Connecting Tubule	connecting tubule	Connecting Tubule Intercalated Cell	PMID: 31249312. PMCID: PMC6597610 ; PMID: 32358040	DOI: 10.1038/s41467-019-10861-2 ; DOI: 10.1038/s41467-019-10861-2 ; DOI: 10.1681/ASN.2020010071 ; DOI: 10.1038/s41586-020-2941-1
UBERON:0005097	Connecting Tubule	connecting tubule	Connecting Tubule Intercalated Cell Type A	PMID: 31249312. PMCID: PMC6597610 ; PMID: 32358040	DOI: 10.1038/s41467-019-10861-2 ; DOI: 10.1038/s41467-019-10861-2 ; DOI: 10.1681/ASN.2020010071
UBERON:0005097	Connecting Tubule	connecting tubule	Connecting Tubule Intercalated Cell Type B	PMID: 31249312. PMCID: PMC6597610 ; PMID: 32358040	DOI: 10.1038/s41467-019-10861-2 ; DOI: 10.1038/s41467-019-10861-2 ; DOI: 10.1681/ASN.2020010071
UBERON:0001232	Collecting Duct	collecting duct of renal tubule	Transitional principal-intercalated cell		DOI: 10.1038/s41467-019-10861-2 ; DOI: 10.1172/jci.insight.133267
UBERON:0001232	Collecting Duct	collecting duct of renal tubule	Collecting Duct Intercalated Cell Type A	PMID: 31249312. PMCID: PMC6597610 ; PMID: 31689386	DOI: 10.1038/s41467-019-10861-2 ; DOI: 10.1016/j.devcel.2019.10.005 ; DOI: 10.1038/s41467-019-10861-2 ; DOI: 10.1172/jci.insight.133267
