Terminal AS/ID	Terminal AS/label	Terminal AS/user_label	CL Name	References/ID	References/DOI
UBERON:0010996	Articular cartilage of a joint	Superior Articular Cartilage	CL:1001607		
UBERON:0009980	Distal Femur	condyle of femur	Deep Superficial		
UBERON:0009980	Distal Femur	condyle of femur	CL:1001607		
UBERON:0009980	Distal Femur	condyle of femur	Rounded Chondrocytes		
UBERON:0009980	Distal Femur	condyle of femur	Prehypertrophic Chondrocytes		
UBERON:0009980	Distal Femur	condyle of femur	CL:0000743		
UBERON:4000088	Mineralized Cartilage	mineralized cartilage tissue	CL:0000743		
UBERON:0001437	Epiphyseal Bone	epiphysis	Residual Hypertrophic Chondrocytes		
UBERON:0009980	Distal Femur	condyle of femur	CL:0000137		
UBERON:0009980	Distal Femur	condyle of femur	CL:0000062		
UBERON:0009980	Distal Femur	condyle of femur	Bone lIning Cells		
UBERON:0009980	Distal Femur	condyle of femur	CL:0000779		
UBERON:0009980	Distal Femur	condyle of femur	Preosteoclasts		
UBERON:0009980	Distal Femur	condyle of femur	CL:0000778		
UBERON:0007195	Bone Marrow Stroma	stroma of bone marrow	vascular endothelial cells		
UBERON:0007195	Bone Marrow Stroma	stroma of bone marrow	CL:2000008		
UBERON:0009980	Distal Femur	condyle of femur	perivascular cells		
UBERON:0009980	Distal Femur	condyle of femur	CL:0000669		
UBERON:0009980	Distal Femur	condyle of femur	CL:0007010		
UBERON:0009980	Distal Femur	condyle of femur	sinusoidal cells		
UBERON:0009980	Distal Femur	condyle of femur	CL:0002262		
UBERON:0006136	unmyelinated nerve fiber	unmyelinated nerve fiber	autonomic neuronal cells		
UBERON:0009980	Distal Femur	condyle of femur	Marrow Adipocytes		
UBERON:0009980	Distal Femur	condyle of femur	CL:0000136		
UBERON:0002371	Marrow elements	bone marrow	Collaboration		
