WARNING - Different labels found for UBERON:0000052. Uberongraph: fornix of brain ; ASCT+b table: fornix
WARNING - Different labels found for UBERON:0001717. Uberongraph: spinal nucleus of trigeminal nerve ; ASCT+b table: spinal trigeminal nucleus
WARNING - Different labels found for UBERON:0001890. Uberongraph: forebrain ; ASCT+b table: forebrain (prosencephalon)
WARNING - Different labels found for UBERON:0001891. Uberongraph: midbrain ; ASCT+b table: midbrain (mesencephalon)
WARNING - Different labels found for UBERON:0002022. Uberongraph: insula ; ASCT+b table: insular lobe
WARNING - Different labels found for UBERON:0002023. Uberongraph: claustrum of brain ; ASCT+b table: claustrum
WARNING - Different labels found for UBERON:0002028. Uberongraph: hindbrain ; ASCT+b table: hindbrain (rhombencephalon)
WARNING - Different labels found for UBERON:0002151. Uberongraph: pontine nuclear group ; ASCT+b table: basilar part of pons (Pontine nuclei)
WARNING - Different labels found for UBERON:0002285. Uberongraph: telencephalic ventricle ; ASCT+b table: lateral ventricles
WARNING - Different labels found for UBERON:0002289. Uberongraph: midbrain cerebral aqueduct ; ASCT+b table: ventricle of midbrain (cerebral aqueduct)
WARNING - Different labels found for UBERON:0002291. Uberongraph: central canal of spinal cord ; ASCT+b table: central canal of medulla oblongata
WARNING - Different labels found for UBERON:0002476. Uberongraph: lateral globus pallidus ; ASCT+b table: globus pallidus, external
WARNING - Different labels found for UBERON:0002477. Uberongraph: medial globus pallidus ; ASCT+b table: globus pallidus, internal
WARNING - Different labels found for UBERON:0002590. Uberongraph: prepyriform area ; ASCT+b table: prepiriform region
WARNING - Different labels found for UBERON:0002624. Uberongraph: orbital part of inferior frontal gyrus ; ASCT+b table: inferior frontal gyrus, orbital part
WARNING - Different labels found for UBERON:0002629. Uberongraph: triangular part of inferior frontal gyrus ; ASCT+b table: inferior frontal gyrus, triangular part
WARNING - Different labels found for UBERON:0002644. Uberongraph: intermediate orbital gyrus ; ASCT+b table: anterior intermediate orbital gyrus
WARNING - Different labels found for UBERON:0002707. Uberongraph: corticospinal tract ; ASCT+b table: pyramidal tract
WARNING - Different labels found for UBERON:0002738. Uberongraph: isthmus of cingulate gyrus ; ASCT+b table: cingulo-parahippocampal isthmus
WARNING - Different labels found for UBERON:0002740. Uberongraph: posterior cingulate gyrus ; ASCT+b table: cingulate gyrus, caudal (posterior) part
WARNING - Different labels found for UBERON:0002756. Uberongraph: anterior cingulate gyrus ; ASCT+b table: cingulate gyrus, rostral (anterior) part
WARNING - Different labels found for UBERON:0002980. Uberongraph: opercular part of inferior frontal gyrus ; ASCT+b table: inferior frontal gyrus, opercular part
WARNING - Different labels found for UBERON:0003020. Uberongraph: subcallosal area ; ASCT+b table: subcallosal gyrus (parolfactory gyrus)
WARNING - Different labels found for UBERON:0003040. Uberongraph: central gray substance of midbrain ; ASCT+b table: periaqueductal gray substance
WARNING - Different labels found for UBERON:0004086. Uberongraph: brain ventricle ; ASCT+b table: ventricles of hindbrain
WARNING - Different labels found for UBERON:0004671. Uberongraph: gyrus rectus ; ASCT+b table: gyrus rectus (straight gyrus)
WARNING - Different labels found for UBERON:0004672. Uberongraph: posterior horn lateral ventricle ; ASCT+b table: posterior horn of lateral ventricle
WARNING - Different labels found for UBERON:0004725. Uberongraph: piriform cortex ; ASCT+b table: lateral olfactory gyrus
WARNING - Different labels found for UBERON:0006083. Uberongraph: perirhinal cortex ; ASCT+b table: perirhinal gyrus ( rostral part of FuGt)
WARNING - Different labels found for UBERON:0006091. Uberongraph: inferior horn of the lateral ventricle ; ASCT+b table: inferior horn of lateral ventricle
WARNING - Different labels found for UBERON:0006092. Uberongraph: cuneus cortex ; ASCT+b table: cuneus
WARNING - Different labels found for UBERON:0006093. Uberongraph: precuneus cortex ; ASCT+b table: precuneus
WARNING - Different labels found for UBERON:0007228. Uberongraph: vestibular nucleus ; ASCT+b table: vestibular nuclei
WARNING - Different labels found for UBERON:0007634. Uberongraph: parabrachial nucleus ; ASCT+b table: parabrachial nuclei
WARNING - Different labels found for UBERON:0007769. Uberongraph: medial preoptic region ; ASCT+b table: preoptic region
WARNING - Different labels found for UBERON:0010011. Uberongraph: collection of basal ganglia ; ASCT+b table: basal nuclei (basal ganglia)
WARNING - Different labels found for UBERON:0022364. Uberongraph: occipital fusiform gyrus ; ASCT+b table: occipitotemporal (fusiform) gyrus, temporal part
WARNING - Different labels found for UBERON:0024151. Uberongraph: tegmentum ; ASCT+b table: tegmentum of the medulla
WARNING - Different labels found for UBERON:0034891. Uberongraph: insular cortex ; ASCT+b table: long insular gyri
WARNING - Different labels found for UBERON:0035932. Uberongraph: anterior segment of paracentral lobule ; ASCT+b table: paracentral lobule, rostral part
WARNING - No valid ID provided for '', label: amygdaloid complex, user_label: 
WARNING - No valid ID provided for '', label: anterior nuclear complex, user_label: 
WARNING - No valid ID provided for '', label: atrium of lateral ventricle, user_label: 
WARNING - No valid ID provided for '', label: caudate nucleus, user_label: 
WARNING - No valid ID provided for '', label: centromedian nucleus, user_label: 
WARNING - No valid ID provided for '', label: cerebellar deep nuclei, user_label: 
WARNING - No valid ID provided for '', label: cingulate gyrus, retrospleninal part, user_label: 
WARNING - No valid ID provided for '', label: corpus callosum (midline portion), user_label: 
WARNING - No valid ID provided for '', label: frontomarginal gyrus, user_label: 
WARNING - No valid ID provided for '', label: habenular nuclei, user_label: 
WARNING - No valid ID provided for '', label: hippocampal gyrus (formation), user_label: 
WARNING - No valid ID provided for '', label: inferior olive, user_label: 
WARNING - No valid ID provided for '', label: inferior parietal lobule, user_label: 
WARNING - No valid ID provided for '', label: internal capsule, user_label: 
WARNING - No valid ID provided for '', label: lateral geniculate nuclei, user_label: 
WARNING - No valid ID provided for '', label: lateral hemisphere of cerebellum, user_label: 
WARNING - No valid ID provided for '', label: lateral posterior nucleus, user_label: 
WARNING - No valid ID provided for '', label: mammillary region, user_label: 
WARNING - No valid ID provided for '', label: mammillothalamic tract, user_label: 
WARNING - No valid ID provided for '', label: medial geniculate nuclei, user_label: 
WARNING - No valid ID provided for '', label: mediodorsal nucleus of thalamus, user_label: 
WARNING - No valid ID provided for '', label: midline nuclear complex, user_label: 
WARNING - No valid ID provided for '', label: mucleus accumbens, user_label: 
WARNING - No valid ID provided for '', label: occipitoparietal transition region, user_label: 
WARNING - No valid ID provided for '', label: occipitotemporal (fusiform) gyrus, occipital part, user_label: 
WARNING - No valid ID provided for '', label: occipitotemporal transition region, user_label: 
WARNING - No valid ID provided for '', label: paracentral lobule, caudal part, user_label: 
WARNING - No valid ID provided for '', label: parafascicular nucleus, user_label: 
WARNING - No valid ID provided for '', label: paraventricular nucleus of thalamus, user_label: 
WARNING - No valid ID provided for '', label: paravermis of cerebellum, user_label: 
WARNING - No valid ID provided for '', label: perirhinal lobule, user_label: 
WARNING - No valid ID provided for '', label: pulvinar of thalamus, user_label: 
WARNING - No valid ID provided for '', label: reunions nucleus of thalamus, user_label: 
WARNING - No valid ID provided for '', label: septal nuclei, user_label: 
WARNING - No valid ID provided for '', label: supraoptic region, user_label: 
WARNING - No valid ID provided for '', label: supraparietal lobule, user_label: 
WARNING - No valid ID provided for '', label: thalamus, user_label: 
WARNING - No valid ID provided for '', label: thalamus, user_label: 
WARNING - No valid ID provided for '', label: thalamus, user_label: 
WARNING - No valid ID provided for '', label: thalamus, user_label: 
WARNING - No valid ID provided for '', label: thalamus, user_label: 
WARNING - No valid ID provided for '', label: thalamus, user_label: 
WARNING - No valid ID provided for '', label: thalamus, user_label: 
WARNING - No valid ID provided for '', label: thalamus, user_label: 
WARNING - No valid ID provided for '', label: thalamus, user_label: 
WARNING - No valid ID provided for '', label: thalamus, user_label: 
WARNING - No valid ID provided for '', label: thalamus, user_label: 
WARNING - No valid ID provided for '', label: thalamus, user_label: 
WARNING - No valid ID provided for '', label: thalamus, user_label: 
WARNING - No valid ID provided for '', label: thalamus, user_label: 
WARNING - No valid ID provided for '', label: thalamus, user_label: 
WARNING - No valid ID provided for '', label: thalamus, user_label: 
WARNING - No valid ID provided for '', label: thalamus, user_label: 
WARNING - No valid ID provided for '', label: transverse temporal gyrus (Heschl's gyrus), user_label: 
WARNING - No valid ID provided for '', label: tuberal region, user_label: 
WARNING - No valid ID provided for '', label: uncus of parahippocampal gyrus, user_label: 
WARNING - No valid ID provided for '', label: ventral anterior nucleus, user_label: 
WARNING - No valid ID provided for '', label: ventral lateral nucleus, user_label: 
WARNING - No valid ID provided for '', label: ventral posterior lateral nucleus, user_label: 
WARNING - No valid ID provided for '', label: ventral posterior medial nucleus, user_label: 
WARNING - No valid ID provided for '', label: ventricle of forebrain, user_label: 
WARNING - No valid ID provided for '', label: ventricle of forebrain, user_label: 
WARNING - No valid ID provided for 'PCL:0015001', label: Inh L1 LAMP5 PVRL2, user_label: Inh L1 LAMP5 PVRL2 primary motor cortex GABAergic interneuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015002', label: Inh L1 LAMP5 RAB11FIP1, user_label: Inh L1 LAMP5 RAB11FIP1 primary motor cortex GABAergic interneuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015003', label: Inh L1-6 LAMP5 AARD, user_label: Inh L1-6 LAMP5 AARD primary motor cortex GABAergic interneuron (Homo sapiens)
