WARNING - No valid ID provided for '', label: , user_label: lateral lymphatic pathway of upper arm
WARNING - No valid ID provided for '', label: , user_label: subclavicular lymph node
WARNING - No valid ID provided for 'FMA:12250', label: Jugular lymphatic trunk, user_label: jugular lymph trunk
WARNING - No valid ID provided for 'FMA:12252', label: Subclavian lymphatic trunk, user_label: subclavian lymph trunk
WARNING - No valid ID provided for 'FMA:12252', label: Subclavian lymphatic trunk, user_label: subclavian lymph trunk
WARNING - No valid ID provided for 'FMA:12252', label: Subclavian lymphatic trunk, user_label: subclavian lymph trunk
WARNING - No valid ID provided for 'FMA:12252', label: Subclavian lymphatic trunk, user_label: subclavian lymph trunk
WARNING - No valid ID provided for 'FMA:12765', label: Lumbar lymphatic trunk, user_label: lumbar lymph trunk
WARNING - No valid ID provided for 'FMA:12765', label: Lumbar lymphatic trunk, user_label: lumbar lymph trunk
WARNING - No valid ID provided for 'FMA:12765', label: Lumbar lymphatic trunk, user_label: lumbar lymph trunk
WARNING - No valid ID provided for 'FMA:12765', label: Lumbar lymphatic trunk, user_label: lumbar lymph trunk
WARNING - No valid ID provided for 'FMA:12765', label: Lumbar lymphatic trunk, user_label: lumbar lymph trunk
WARNING - No valid ID provided for 'FMA:12765', label: Lumbar lymphatic trunk, user_label: lumbar lymph trunk
WARNING - No valid ID provided for 'FMA:12765', label: Lumbar lymphatic trunk, user_label: lumbar lymph trunk
WARNING - No valid ID provided for 'FMA:12765', label: Lumbar lymphatic trunk, user_label: lumbar lymph trunk
WARNING - No valid ID provided for 'FMA:234912', label: Supraclavicular lymphatic vessel, user_label: supraclavicular lymph trunk
WARNING - No valid ID provided for 'FMA:234912', label: Supraclavicular lymphatic vessel, user_label: supraclavicular lymph trunk
WARNING - No valid ID provided for 'FMA:323951', label: Pre-aortic thoracic lymph node group, user_label: preaortic lymph node
WARNING - No valid ID provided for 'FMA:323951', label: Pre-aortic thoracic lymph node group, user_label: preaortic lymph node
WARNING - No valid ID provided for 'FMA:323951', label: Pre-aortic thoracic lymph node group, user_label: preaortic lymph node
WARNING - No valid ID provided for 'FMA:323951', label: Pre-aortic thoracic lymph node group, user_label: preaortic lymph node
WARNING - No valid ID provided for 'FMA:323951', label: Pre-aortic thoracic lymph node group, user_label: preaortic lymph node
WARNING - No valid ID provided for 'FMA:323951', label: Pre-aortic thoracic lymph node group, user_label: preaortic lymph node
WARNING - No valid ID provided for 'FMA:5032', label: Left jugular lymphatic trunk, user_label: left jugular lymph trunk
WARNING - No valid ID provided for 'FMA:5033', label: Left subclavian lymphatic trunk, user_label: left subclavian lymph trunk
WARNING - No valid ID provided for 'FMA:5832', label: Right lymphatic duct, user_label: right lymphatic duct
WARNING - No valid ID provided for 'FMA:5834', label: Left bronchomediastinal lymphatic trunk, user_label: left bronchomediastinal lymph trunk
WARNING - No valid ID provided for 'FMA:5840', label: Right lumbar lymphatic trunk, user_label: right lumbar lymph trunk
WARNING - No valid ID provided for 'FMA:5841', label: Left lumbar lymphatic trunk, user_label: left lumbar lymph trunk
WARNING - No valid ID provided for 'FMA:5842', label: Intestinal lymphatic trunk, user_label: intestinal lymph trunk
WARNING - No valid ID provided for 'FMA:5842', label: Intestinal lymphatic trunk, user_label: intestinal lymph trunk
WARNING - No valid ID provided for 'FMA:5842', label: Intestinal lymphatic trunk, user_label: intestinal lymph trunk
WARNING - No valid ID provided for 'FMA:5842', label: Intestinal lymphatic trunk, user_label: intestinal lymph trunk
WARNING - No valid ID provided for 'FMA:5842', label: Intestinal lymphatic trunk, user_label: intestinal lymph trunk
WARNING - No valid ID provided for 'FMA:5842', label: Intestinal lymphatic trunk, user_label: intestinal lymph trunk
WARNING - No valid ID provided for 'FMA:5842', label: Intestinal lymphatic trunk, user_label: intestinal lymph trunk
WARNING - No valid ID provided for 'FMA:71749', label: Central axillary lymph node group, user_label: central axillary lymph node
WARNING - No valid ID provided for 'FMA:71813', label: Inferior mesenteric lymph node group, user_label: inferior mesenteric lymph node
WARNING - No valid ID provided for 'FMA:9585', label: Bronchomediastinal lymphatic trunk, user_label: bronchomediastinal lymph trunk
