Terminal AS/ID	Terminal AS/label	Terminal AS/user_label	CL Name	References/ID	References/DOI
UBERON:0003604	trachea cartilage	tracheal cartilage	perichondrial fibroblasts	NA	doi: 10.1101/2021.11.26.470108.
UBERON:0002339	epithelium of lobar bronchus	bronchial epithelium	airway deuterosomal cell	31922198	doi: 10.1042/BST20191010.
UBERON:0002339	epithelium of lobar bronchus	bronchial epithelium	suprabasal cell	31922198	doi: 10.1042/BST20191010.
UBERON:0002339	epithelium of lobar bronchus	lobar bronchial epithelium	airway deuterosomal cell	31922198	doi: 10.1042/BST20191010.
UBERON:0002339	epithelium of lobar bronchus	lobar bronchial epithelium	suprabasal cell	31922198	doi: 10.1042/BST20191010.
UBERON:0002341	epithelium of segmental bronchus	segmental bronchial epithelium	airway deuterosomal cell 	31922198	doi: 10.1042/BST20191010.
UBERON:0002341	epithelium of segmental bronchus	segmental bronchial epithelium	suprabasal cell	31922198	doi: 10.1042/BST20191010.
UBERON:0002341	epithelium of segmental bronchus	segmental bronchial epithelium	airway deuterosomal cell	31922198	doi: 10.1042/BST20191010.
UBERON:0001955	epithelium of respiratory bronchiole	epithelium of respiratory bronchiole	respiratory airway secretory cell		doi: 10.1038/s41586-022-04552-0
UBERON:0002405	immune system	Immune System of Respiratory Tract	CD4+ T cell resident memory	33603755	doi: 10.3389/fimmu.2020.624411
UBERON:0002405	immune system	Immune System of Respiratory Tract	CD8+ T cell resident memory	31265968	doi: 10.1016/j.coi.2019.05.011
UBERON:0002405	immune system	Immune System of Respiratory Tract	migratory dendritic cell	32832599	doi: 10.1126/sciadv.aba1983
UBERON:0002405	immune system	Immune System of Respiratory Tract	alveolar macrophage proliferating	NA	NA
UBERON:0002405	immune system	Immune System of Respiratory Tract	alveolar macrophage CCL3+	NA	NA
UBERON:0002405	immune system	Immune System of Respiratory Tract	alveolar macrophage MT-positive	NA	NA
