WARNING - Unrecognised cell content ''
WARNING - Different labels found for UBERON:8410053. Uberongraph: lymph node germinal center dark zone ; ASCT+b table: ymph node germinal center dark zone
WARNING - Different labels found for UBERON:8410032. Uberongraph: trabecular sinus of lymph node ; ASCT+b table: 
WARNING - Different labels found for UBERON:0005463. Uberongraph: subcapsular sinus of lymph node ; ASCT+b table: 
WARNING - Different labels found for UBERON:0034729. Uberongraph: sympathetic nerve ; ASCT+b table: 
WARNING - Different labels found for UBERON:0010396. Uberongraph: afferent lymphatic vessel ; ASCT+b table: lymphatic vessel
WARNING - Different labels found for UBERON:0002195. Uberongraph: trabecula of lymph node ; ASCT+b table: venule of lymph node
WARNING - Different labels found for UBERON:8410034. Uberongraph: lymph node artery ; ASCT+b table: 
WARNING - Different labels found for UBERON:0010753. Uberongraph: lymph node secondary follicle ; ASCT+b table: lymph node germinal center
WARNING - Different labels found for UBERON:8410066. Uberongraph: lymph node paracortex ; ASCT+b table: 
WARNING - Different labels found for UBERON:8410033. Uberongraph: lymph node vein ; ASCT+b table: 
WARNING - Different labels found for UBERON:8410041. Uberongraph: venule of lymph node ; ASCT+b table: 
WARNING - Different labels found for UBERON:8410067. Uberongraph: lymph node interfollicular cortex ; ASCT+b table: 
WARNING - Different labels found for UBERON:0010395. Uberongraph: lymph node primary follicle ; ASCT+b table: 
WARNING - Different labels found for UBERON:0010397. Uberongraph: efferent lymphatic vessel ; ASCT+b table: 
