s	slabel	user_slabel	o	olabel	user_olabel
CL:0000033	apocrine cell	apocrine	UBERON:0008974	apocrine gland	apocrine gland
CL:0000041	mature eosinophil	eosinophil	UBERON:0001961	mucosa-associated lymphoid tissue	subcutaneous skin-associated lymphoid tissue
CL:0000041	mature eosinophil	eosinophil	UBERON:0001962	gut-associated lymphoid tissue	gut associated lymphoid tissue (GALT)/lamina propria
CL:0000041	mature eosinophil	eosinophil	UBERON:0001961	mucosa-associated lymphoid tissue	dermal skin-associated lymphoid tissue
CL:0000041	mature eosinophil	eosinophil	UBERON:0013485	crypt of Lieberkuhn of colon	crypt
CL:0000041	mature eosinophil	eosinophil	UBERON:0013485	crypt	crypt
CL:0000057	fibroblast	fibroblast	UBERON:0007178	muscularis mucosae of colon	muscularis mucosa
CL:0000057	fibroblast	fibroblast	UBERON:0003331	submucosa of colon	submucosa
CL:0000057	fibroblast	fibroblast	UBERON:0005742	adventitia	adventitia
CL:0000057	fibroblast	fibroblast	UBERON:0012398	large intestine smooth muscle circular layer	circular muscle layer
CL:0000057	fibroblast	fibroblast	UBERON:0003329	submucosa of anal canal	submucosa
CL:0000057	fibroblast	fibroblast	UBERON:0002439	myenteric nerve plexus	myenteric plexus of Auerbach
CL:0000057	fibroblast	fibroblast	UBERON:0012399	large intestine smooth muscle longitudinal layer	longitudinal muscle layer
CL:0000057	fibroblast	fibroblast	UBERON:0012375	subserosa	subserosa
CL:0000057	fibroblast	fibroblast	UBERON:0007177	lamina propria of mucosa of colon	lamina propria
CL:0000057	fibroblast	fibroblast	UBERON:0007177	lamina propria	lamina propria
CL:0000057	fibroblast	fibroblast	UBERON:0012398	circular muscle layer	circular muscle layer
CL:0000057	fibroblast	fibroblast	UBERON:0004927	submucosa of cecum	submucosa
CL:0000057	fibroblast	fibroblast	UBERON:0012399	longitudinal muscle layer	longitudinal muscle layer
CL:0000057	fibroblast	fibroblast	UBERON:0002439	myenteric plexus of Auerbach	myenteric plexus of Auerbach
CL:0000057	fibroblast	fibroblast	UBERON:0011189	lamina propria of large intestine	lamina propria
CL:0000096	mature neutrophil	neutrophil (normally intravascular only)	UBERON:0001962	gut-associated lymphoid tissue	gut associated lymphoid tissue (GALT)/lamina propria
CL:0000096		neutrophil (normally intravascular only)	UBERON:0001962	gut-associated lymphoid tissue	gut associated lymphoid tissue (GALT)/lamina propria
CL:0000096		neutrophil (normally intravascular only)	UBERON:0001962	gut-associated lymphoid tissue	gut associated lymphoid tissue (GALT)/ lamina propria
CL:0000097	mast cell	mast cell	UBERON:0001961	mucosa-associated lymphoid tissue	dermal skin-associated lymphoid tissue
CL:0000097	mast cell	mast cell	UBERON:0001962	gut-associated lymphoid tissue	gut associated lymphoid tissue (GALT)/lamina propria
CL:0000097	mast cell	mast cell	UBERON:0001961	mucosa-associated lymphoid tissue	subcutaneous skin-associated lymphoid tissue
CL:0000136	fat cell	adipocyte	UBERON:0004927	submucosa of cecum	submucosa
CL:0000136	fat cell	adipocyte	UBERON:0003331	submucosa of colon	submucosa
CL:0000136	fat cell	adipocyte	UBERON:0012375	subserosa	subserosa
CL:0000136	fat cell	adipocyte	UBERON:0003329	submucosa of anal canal	submucosa
CL:0000136	fat cell	adipocyte	UBERON:0005742	adventitia	adventitia
CL:0000146	simple columnar epithelial cell	columnar	UBERON:0004760	gland of anal canal	anal gland
CL:0000148	melanocyte	melanocyte	UBERON:0015716	anal canal epithelium	epithelium
CL:0000148	melanocyte	melanocyte	UBERON:0001003	skin epidermis	epidermis
CL:0000165	neuroendocrine cell	neuroendocrine	UBERON:0011184	epithelium of crypt of Lieberkuhn	epithelium
CL:0000165		neuroendocrine cell	UBERON:0011189	lamina propria of large intestine	lamina propria
CL:0000165		neuroendocrine	UBERON:0022281	epithelium of crypt of Lieberkuhn of large intestine	epithelium
CL:0000165		neuroendocrine cell	UBERON:0007177	lamina propria	lamina propria
CL:0000165	neuroendocrine cell	neuroendocrine cell	UBERON:0007177	lamina propria of mucosa of colon	lamina propria
CL:0000165		neuroendocrine	UBERON:0011184	epithelium of crypt of Lieberkuhn	epithelium
CL:0000186	myofibroblast cell	myofibroblast	UBERON:0007177	lamina propria of mucosa of colon	lamina propria
CL:0000186	myofibroblast cell	myofibroblast	UBERON:0007177	lamina propria	lamina propria
CL:0000186	myofibroblast cell	myofibroblast	UBERON:0011189	lamina propria of large intestine	lamina propria
CL:0000188	cell of skeletal muscle	skeletal muscle	UBERON:0001367	external anal sphincter	external anal sphincter
CL:0000192	smooth muscle cell	smooth muscle	UBERON:0012419	taenia coli	omental coli
CL:0000192	smooth muscle cell	smooth muscle	UBERON:0012419	taenia coli	mesocolic coli
CL:0000192	smooth muscle cell	smooth muscle	UBERON:0012419	taenia coli	omental coli
CL:0000192	smooth muscle cell	smooth muscle	UBERON:0012419	taenia coli	free coli
CL:0000192	smooth muscle cell	smooth muscle	UBERON:0012419	taenia coli	mesocolic coli
CL:0000192	smooth muscle cell	smooth muscle	UBERON:0012419	taenia coli	free coli
CL:0000235	macrophage	macrophage	UBERON:0001961	mucosa-associated lymphoid tissue	dermal skin-associated lymphoid tissue
CL:0000235	macrophage	macrophage	UBERON:0001961	mucosa-associated lymphoid tissue	subcutaneous skin-associated lymphoid tissue
CL:0000235	macrophage	macrophage	UBERON:0001962	gut-associated lymphoid tissue	gut associated lymphoid tissue (GALT)/lamina propria
CL:0000235	macrophage	macrophage	UBERON:0001962	gut-associated lymphoid tissue	gut associated lymphoid tissue (GALT)/Isolated lymphoid follicles (ILF)
CL:0000236	B cell	B cell	UBERON:0001961	mucosa-associated lymphoid tissue	dermal skin-associated lymphoid tissue
CL:0000236	B cell	B cell	UBERON:0001961	mucosa-associated lymphoid tissue	subcutaneous skin-associated lymphoid tissue
CL:0000240	stratified squamous epithelial cell	squamous	UBERON:0015716	anal canal epithelium	epithelium
CL:0000240	stratified squamous epithelial cell	squamous	UBERON:0004760	gland of anal canal	anal gland
CL:0000242	Merkel cell	Merkel	UBERON:0015716	anal canal epithelium	epithelium
CL:0000244	transitional epithelial cell	transitional	UBERON:0004760	gland of anal canal	anal gland
CL:0000244	transitional epithelial cell	transitional	UBERON:0015716	anal canal epithelium	epithelium
CL:0000312	keratinocyte	keratinocyte	UBERON:0002073	hair follicle	hair follicle
CL:0000359	vascular associated smooth muscle cell	perivascular smooth muscle cell	UBERON:0000055	vessel	vessel
CL:0000434	eccrine cell	eccrine	UBERON:0000423	eccrine sweat gland	eccrine (sweat) gland
CL:0000451	dendritic cell	dendritic cell	UBERON:0001961	mucosa-associated lymphoid tissue	subcutaneous skin-associated lymphoid tissue
CL:0000451	dendritic cell	dendritic cell	UBERON:0001962	gut-associated lymphoid tissue	gut associated lymphoid tissue (GALT)/Isolated lymphoid follicles (ILF)
CL:0000451	dendritic cell	dendritic cell	UBERON:0001961	mucosa-associated lymphoid tissue	dermal skin-associated lymphoid tissue
CL:0000451	dendritic cell	dendritic cell	UBERON:0001962	gut-associated lymphoid tissue	gut associated lymphoid tissue (GALT)/lamina propria
CL:0000453	Langerhans cell	langerhans	UBERON:0001003	skin epidermis	epidermis
CL:0000453	Langerhans cell	langerhans cells	UBERON:0015716	anal canal epithelium	epithelium
CL:0000545	T-helper 1 cell	T helper	UBERON:0001961	mucosa-associated lymphoid tissue	subcutaneous skin-associated lymphoid tissue
CL:0000545	T-helper 1 cell	T helper	UBERON:0001961	mucosa-associated lymphoid tissue	dermal skin-associated lymphoid tissue
CL:0000669	pericyte	pericyte	UBERON:0012398	large intestine smooth muscle circular layer	circular muscle layer
CL:0000669	pericyte	pericyte	UBERON:0011189	lamina propria of large intestine	lamina propria
CL:0000669	pericyte	pericyte	UBERON:0004927	submucosa of cecum	submucosa
CL:0000669	pericyte	interstitial cell of Cajal	UBERON:0003331	submucosa	submucosa
CL:0000669	pericyte	pericyte	UBERON:0012398	circular muscle layer	circular muscle layer
CL:0000669	pericyte	interstitial cell of Cajal	UBERON:0002439	myenteric plexus of Auerbach	myenteric plexus of Auerbach
CL:0000669	pericyte	pericyte	UBERON:0002439	myenteric plexus of Auerbach	myenteric plexus of Auerbach
CL:0000669	pericyte	pericyte	UBERON:0012399	longitudinal muscle layer	longitudinal muscle layer
CL:0000669	pericyte	pericyte	UBERON:0007177	lamina propria of mucosa of colon	lamina propria
CL:0000669	pericyte	pericyte	UBERON:0012375	subserosa	subserosa
CL:0000669	pericyte	pericyte	UBERON:0012399	large intestine smooth muscle longitudinal layer	longitudinal muscle layer
CL:0000669	pericyte	interstitial cell of Cajal	UBERON:0002439	myenteric nerve plexus	myenteric plexus of Auerbach
CL:0000669	pericyte	pericyte	UBERON:0003329	submucosa of anal canal	submucosa
CL:0000669	pericyte	interstitial cell of Cajal	UBERON:0003331	submucosa of colon	submucosa
CL:0000669	pericyte	pericyte	UBERON:0002439	myenteric nerve plexus	myenteric plexus of Auerbach
CL:0000669	pericyte	pericyte	UBERON:0000055	vessel	vessel
CL:0000669	pericyte	pericyte	UBERON:0001962	gut-associated lymphoid tissue	gut associated lymphoid tissue (GALT)/Isolated lymphoid follicles (ILF)
CL:0000669	pericyte	pericyte	UBERON:0003331	submucosa of colon	submucosa
CL:0000669	pericyte	pericyte	UBERON:0007178	muscularis mucosae of colon	muscularis mucosa
CL:0000669	pericyte	pericyte	UBERON:0005742	adventitia	adventitia
CL:0000669	pericyte	pericyte	UBERON:0007177	lamina propria	lamina propria
CL:0000682	M cell of gut	M cell	UBERON:0001962	gut-associated lymphoid tissue	gut associated lymphoid tissue (GALT)/Isolated lymphoid follicles (ILF)
CL:0000786		plasma cell	UBERON:0001962	gut-associated lymphoid tissue	gut associated lymphoid tissue (GALT)/lamina propria
CL:0000786	plasma cell	plasma cell	UBERON:0001962	gut-associated lymphoid tissue	gut associated lymphoid tissue (GALT)/lamina propria
CL:0000793	CD4-positive, alpha-beta intraepithelial T cell	surface intraepithelial CD4+ lymphocyte	UBERON:0000397	colonic epithelium	epithelium
CL:0000793	CD4-positive, alpha-beta intraepithelial T cell	surface intraepithelial CD4+ lymphocyte	UBERON:0000397	colonic epithelium	lymphcyte
CL:0000796	CD8-alpha-beta-positive, alpha-beta intraepithelial T cell	surface intraepithelial CD8+ alph beta positive alpha/beta lymphocyte	UBERON:0000397	colonic epithelium	epithelium
CL:0000796	CD8-alpha-beta-positive, alpha-beta intraepithelial T cell	surface intraepithelial CD8+ alph beta positive alpha/beta lymphocyte	UBERON:0000397	colonic epithelium	lymphocyte
CL:0000815	regulatory T cell	T reg	UBERON:0001961	mucosa-associated lymphoid tissue	dermal skin-associated lymphoid tissue
CL:0000815	regulatory T cell	T reg	UBERON:0001961	mucosa-associated lymphoid tissue	subcutaneous skin-associated lymphoid tissue
CL:0000910	cytotoxic T cell	T killer	UBERON:0001961	mucosa-associated lymphoid tissue	dermal skin-associated lymphoid tissue
CL:0000910	cytotoxic T cell	T killer	UBERON:0001961	mucosa-associated lymphoid tissue	subcutaneous skin-associated lymphoid tissue
