s	slabel	user_slabel	o	olabel	user_olabel
UBERON:0000569	ileocecal valve	cecum	UBERON:0000059	large intestine	large intestine
UBERON:0004989	mucosa	mucosa	UBERON:0000569	ileocecal valve	cecum
UBERON:0000397	colonic epithelium	lymphocyte	UBERON:0004989	mucosa	mucosa
UBERON:0011184	epithelium of crypt of Lieberkuhn	epithelium	UBERON:0004989	mucosa	mucosa
UBERON:0000317	colonic mucosa	mucosa	UBERON:0000569	ileocecal valve	cecum
UBERON:0000397	colonic epithelium	lymphocyte	UBERON:0000317	colonic mucosa	mucosa
UBERON:0001962	gut-associated lymphoid tissue	gut associated lymphoid tissue (GALT)/Isolated lymphoid follicles (ILF)	UBERON:0000317	colonic mucosa	mucosa
UBERON:0007178	muscularis mucosae of colon	muscularis mucosa	UBERON:0000569	ileocecal valve	cecum
UBERON:0003331	submucosa of colon	submucosa	UBERON:0000569	ileocecal valve	cecum
UBERON:0001962	gut-associated lymphoid tissue	gut associated lymphoid tissue (GALT)/Isolated lymphoid follicles (ILF)	UBERON:0003331	submucosa of colon	submucosa
UBERON:0005304	submucosal plexus of Henle	submucosal plexus of Henle	UBERON:0003331	submucosa of colon	submucosa
UBERON:0012489	muscle layer of colon	muscularis propria	UBERON:0000569	ileocecal valve	cecum
UBERON:0012398	circular muscle layer	circular muscle layer	UBERON:0012489	muscle layer of colon	muscularis propria
UBERON:0002439	myenteric plexus of Auerbach	myenteric plexus of Auerbach	UBERON:0012489	muscle layer of colon	muscularis propria
UBERON:0012399	longitudinal muscle layer	longitudinal muscle layer	UBERON:0012489	muscle layer of colon	muscularis propria
UBERON:0012375	subserosa	subserosa	UBERON:0000569	ileocecal valve	cecum
UBERON:0003335	serosa	serosa	UBERON:0000569	ileocecal valve	cecum
UBERON:0007178	muscularis mucosae of colon	muscularis mucosa	UBERON:0001153	cecum	cecum
UBERON:0012489	muscle layer of colon	muscularis propria	UBERON:0001153	cecum	cecum
UBERON:0012375	subserosa	subserosa	UBERON:0001153	cecum	cecum
UBERON:0003335	serosa	serosa	UBERON:0001153	cecum	cecum
UBERON:0013485	crypt	crypt	UBERON:0004989	mucosa	mucosa
UBERON:0007177	lamina propria	lamina propria	UBERON:0004989	mucosa	mucosa
UBERON:0001962	gut-associated lymphoid tissue	gut associated lymphoid tissue (GALT)/Isolated lymphoid follicles (ILF)	UBERON:0004989	mucosa	mucosa
UBERON:0007178	muscularis mucosae of colon	muscularis mucosa	UBERON:0001154	vermiform appendix	appendix
UBERON:0003331	submucosa of colon	submucosa	UBERON:0004928	submucosa of appendix	submucosa
UBERON:0001962	gut-associated lymphoid tissue	gut associated lymphoid tissue (GALT)/Isolated lymphoid follicles (ILF)	UBERON:0004928	submucosa of appendix	submucosa
UBERON:0005304	submucosal plexus of Henle	submucosal plexus of Henle	UBERON:0004928	submucosa of appendix	submucosa
UBERON:0003331	submucosa of colon	submucosa	UBERON:0001154	vermiform appendix	appendix
UBERON:0012489	muscle layer of colon	muscularis propria	UBERON:0001154	vermiform appendix	appendix
UBERON:0012375	subserosa	subserosa	UBERON:0001154	vermiform appendix	appendix
UBERON:0003335	serosa	serosa	UBERON:0012498	serosa	serosa
UBERON:0004989	mucosa	mucosa	UBERON:0001156	ascending colon	ascending colon
UBERON:0000317	colonic mucosa	mucosa	UBERON:0001156	ascending colon	ascending colon
UBERON:0007178	muscularis mucosae of colon	muscularis mucosa	UBERON:0001156	ascending colon	ascending colon
UBERON:0003331	submucosa of colon	submucosa	UBERON:0001156	ascending colon	ascending colon
UBERON:0012489	muscle layer of colon	muscularis propria	UBERON:0001156	ascending colon	ascending colon
UBERON:0012375	subserosa	subserosa	UBERON:0001156	ascending colon	ascending colon
UBERON:0012419	omental coli	omental coli	UBERON:0001156	ascending colon	ascending colon
UBERON:0003335	serosa	serosa	UBERON:0001156	ascending colon	ascending colon
UBERON:0004989	mucosa	mucosa	UBERON:0022277	hepatic flexure of colon	hepatic flexure
