row_number	s	slabel	user_slabel	o	olabel	user_olabel
13	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0002378	muscle of abdomen	abdomen muscle
253	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0010933	orbicularis oris muscle	orbicularis oris muscle
254	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0010933	orbicularis oris muscle	orbicularis oris muscle
255	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0010933	orbicularis oris muscle	orbicularis oris muscle
257	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0008598	risorius muscle	risorius muscle
258	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0008609	transversus menti muscle	transversus menti muscle
259	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0008593	zygomaticus major muscle	zygomaticus major muscle
260	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0008594	zygomaticus minor muscle	zygomaticus minor muscle
261	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0003682	palatal muscle	palatal muscle
262	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0003682	palatal muscle	palatal muscle
263	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0003682	palatal muscle	palatal muscle
264	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001574	palatoglossus muscle	palatoglossus muscle
265	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0008586	tensor veli palatini	tensor veli palatini muscle
266	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001383	muscle of leg	leg muscle
267	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001383	muscle of leg	leg muscle
268	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001386	extensor digitorum longus	extensor digitorum longus muscle
272	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001383	muscle of leg	leg muscle
274	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001369	iliacus muscle	iliacus muscle
293	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0019203	superior gemellus muscle	superior gemellus muscle
292	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0002000	gluteal muscle	gluteal muscle
291	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0008529	piriformis muscle	piriformis muscle
290	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0002000	gluteal muscle	gluteal muscle
289	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0019202	inferior gemellus muscle	inferior gemellus muscle
288	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0008521	gluteus minimus	gluteus minimus muscle
252	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001578	orbicularis oculi muscle	orbicularis oculi muscle
287	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0002000	gluteal muscle	gluteal muscle
285	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0002000	gluteal muscle	gluteal muscle
283	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0000372	extensor digitorum brevis pes	extensor digitorum brevis muscle
282	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001383	muscle of leg	leg muscle
281	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001380	vastus medialis	vastus medialis muscle
280	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001379	vastus lateralis	vastus lateralis muscle
278	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001373	sartorius muscle	sartorius muscle
286	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001370	gluteus maximus	gluteus maximus muscle
251	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001578	orbicularis oculi muscle	orbicularis oculi muscle
250	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001578	orbicularis oculi muscle	orbicularis oculi muscle
249	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0010946	occipitofrontalis muscle	occipitofrontalis muscle
223	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0006719	lateral pterygoid muscle	lateral pterygoid muscle
222	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0006719	lateral pterygoid muscle	lateral pterygoid muscle
221	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0006719	lateral pterygoid muscle	lateral pterygoid muscle
220	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0003681	masticatory muscle	masticatory muscle
219	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001576	intrinsic muscle of tongue	intrinsic tongue muscle
218	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001576	intrinsic muscle of tongue	intrinsic tongue muscle
224	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001597	masseter muscle	masseter muscle
217	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001576	intrinsic muscle of tongue	intrinsic tongue muscle
215	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001576	intrinsic muscle of tongue	intrinsic tongue muscle
213	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001608	dilatator pupillae	dilator pupillae muscle
212	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001605	ciliary muscle	ciliary muscle
211	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0002376	cranial muscle	cranial muscle
210	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001575	extrinsic muscle of tongue	extrinsic tongue muscle
209	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001572	hyoglossus muscle	hyoglossus muscle
216	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001576	intrinsic muscle of tongue	intrinsic tongue muscle
294	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0002000	gluteal muscle	gluteal muscle
225	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0010995	deep part of masseter muscle	deep part of masseter muscle
227	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0006718	medial pterygoid muscle	medial pterygoid muscle
248	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0010946	occipitofrontalis muscle	occipitofrontalis muscle
247	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0010946	occipitofrontalis muscle	occipitofrontalis muscle
246	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0010953	nasalis muscle	nasalis muscle
245	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0010953	nasalis muscle	nasalis muscle
244	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0010953	nasalis muscle	nasalis muscle
242	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0008596	mentalis muscle	mentalis muscle
226	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0011140	superficial part of masseter muscle	superficial part of masseter muscle
239	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0008595	levator anguli oris	levator anguli oris muscle
233	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001582	buccinator muscle	buccinator muscle
232	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0002376	cranial muscle	cranial muscle
231	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001600	tensor tympani	tensor tympani muscle
230	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001599	stapedius muscle	stapedius muscle
229	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0002376	cranial muscle	cranial muscle
228	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001598	temporalis muscle	temporalis muscle
235	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0008597	depressor anguli oris muscle	depressor anguli oris muscle
208	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001572	hyoglossus muscle	hyoglossus muscle
295	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001383	muscle of leg	leg muscle
299	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0000368	adductor brevis	adductor brevis muscle
358	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001110	thyrohyoid muscle	thyrohyoid muscle
359	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001568	muscle of larynx	laryngeal muscle
360	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001566	cricothyroid muscle	cricothyroid muscle
361	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001566	cricothyroid muscle	cricothyroid muscle
362	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001566	cricothyroid muscle	cricothyroid muscle
363	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0008573	lateral crico-arytenoid	lateral cricoarytenoid muscle
364	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001568	muscle of larynx	laryngeal muscle
366	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0008572	posterior crico-arytenoid	posterior cricoarytenoid muscle
367	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001568	muscle of larynx	laryngeal muscle
369	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001568	muscle of larynx	laryngeal muscle
370	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0008577	vocalis muscle	vocalis muscle
371	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0002377	muscle of neck	neck muscle
373	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001122	scalenus medius	scalenus medius muscle
375	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0002377	muscle of neck	neck muscle
376	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0010234	palatopharyngeus muscle	palatopharyngeus muscle
377	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0010234	palatopharyngeus muscle	palatopharyngeus muscle
