Table	number_of_AS-AS_relationships	percent_invalid_AS-AS_relationship	percent_indirect_AS-AS_relationship	number_of_CT-CT_relationships	percent_invalid_CT-CT_relationship	percent_indirect_CT-CT_relationship	number_of_CT-AS_relationships	percent_invalid_CT-AS_relationship
Bone-Marrow	0	0	0	31	54.84	52.94	34	105.88
Blood	0	0	0	20	35.0	71.43	21	104.76
Brain	112	30.36	48.72	0	0	0	0	0
Eye	23	8.7	57.14	17	23.53	61.54	28	64.29
Fallopian_tube	20	75.0	0.0	0	0	0	0	0
Heart	35	57.14	86.67	0	0	0	91	72.53
Kidney	51	9.8	52.17	0	0	0	47	42.55
Knee	16	56.25	42.86	0	0	0	6	100.0
Large_intestine	158	117.72	45.0	0	0	0	150	133.33
Liver	7	42.86	25.0	0	0	0	26	92.31
Lung	59	61.02	66.67	0	0	0	48	85.42
Lymph_node	37	56.76	37.5	0	0	0	68	83.82
Lymph_vasculature	2	0.0	50.0	0	0	0	3	66.67
Ovary	20	65.0	14.29	0	0	0	6	83.33
Pancreas	34	67.65	54.55	17	47.06	11.11	27	77.78
Peripheral_nervous_system	31	12.9	51.85	0	0	0	30	76.67
Prostate	3	33.33	0.0	0	0	0	5	60.0
Skin	16	50.0	37.5	0	0	0	49	85.71
Small_intestine	17	17.65	26.67	0	0	0	3	33.33
Spleen	29	41.38	35.29	0	0	0	84	94.05
Thymus	27	81.48	40.0	0	0	0	46	89.13
Ureter	5	60.0	100.0	0	0	0	3	200.0
Urinary_bladder	15	13.33	0.0	0	0	0	5	100.0
Uterus	18	33.33	50.0	0	0	0	1	0.0
Blood_vasculature	327	40.06	60.71	0	0	0	365	3.01
