Table	AS_valid_term_number	AS_invalid_term_number	AS_invalid_term_percent	CT_valid_term_number	CT_invalid_term_number	CT_invalid_term_percent
Blood	1	0	0.0	29	0	0.0
Bone-Marrow	1	0	0.0	43	4	8.33
Brain	116	61	7.54	163	463	57.23
Eye	36	3	3.19	47	8	8.51
Fallopian_tube	9	63	70.0	0	18	20.0
Heart	29	24	23.3	27	1	0.97
Kidney	56	5	3.88	65	3	2.33
Knee	24	7	12.5	13	11	19.64
Large_intestine	54	0	0.0	55	3	2.68
Liver	14	3	6.25	25	6	12.5
Lung	52	2	1.52	65	11	8.33
Lymph_node	33	1	1.27	45	0	0.0
Lymph_vasculature	14	41	51.9	1	0	0.0
Main_Bronchus	15	0	0.0	16	3	8.82
Muscular_System	165	217	56.66	1	0	0.0
Ovary	23	45	47.87	5	11	11.7
Pancreas	28	2	2.99	27	8	11.94
Peripheral_nervous_system	32	749	48.92	1	0	0.0
Placenta	17	8	17.02	16	6	12.77
Prostate	4	0	0.0	5	7	43.75
Skeleton	174	898	83.69	1	0	0.0
Skin	15	0	0.0	33	3	5.88
Small_intestine	22	21	25.93	24	10	12.35
Spinal_Cord	86	0	0.0	8	0	0.0
Spleen	24	14	14.0	46	15	15.0
Thymus	18	0	0.0	50	0	0.0
Trachea	20	0	0.0	16	1	2.7
Ureter	6	1	4.76	3	11	52.38
Urinary_bladder	16	0	0.0	4	11	35.48
Uterus	22	36	44.44	0	18	22.22
Blood_vasculature	370	631	43.13	10	0	0.0
