Table	number_of_AS-AS_relationships	percent_invalid_AS-AS_relationship	percent_indirect_AS-AS_relationship	number_of_CT-CT_relationships	percent_invalid_CT-CT_relationship	percent_indirect_CT-CT_relationship	number_of_CT-AS_relationships	percent_invalid_CT-AS_relationship
Bone-Marrow	0	0	0	38	39.47	60.87	40	95.0
Blood	0	0	0	23	26.09	76.47	23	100.0
Brain	112	28.57	48.75	0	0	0	203	19.7
Eye	35	31.43	62.5	32	12.5	21.43	43	53.49
Fallopian_tube	7	42.86	0.0	0	0	0	0	0
Heart	37	56.76	62.5	0	0	0	137	86.86
Kidney	67	28.36	39.58	0	0	0	67	28.36
Knee	18	66.67	66.67	0	0	0	0	0
Large_intestine	157	87.26	45.0	0	0	0	152	83.55
Liver	13	61.54	20.0	0	0	0	26	84.62
Lung	42	52.38	35.0	75	17.33	43.55	64	48.44
Lymph_node	41	56.1	33.33	0	0	0	82	79.27
Lymph_vasculature	7	71.43	50.0	0	0	0	14	92.86
Main_Bronchus	12	66.67	25.0	21	33.33	57.14	14	64.29
Muscular_System	75	21.33	42.37	0	0	0	165	15.76
Ovary	19	68.42	16.67	0	0	0	12	83.33
Palatine_Tonsil	9	11.11	50.0	0	0	0	26	61.54
Pancreas	33	66.67	27.27	17	41.18	10.0	28	82.14
Placenta	16	62.5	33.33	0	0	0	26	73.08
Peripheral_nervous_system	31	12.9	51.85	0	0	0	30	83.33
Prostate	3	33.33	0.0	0	0	0	11	72.73
Skeleton	152	15.79	69.53	0	0	0	174	95.98
Skin	16	50.0	37.5	0	0	0	51	82.35
Small_intestine	18	11.11	31.25	0	0	0	50	88.0
Spinal_Cord	100	14.0	16.28	0	0	0	22	86.36
Spleen	29	41.38	29.41	0	0	0	95	92.63
Thymus	29	75.86	57.14	0	0	0	64	73.44
Trachea	14	35.71	11.11	23	30.43	43.75	15	66.67
Ureter	9	33.33	83.33	0	0	0	3	100.0
Urinary_bladder	15	13.33	0.0	0	0	0	5	80.0
Uterus	20	35.0	46.15	0	0	0	0	0
Blood_vasculature	337	0.0	34.42	6	33.33	0.0	1136	66.55
