Table	number_of_AS-AS_relationships	percent_invalid_AS-AS_relationship	percent_indirect_AS-AS_relationship	number_of_CT-CT_relationships	percent_invalid_CT-CT_relationship	percent_indirect_CT-CT_relationship	number_of_CT-AS_relationships	percent_invalid_CT-AS_relationship
Bone-Marrow	0	0	0	31	93.55	52.94	34	97.06
Brain	110	30.91	48.68	0	0	0	0	0
Blood	0	0	0	20	35.0	71.43	21	100.0
Eye	14	0.0	57.14	9	11.11	50.0	15	73.33
Fallopian_tube	20	75.0	0.0	0	0	0	0	0
Heart	35	60.0	85.71	0	0	0	91	83.52
Kidney	48	12.5	50.0	0	0	0	46	39.13
Large_intestine	158	89.24	45.0	0	0	0	150	94.67
Liver	7	42.86	25.0	0	0	0	16	81.25
Lung	59	59.32	66.67	0	0	0	99	89.9
Lymph_node	37	56.76	37.5	0	0	0	68	97.06
Lymph_vasculature	2	0.0	50.0	0	0	0	3	66.67
Ovary	20	65.0	14.29	0	0	0	8	87.5
Pancreas	34	70.59	54.55	17	52.94	12.5	27	81.48
Peripheral_nervous_system	31	12.9	51.85	0	0	0	30	96.67
Skin	16	43.75	60.0	0	0	0	49	93.88
Small_intestine	17	11.76	26.67	0	0	0	3	33.33
Thymus	27	85.19	50.0	0	0	0	46	95.65
Ureter	5	60.0	100.0	0	0	0	3	100.0
Urinary_bladder	15	13.33	0.0	0	0	0	0	0
Uterus	20	35.0	46.15	0	0	0	1	0.0
