Table	number_of_AS-AS_relationships	percent_invalid_AS-AS_relationship	percent_indirect_AS-AS_relationship	number_of_CT-CT_relationships	percent_invalid_CT-CT_relationship	percent_indirect_CT-CT_relationship	number_of_CT-AS_relationships	percent_invalid_CT-AS_relationship
Bone-Marrow	0	0	0	31	103.23	52.94	31	109.68
Blood	0	0	0	20	40.0	71.43	20	105.0
Eye	23	8.7	57.14	17	29.41	61.54	25	76.0
Fallopian_tube	20	75.0	0.0	0	0	0	0	0
Heart	35	60.0	85.71	0	0	0	49	77.55
Kidney	45	8.89	56.1	0	0	0	21	9.52
Large_intestine	158	120.89	45.0	0	0	0	150	147.33
Liver	7	42.86	25.0	0	0	0	8	87.5
Lung	59	61.02	66.67	0	0	0	42	90.48
Lymph_node	37	56.76	37.5	0	0	0	48	97.92
Lymph_vasculature	2	0.0	50.0	0	0	0	2	100.0
Ovary	20	65.0	14.29	0	0	0	5	100.0
Pancreas	34	70.59	54.55	17	52.94	12.5	22	77.27
Peripheral_nervous_system	31	12.9	51.85	0	0	0	28	96.43
Prostate	3	33.33	0.0	0	0	0	5	100.0
Skin	16	56.25	37.5	0	0	0	49	95.92
Small_intestine	17	17.65	26.67	0	0	0	3	33.33
Spleen	29	41.38	35.29	0	0	0	60	96.67
Thymus	27	85.19	50.0	0	0	0	46	95.65
Ureter	0	0	0	0	0	0	0	0
Urinary_bladder	15	13.33	0.0	0	0	0	0	0
Uterus	18	33.33	50.0	0	0	0	1	0.0
Blood_vasculature	327	40.67	95.41	0	0	0	364	101.65
Bone-Marrow	0	0	0	31	103.23	52.94	31	109.68
Blood	0	0	0	20	40.0	71.43	20	105.0
Eye	23	8.7	57.14	17	29.41	61.54	25	76.0
Fallopian_tube	20	75.0	0.0	0	0	0	0	0
Heart	35	60.0	85.71	0	0	0	49	77.55
Kidney	45	8.89	56.1	0	0	0	21	9.52
Bone-Marrow	0	0	0	31	103.23	52.94	31	109.68
Blood	0	0	0	20	40.0	71.43	20	105.0
Eye	23	8.7	57.14	17	29.41	61.54	25	76.0
Fallopian_tube	20	75.0	0.0	0	0	0	0	0
Heart	35	60.0	85.71	0	0	0	49	77.55
Kidney	45	8.89	56.1	0	0	0	21	9.52
Knee	16	56.25	42.86	0	0	0	4	100.0
Large_intestine	158	120.89	45.0	0	0	0	150	147.33
Liver	7	42.86	25.0	0	0	0	8	87.5
Lung	59	61.02	66.67	0	0	0	42	90.48
Lymph_node	37	56.76	37.5	0	0	0	48	97.92
Lymph_vasculature	2	0.0	50.0	0	0	0	2	100.0
Ovary	20	65.0	14.29	0	0	0	5	100.0
Pancreas	34	70.59	54.55	17	52.94	12.5	22	77.27
Peripheral_nervous_system	31	12.9	51.85	0	0	0	28	96.43
Prostate	3	33.33	0.0	0	0	0	5	100.0
Skin	16	56.25	37.5	0	0	0	49	95.92
Small_intestine	17	17.65	26.67	0	0	0	3	33.33
Spleen	29	41.38	35.29	0	0	0	60	96.67
Thymus	27	85.19	50.0	0	0	0	46	95.65
Ureter	0	0	0	0	0	0	0	0
Urinary_bladder	15	13.33	0.0	0	0	0	0	0
Uterus	18	33.33	50.0	0	0	0	1	0.0
Blood_vasculature	327	40.67	95.41	0	0	0	364	101.65
