Table	AS_valid_term_number	AS_invalid_term_number	AS_invalid_term_percent	CT_valid_term_number	CT_invalid_term_number	CT_invalid_term_percent
Bone-Marrow	1	0	0.0	43	4	8.33
Blood	1	0	0.0	29	0	0.0
Brain	116	61	19.68	127	0	0.0
Eye	24	2	2.44	31	22	26.83
Fallopian_tube	9	63	70.0	0	18	20.0
Heart	29	24	23.3	27	1	0.97
Kidney	51	7	5.6	62	5	4.0
Knee	24	7	12.5	13	11	19.64
Large_intestine	54	0	0.0	55	3	2.68
Liver	14	3	6.25	25	6	12.5
Lung	60	12	7.69	62	16	10.26
Lymph_node	33	1	1.27	45	0	0.0
Lymph_vasculature	14	24	40.68	1	0	0.0
Ovary	23	45	47.87	5	11	11.7
Pancreas	28	2	2.99	27	8	11.94
Placenta	17	8	17.02	16	6	12.77
Peripheral_nervous_system	32	749	48.92	1	0	0.0
Prostate	4	0	0.0	5	7	43.75
Skin	15	0	0.0	33	3	5.88
Small_intestine	22	21	25.93	24	10	12.35
Spleen	24	14	14.0	46	15	15.0
Thymus	18	0	0.0	50	0	0.0
Ureter	6	1	4.76	3	11	52.38
Urinary_bladder	16	0	0.0	4	11	35.48
Uterus	22	36	44.44	0	18	22.22
Blood_vasculature	370	622	42.87	10	0	0.0
