Table	number_of_AS-AS_relationships	percent_invalid_AS-AS_relationship	percent_indirect_AS-AS_relationship	number_of_CT-CT_relationships	percent_invalid_CT-CT_relationship	percent_indirect_CT-CT_relationship	number_of_CT-AS_relationships	percent_invalid_CT-AS_relationship	number_of_no_parent_relationships
Anatomical_Systems	88	3.41	21.18	0	0	0	0	0	0
Blood	0	0	0	23	26.09	76.47	23	100.0	0
Bone-Marrow	0	0	0	42	38.1	61.54	42	95.24	0
Brain	174	25.86	57.36	127	1.57	98.4	203	18.23	0
Eye	35	28.57	60.0	32	12.5	25.0	43	41.86	5
Fallopian_tube	7	42.86	0.0	0	0	0	59	94.92	1
Heart	39	58.97	62.5	0	0	0	140	87.14	0
Kidney	67	28.36	39.58	0	0	0	69	27.54	0
Knee	6	50.0	0.0	1	100.0	0	2	50.0	0
Large_intestine	158	86.71	42.86	0	0	0	152	83.55	89
Liver	15	46.67	12.5	0	0	0	29	82.76	0
Lung	67	40.3	17.5	0	0	0	97	27.84	0
Lymph_node	42	57.14	27.78	0	0	0	82	79.27	0
Lymph_vasculature	7	71.43	50.0	0	0	0	14	92.86	0
Main_Bronchus	12	50.0	0.0	0	0	0	21	90.48	0
Muscular_System	75	21.33	42.37	0	0	0	165	15.76	0
Ovary	19	68.42	16.67	0	0	0	12	83.33	288
Pancreas	33	66.67	27.27	18	44.44	30.0	28	82.14	0
Palatine_Tonsil	9	55.56	75.0	0	0	0	28	67.86	0
Peripheral_nervous_system	95	9.47	25.58	0	0	0	30	83.33	0
Placenta	19	52.63	33.33	0	0	0	35	68.57	0
Prostate	13	38.46	12.5	4	25.0	0.0	16	37.5	0
Skeleton	152	15.79	69.53	0	0	0	174	95.98	0
Skin	16	50.0	37.5	1	0.0	0.0	54	81.48	0
Small_intestine	18	11.11	31.25	0	0	0	50	88.0	37
Spinal_Cord	100	14.0	16.28	0	0	0	22	86.36	0
Spleen	29	41.38	23.53	0	0	0	95	92.63	24
Thymus	29	72.41	50.0	0	0	0	64	73.44	0
Trachea	17	29.41	8.33	0	0	0	18	83.33	1
Ureter	5	60.0	100.0	0	0	0	3	100.0	1
Urinary_bladder	15	13.33	0.0	0	0	0	5	80.0	0
Uterus	20	35.0	46.15	0	0	0	0	0	397
Blood_vasculature	340	2.35	7.23	6	33.33	0.0	1157	66.64	0
