Table	AS_valid_term_number	AS_invalid_term_number	AS_invalid_term_percent	CT_valid_term_number	CT_invalid_term_number	CT_invalid_term_percent
Bone-Marrow	1	0	0.0	37	11	22.45
Blood	1	0	0.0	26	4	12.9
Brain	116	61	19.68	0	127	40.97
Eye	24	2	2.44	30	23	28.05
Fallopian_tube	9	63	70.0	0	18	20.0
Heart	27	24	25.0	18	5	5.21
Kidney	51	7	5.6	62	5	4.0
Knee	24	7	12.5	13	11	19.64
Large_intestine	54	0	0.0	54	3	2.7
Liver	14	3	6.25	25	6	12.5
Lung	60	12	7.69	62	16	10.26
Lymph_node	33	1	1.27	45	0	0.0
Lymph_vasculature	13	18	36.0	1	0	0.0
Ovary	22	47	50.54	2	14	15.05
Pancreas	27	4	6.15	25	8	12.31
Placenta	17	8	17.02	16	6	12.77
Peripheral_nervous_system	32	749	48.92	1	0	0.0
Prostate	4	0	0.0	7	5	31.25
Skin	15	0	0.0	33	3	5.88
Small_intestine	21	21	22.11	3	46	48.42
Spleen	24	14	14.29	40	19	19.39
Spinal_Cord	6	1	4.76	3	11	52.38
Thymus	18	0	0.0	50	0	0.0
Ureter	10	1	4.0	3	11	44.0
Urinary_bladder	16	0	0.0	4	11	35.48
Uterus	22	36	44.44	0	18	22.22
Blood_vasculature	376	541	40.37	10	0	0.0
