Table	number_of_AS-AS_relationships	percent_invalid_AS-AS_relationship	percent_indirect_AS-AS_relationship	number_of_CT-CT_relationships	percent_invalid_CT-CT_relationship	percent_indirect_CT-CT_relationship
Brain	110	30.91	48.68	0	0	0
Bone-Marrow	0	0	0	31	45.16	52.94
Blood	0	0	0	20	30.0	71.43
Heart	35	60.0	85.71	0	0	0
Kidney	48	12.5	50.0	0	0	0
Large_intestine	158	89.24	45.0	0	0	0
Lung	59	59.32	66.67	0	0	0
Skin	16	43.75	60.0	0	0	0
Lymph_node	37	56.76	37.5	0	0	0
Spleen	29	41.38	35.29	0	0	0
Thymus	27	85.19	50.0	0	0	0
