Table	AS_valid_term_number	AS_invalid_term_number	AS_invalid_term_percent	CT_valid_term_number	CT_invalid_term_number	CT_invalid_term_percent
Bone-Marrow	1	0	0.0	37	11	22.45
Blood	1	0	0.0	26	4	12.9
Brain	116	61	19.68	0	127	40.97
Eye	24	2	2.44	30	23	28.05
Fallopian_tube	9	63	70.0	0	18	20.0
Heart	27	24	25.0	18	5	5.21
Kidney	51	7	5.6	62	5	4.0
Knee	24	8	14.04	13	12	21.05
Large_intestine	54	0	0.0	54	3	2.7
Liver	8	9	19.15	25	5	10.64
Lung	63	12	7.74	59	16	10.32
Lymph_node	29	5	6.33	33	12	15.19
Lymph_vasculature	13	18	36.0	1	0	0.0
Ovary	22	47	50.54	2	14	15.05
Pancreas	27	4	6.06	26	8	12.12
Placenta	0	0	0	0	0	0
Peripheral_nervous_system	32	749	48.92	1	0	0.0
Prostate	4	0	0.0	5	7	43.75
Skin	15	0	0.0	33	3	5.88
Small_intestine	21	21	22.11	3	46	48.42
Spleen	24	14	14.29	40	19	19.39
Spinal_Cord	6	1	4.76	3	11	52.38
Thymus	17	0	0.0	41	12	17.14
Ureter	10	1	4.0	3	11	44.0
Urinary_bladder	16	0	0.0	4	11	35.48
Uterus	22	36	44.44	0	18	22.22
Blood_vasculature	377	541	40.34	10	0	0.0
