Table	number_of_AS-AS_relationships	percent_invalid_AS-AS_relationship	percent_indirect_AS-AS_relationship	number_of_CT-CT_relationships	percent_invalid_CT-CT_relationship	percent_indirect_CT-CT_relationship	number_of_CT-AS_relationships	percent_invalid_CT-AS_relationship	number_of_no_parent_relationships	unique_no_parent_relationships
Anatomical_Systems	104	0.96	13.59	0	0	0	0	0	0	0
Blood	0	0	0	23	26.09	76.47	23	100.0	0	0
Bone-Marrow	0	0	0	42	40.48	64.0	42	95.24	0	0
Brain	175	25.71	55.38	584	5.65	55.35	588	44.9	0	0
Eye	38	28.95	51.85	17	11.76	40.0	33	51.52	0	0
Fallopian_tube	7	28.57	0.0	0	0	0	59	94.92	1	1
Gingiva	3	0.0	0.0	0	0	0	1	0.0	0	0
Heart	47	59.57	57.89	0	0	0	140	85.71	0	0
Kidney	70	30.0	38.78	0	0	0	69	26.09	0	0
Knee	6	50.0	0.0	1	100.0	0	2	50.0	0	0
Large_intestine	169	84.62	34.62	0	0	0	144	78.47	89	3
Liver	18	61.11	14.29	0	0	0	29	75.86	1	1
Lung	68	38.24	16.67	0	0	0	98	27.55	0	0
Lymph_node	42	54.76	26.32	0	0	0	82	78.05	0	0
Lymph_vasculature	7	71.43	50.0	0	0	0	14	92.86	0	0
Main_Bronchus	12	50.0	0.0	0	0	0	21	90.48	0	0
Mammary_Gland	0	0	0	0	0	0	0	0	10	10
Mouth	16	6.25	6.67	0	0	0	28	96.43	29	12
Muscular_System	75	20.0	45.0	0	0	0	168	15.48	0	0
Ovary	19	68.42	16.67	0	0	0	12	66.67	288	11
Pancreas	33	66.67	27.27	18	44.44	10.0	28	82.14	0	0
Palatine_Tonsil	9	55.56	75.0	0	0	0	28	67.86	0	0
Peripheral_nervous_system	163	10.43	36.99	5	40.0	33.33	28	96.43	0	0
Placenta	40	47.5	28.57	0	0	0	57	80.7	0	0
Prostate	18	50.0	44.44	4	75.0	0.0	14	35.71	1	1
Salivary_Glands	25	0.0	20.0	0	0	0	3	100.0	0	0
Skeleton	152	15.79	67.97	0	0	0	174	95.98	0	0
Skin	29	27.59	38.1	1	0.0	100.0	56	78.57	0	0
Small_intestine	21	28.57	33.33	0	0	0	56	80.36	37	10
Spinal_Cord	100	14.0	11.63	0	0	0	22	86.36	0	0
Spleen	29	41.38	23.53	0	0	0	107	91.59	0	0
Thymus	29	72.41	37.5	0	0	0	64	71.88	0	0
Tongue	25	0.0	48.0	0	0	0	0	0	0	0
Trachea	17	29.41	0.0	0	0	0	19	84.21	0	0
Ureter	9	33.33	83.33	0	0	0	4	100.0	0	0
Urinary_bladder	18	22.22	7.14	5	100.0	0	19	89.47	6	6
Uterus	20	35.0	46.15	0	0	0	2	50.0	361	17
Blood_vasculature	397	4.03	6.3	0	0	0	1307	66.18	0	0
