Table	AS_valid_term_number	AS_temp_term_number	AS_out_ub	AS_invalid_term_number	AS_invalid_term_percent	CT_valid_term_number	CT_temp_term_number	CT_out_ub	CT_invalid_term_number	CT_invalid_term_percent	invalid_terms_percent
Anatomical_Systems	105	0	0	0	0.0	0	0	0	0	0	0.0
Blood	1	0	0	0	0.0	29	0	0	0	0.0	0.0
Bone-Marrow	1	0	0	0	0.0	47	0	0	0	0.0	0.0
Brain	179	19	0	19	9.6	647	0	0	0	0.0	2.25
Eye	39	2	0	2	4.88	33	1	0	1	2.94	4.0
Fallopian_tube	9	63	0	63	87.5	18	1	0	1	5.26	70.33
Gingiva	4	0	0	0	0.0	1	0	0	0	0.0	0.0
Heart	37	0	15	17	31.48	32	0	0	0	0.0	19.77
Kidney	59	2	0	2	3.28	67	3	0	3	4.29	3.82
Knee	6	0	0	0	0.0	2	9	0	9	81.82	52.94
Large_intestine	59	3	0	3	4.84	55	3	0	3	5.17	5.0
Liver	18	1	0	1	5.26	28	2	1	3	9.68	8.0
Lung	55	0	0	0	0.0	75	0	0	0	0.0	0.0
Lymph_node	34	0	0	0	0.0	45	0	0	0	0.0	0.0
Lymph_vasculature	14	72	32	104	88.14	1	0	0	0	0.0	87.39
Main_Bronchus	15	0	0	0	0.0	19	0	0	0	0.0	0.0
Mammary_Gland	1	0	0	0	0.0	0	10	0	10	100.0	90.91
Mouth	22	8	0	8	26.67	23	13	0	13	36.11	31.82
Muscular_System	168	75	143	218	56.48	1	0	0	0	0.0	56.33
Ovary	24	42	3	45	65.22	5	11	0	11	68.75	65.88
Pancreas	28	1	2	2	6.67	28	2	0	2	6.67	6.67
Palatine_Tonsil	13	7	1	8	38.1	13	4	0	4	23.53	31.58
Peripheral_nervous_system	154	0	939	946	86.0	7	120	0	120	94.49	86.88
Placenta	30	4	0	4	11.76	23	0	0	0	0.0	7.02
Prostate	14	0	0	0	0.0	16	1	1	2	11.11	6.25
Salivary_Glands	26	0	0	0	0.0	3	0	0	0	0.0	0.0
Skeleton	174	390	508	898	83.77	1	0	0	0	0.0	83.69
Skin	30	1	0	1	3.23	37	0	0	0	0.0	1.47
Small_intestine	23	16	9	25	52.08	26	10	0	10	27.78	41.67
Spinal_Cord	86	0	0	0	0.0	8	0	0	0	0.0	0.0
Spleen	24	13	0	13	35.14	50	13	1	13	20.63	26.0
Thymus	18	0	0	0	0.0	50	0	0	0	0.0	0.0
Tongue	26	0	0	0	0.0	0	0	0	0	0	0.0
Trachea	20	0	0	0	0.0	17	0	0	0	0.0	0.0
Ureter	10	1	0	1	9.09	4	11	0	11	73.33	46.15
Urinary_bladder	18	1	0	1	5.26	17	26	0	26	60.47	43.55
Uterus	24	34	2	36	60.0	1	17	0	17	94.44	67.95
Blood_vasculature	430	270	425	695	61.78	10	0	0	0	0.0	61.23
