Table	AS_valid_term_number	AS_invalid_term_number	AS_invalid_term_percent	CT_valid_term_number	CT_invalid_term_number	CT_invalid_term_percent	invalid_terms_percent
Blood	1	0	0.0	29	0	0.0	0.0
Bone-Marrow	1	0	0.0	45	2	4.26	4.17
Brain	116	61	34.46	163	463	73.96	64.77
Eye	36	3	7.69	47	8	14.55	11.7
Fallopian_tube	9	63	87.5	0	18	100.0	90.0
Heart	29	24	45.28	27	1	3.57	24.27
Kidney	56	6	9.68	65	3	4.41	6.92
Knee	18	2	10.0	0	5	100.0	25.93
Large_intestine	54	4	6.9	55	3	5.17	5.98
Liver	14	3	17.65	25	5	16.67	17.02
Lung	52	2	3.7	65	11	14.47	9.85
Lymph_node	33	1	2.94	45	0	0.0	1.27
Lymph_vasculature	14	41	74.55	1	0	0.0	51.9
Main_Bronchus	15	0	0.0	16	3	15.79	8.82
Muscular_System	165	217	56.81	1	0	0.0	56.66
Ovary	23	45	66.18	5	11	68.75	59.57
Pancreas	28	2	6.67	27	8	22.86	14.93
Peripheral_nervous_system	32	749	95.9	1	0	0.0	48.92
Placenta	17	8	32.0	19	3	13.64	23.4
Prostate	4	0	0.0	11	2	15.38	11.76
Skeleton	174	898	83.77	1	0	0.0	83.69
Skin	15	0	0.0	33	3	8.33	5.88
Small_intestine	22	25	53.19	24	10	29.41	39.33
Spinal_Cord	86	0	0.0	8	0	0.0	0.0
Spleen	24	14	36.84	46	15	24.59	29.0
Thymus	18	0	0.0	50	0	0.0	0.0
Trachea	20	0	0.0	16	1	5.88	2.7
Ureter	10	1	9.09	3	11	78.57	48.0
Urinary_bladder	16	0	0.0	4	11	73.33	35.48
Uterus	22	36	62.07	0	18	100.0	66.67
Blood_vasculature	370	631	63.04	10	0	0.0	43.13
