Table	number_of_AS-AS_relationships	percent_invalid_AS-AS_relationship	percent_indirect_AS-AS_relationship	number_of_CT-CT_relationships	percent_invalid_CT-CT_relationship	percent_indirect_CT-CT_relationship	number_of_CT-AS_relationships	percent_invalid_CT-AS_relationship
Bone-Marrow	0	0	0	31	45.16	52.94	34	94.12
Blood	0	0	0	20	30.0	71.43	21	100.0
Brain	112	32.14	46.05	0	0	0	0	0
Eye	23	13.04	60.0	17	23.53	46.15	28	64.29
Fallopian_tube	7	42.86	0.0	0	0	0	0	0
Heart	35	57.14	86.67	0	0	0	91	72.53
Kidney	53	26.42	48.72	0	0	0	48	41.67
Knee	22	63.64	37.5	6	83.33	0.0	13	92.31
Large_intestine	158	87.34	45.0	0	0	0	150	85.33
Liver	7	42.86	25.0	0	0	0	26	92.31
Lung	71	53.52	24.24	21	9.52	100.0	61	73.77
Lymph_node	37	56.76	37.5	0	0	0	68	83.82
Lymph_vasculature	7	71.43	50.0	0	0	0	13	92.31
Ovary	18	66.67	16.67	0	0	0	7	85.71
Pancreas	34	67.65	54.55	17	47.06	11.11	27	77.78
Placenta	2	50.0	0.0	0	0	0	8	87.5
Peripheral_nervous_system	31	12.9	51.85	0	0	0	30	76.67
Prostate	3	33.33	0.0	0	0	0	5	60.0
Skin	16	50.0	37.5	0	0	0	51	82.35
Small_intestine	18	11.11	31.25	0	0	0	3	33.33
Spleen	29	41.38	35.29	0	0	0	84	94.05
Spinal_Cord	5	60.0	100.0	0	0	0	3	100.0
Thymus	28	78.57	50.0	0	0	0	51	80.39
Ureter	9	33.33	83.33	0	0	0	3	100.0
Urinary_bladder	15	13.33	0.0	0	0	0	5	80.0
Uterus	20	35.0	46.15	0	0	0	0	0
Blood_vasculature	341	42.82	60.51	6	33.33	0.0	1164	67.61
