Table	AS_invalid_term_number	AS_invalid_term_percent	CT_invalid_term_number	CT_invalid_term_percent
Bone-Marrow	0	0.0	1	2.63
Bone-Marrow	0	0.0	1	2.63
Bone-Marrow	0	0.0	1	2.63
Bone-Marrow	0	0.0	1	2.63
Bone-Marrow	0	0.0	1	2.63
Bone-Marrow	0	0.0	1	2.63
Bone-Marrow	0	0.0	1	2.63
Blood	0	0.0	1	3.7
Eye	1	2.08	4	8.33
Fallopian_tube	1	6.25	0	0.0
Heart	24	48.0	0	0.0
Kidney	1	2.17	0	0.0
Large_intestine	0	0.0	0	0.0
Liver	1	11.11	0	0.0
Lung	85	64.39	0	0.0
Lymph_node	4	13.33	0	0.0
Lymph_vasculature	1	25.0	0	0.0
Ovary	2	6.25	0	0.0
Pancreas	2	3.92	1	1.96
Peripheral_nervous_system	277	35.47	0	0.0
Prostate	0	0.0	0	0.0
Skin	0	0.0	0	0.0
Small_intestine	7	25.0	0	0.0
Spleen	1	3.85	0	0.0
Thymus	0	0.0	0	0.0
Bone-Marrow	0	0.0	1	2.63
Blood	0	0.0	1	3.7
Eye	1	2.08	4	8.33
Fallopian_tube	1	6.25	0	0.0
Heart	24	48.0	0	0.0
Kidney	1	2.17	0	0.0
Large_intestine	0	0.0	0	0.0
Liver	1	11.11	0	0.0
Lung	85	64.39	0	0.0
Lymph_node	4	13.33	0	0.0
Lymph_vasculature	1	25.0	0	0.0
Ovary	2	6.25	0	0.0
Pancreas	2	3.92	1	1.96
Peripheral_nervous_system	277	35.47	0	0.0
Prostate	0	0.0	0	0.0
Skin	0	0.0	0	0.0
Small_intestine	7	25.0	0	0.0
Spleen	1	3.85	0	0.0
Thymus	0	0.0	0	0.0
Ureter	1	20.0	1	20.0
Urinary_bladder	0	0.0	1	4.76
Uterus	2	8.0	0	0.0
Blood_vasculature	337	44.58	0	0.0
Bone-Marrow	0	0.0	1	2.63
Blood	0	0.0	1	3.7
Eye	1	2.08	4	8.33
Fallopian_tube	1	6.25	0	0.0
Heart	24	48.0	0	0.0
Kidney	1	2.17	0	0.0
Bone-Marrow	0	0.0	1	2.63
Blood	0	0.0	1	3.7
Eye	1	2.08	4	8.33
Fallopian_tube	1	6.25	0	0.0
Heart	24	48.0	0	0.0
Kidney	1	2.17	0	0.0
Knee	3	15.79	0	0.0
Large_intestine	0	0.0	0	0.0
Liver	1	11.11	0	0.0
Lung	85	64.39	0	0.0
Lymph_node	4	13.33	0	0.0
Lymph_vasculature	1	25.0	0	0.0
Ovary	2	6.25	0	0.0
Pancreas	2	3.92	1	1.96
Peripheral_nervous_system	277	35.47	0	0.0
Prostate	0	0.0	0	0.0
Skin	0	0.0	0	0.0
Small_intestine	7	25.0	0	0.0
Spleen	1	3.85	0	0.0
Thymus	0	0.0	0	0.0
Ureter	1	20.0	1	20.0
Urinary_bladder	0	0.0	1	4.76
Uterus	2	8.0	0	0.0
Blood_vasculature	337	44.58	0	0.0
