Table	AS_invalid_term_number	AS_invalid_term_percent	CT_invalid_term_number	CT_invalid_term_percent
Bone-Marrow	0	0.0	11	22.45
Brain	63	20.32	127	40.97
Blood	0	0.0	4	12.9
Eye	5	6.58	36	47.37
Fallopian_tube	42	55.26	22	28.95
Heart	21	29.58	5	7.04
Kidney	7	5.65	16	12.9
Large_intestine	0	0.0	12	10.0
Liver	9	19.15	15	31.91
Lung	94	40.0	22	9.36
Lymph_node	2	1.87	43	40.19
Lymph_vasculature	1	20.0	0	0.0
Ovary	41	52.56	3	3.85
Pancreas	4	6.78	2	3.39
Peripheral_nervous_system	748	95.77	0	0.0
Skin	0	0.0	4	7.84
Small_intestine	20	22.47	46	51.69
Thymus	0	0.0	17	24.64
Ureter	1	10.0	0	0.0
Urinary_bladder	0	0.0	16	50.0
Uterus	22	33.85	17	26.15
