Table	AS_valid_term_number	AS_invalid_term_number	AS_invalid_term_percent	CT_valid_term_number	CT_invalid_term_number	CT_invalid_term_percent
Bone-Marrow	1	0	0.0	37	11	22.45
Blood	1	0	0.0	26	4	12.9
Brain	116	61	19.68	0	127	40.97
Eye	24	2	2.44	31	23	28.05
Fallopian_tube	12	41	52.56	0	22	28.21
Heart	27	24	25.0	18	5	5.21
Kidney	56	6	4.84	47	15	12.1
Knee	22	10	12.66	0	35	44.3
Large_intestine	54	0	0.0	54	3	2.7
Liver	8	9	19.15	25	5	10.64
Lung	54	93	32.18	37	28	9.69
Lymph_node	29	5	6.33	33	12	15.19
Lymph_vasculature	3	1	16.67	1	0	0.0
Ovary	21	41	48.24	3	10	11.76
Pancreas	27	4	6.25	26	6	9.38
Peripheral_nervous_system	32	749	48.92	1	0	0.0
Prostate	4	0	0.0	5	7	43.75
Skin	15	0	0.0	32	4	7.84
Small_intestine	21	21	22.11	3	46	48.42
Spleen	24	14	14.29	40	19	19.39
Thymus	17	0	0.0	35	17	24.64
Ureter	6	1	4.76	3	11	52.38
Urinary_bladder	16	0	0.0	4	11	35.48
Uterus	22	34	42.5	1	18	22.5
Blood_vasculature	365	476	38.61	2	0	0.0
Bone-Marrow	1	0	0.0	37	11	22.45
Blood	1	0	0.0	26	4	12.9
Brain	116	61	19.68	0	127	40.97
Eye	24	2	2.44	31	23	28.05
Fallopian_tube	12	41	52.56	0	22	28.21
Heart	27	24	25.0	18	5	5.21
Kidney	56	6	4.84	47	15	12.1
Knee	24	8	10.13	0	34	43.04
Large_intestine	54	0	0.0	54	3	2.7
Liver	8	9	19.15	25	5	10.64
Lung	54	95	32.65	37	28	9.62
Lymph_node	29	5	6.33	33	12	15.19
Lymph_vasculature	13	18	36.0	1	0	0.0
Ovary	21	41	48.24	3	10	11.76
Pancreas	27	4	6.25	26	6	9.38
Placenta	5	3	12.0	6	10	40.0
Peripheral_nervous_system	32	749	48.92	1	0	0.0
Prostate	4	0	0.0	5	7	43.75
Skin	15	0	0.0	32	4	7.84
Small_intestine	21	21	22.11	3	46	48.42
Spleen	24	14	14.29	40	19	19.39
Spinal_Cord	6	1	4.76	3	11	52.38
Thymus	17	0	0.0	41	12	17.14
Ureter	6	1	4.76	3	11	52.38
Urinary_bladder	16	0	0.0	4	11	35.48
Uterus	23	34	41.98	1	18	22.22
Blood_vasculature	377	541	40.34	10	0	0.0
