Table	AS_valid_term_number	AS_temp_term_number	AS_out_ub	AS_invalid_term_number	AS_invalid_term_percent	CT_valid_term_number	CT_temp_term_number	CT_out_ub	CT_invalid_term_number	CT_invalid_term_percent	invalid_terms_percent
Anatomical_Systems	81	0	0	0	0.0	0	0	0	0	0	0.0
Blood	1	0	0	0	0.0	29	0	0	0	0.0	0.0
Bone-Marrow	1	0	0	0	0.0	47	0	0	0	0.0	0.0
Brain	172	18	0	18	9.47	620	1	0	1	0.16	2.34
Eye	38	3	0	3	7.32	49	7	0	7	12.5	10.31
Fallopian_tube	9	63	0	63	87.5	18	1	0	1	5.26	70.33
Heart	29	1	22	23	44.23	28	0	0	0	0.0	22.55
Kidney	56	5	0	5	8.2	67	3	0	3	4.29	6.11
Knee	6	0	0	0	0.0	2	9	0	9	81.82	52.94
Large_intestine	55	3	1	4	6.78	55	3	0	3	5.17	5.93
Liver	16	1	0	1	5.88	28	2	0	2	6.67	6.38
Lung	54	0	0	0	0.0	74	0	0	0	0.0	0.0
Lymph_node	34	0	0	0	0.0	45	0	0	0	0.0	0.0
Lymph_vasculature	14	72	32	104	88.14	1	0	0	0	0.0	68.87
Main_Bronchus	15	0	0	0	0.0	19	0	0	0	0.0	0.0
Mammary_Gland	1	0	0	0	0.0	0	10	0	10	100.0	100.0
Muscular_System	165	76	141	217	56.81	1	0	0	0	0.0	41.41
Ovary	24	42	3	45	65.22	5	10	1	11	68.75	59.57
Pancreas	28	0	2	2	6.67	28	2	0	2	6.67	6.45
Palatine_Tonsil	11	7	3	10	47.62	13	4	0	4	23.53	34.15
Peripheral_nervous_system	154	0	939	946	86.0	7	120	0	120	94.49	49.19
Placenta	30	4	0	4	11.76	23	0	0	0	0.0	7.02
Prostate	13	0	0	0	0.0	18	2	0	2	10.0	6.06
Skeleton	174	390	508	898	83.77	1	0	0	0	0.0	56.8
Skin	15	0	0	0	0.0	35	0	0	0	0.0	0.0
Small_intestine	22	16	9	25	53.19	25	10	0	10	28.57	39.33
Spinal_Cord	86	0	0	0	0.0	8	0	0	0	0.0	0.0
Spleen	24	12	1	14	36.84	46	15	0	15	24.59	29.0
Thymus	18	0	0	0	0.0	49	0	1	1	2.0	1.47
Trachea	20	0	0	0	0.0	17	0	0	0	0.0	0.0
Ureter	10	1	0	1	9.09	4	11	0	11	73.33	46.15
Urinary_bladder	18	1	0	1	5.26	17	26	0	26	60.47	42.86
Uterus	24	34	2	36	60.0	0	18	0	18	100.0	66.67
Blood_vasculature	377	224	454	678	64.27	10	0	0	0	0.0	44.63
