Table	number_of_AS-AS_relationships	percent_invalid_AS-AS_relationship	percent_indirect_AS-AS_relationship	number_of_CT-CT_relationships	percent_invalid_CT-CT_relationship	percent_indirect_CT-CT_relationship	number_of_CT-AS_relationships	percent_invalid_CT-AS_relationship	number_of_no_parent_relationships
Anatomical_Systems	86	2.33	17.86	0	0	0	0	0	0
Blood	0	0	0	23	26.09	76.47	23	100.0	0
Bone-Marrow	0	0	0	42	40.48	64.0	42	95.24	0
Brain	175	25.71	55.38	583	2.57	56.69	588	45.07	0
Eye	37	32.43	56.0	32	12.5	25.0	47	46.81	2
Fallopian_tube	7	28.57	0.0	0	0	0	59	94.92	1
Heart	39	58.97	62.5	0	0	0	140	87.14	0
Kidney	70	31.43	39.58	0	0	0	69	26.09	0
Knee	6	50.0	0.0	1	100.0	0	2	50.0	0
Large_intestine	158	86.71	42.86	0	0	0	151	83.44	89
Liver	15	46.67	12.5	0	0	0	29	75.86	0
Lung	67	38.81	17.07	0	0	0	97	27.84	0
Lymph_node	42	54.76	26.32	0	0	0	82	78.05	0
Lymph_vasculature	7	71.43	50.0	0	0	0	14	92.86	0
Main_Bronchus	12	50.0	0.0	0	0	0	21	90.48	0
Mammary_Gland	0	0	0	0	0	0	0	0	10
Muscular_System	75	21.33	42.37	0	0	0	165	15.76	0
Ovary	19	68.42	16.67	0	0	0	12	83.33	288
Pancreas	33	66.67	27.27	18	44.44	10.0	28	82.14	0
Palatine_Tonsil	9	55.56	75.0	0	0	0	28	67.86	0
Peripheral_nervous_system	163	10.43	36.99	5	40.0	33.33	28	96.43	0
Placenta	40	47.5	28.57	0	0	0	57	80.7	0
Prostate	15	46.67	12.5	4	0.0	25.0	14	35.71	0
Skeleton	152	15.79	67.97	0	0	0	174	95.98	0
Skin	29	31.03	40.0	1	0.0	0.0	56	80.36	0
Small_intestine	18	5.56	29.41	0	0	0	50	88.0	37
Spinal_Cord	100	14.0	11.63	0	0	0	22	86.36	0
Spleen	29	41.38	23.53	0	0	0	95	92.63	24
Thymus	29	72.41	37.5	0	0	0	64	71.88	0
Trachea	17	29.41	0.0	0	0	0	19	84.21	0
Ureter	9	33.33	83.33	0	0	0	4	100.0	0
Urinary_bladder	18	22.22	7.14	5	100.0	0	19	89.47	6
Uterus	20	35.0	46.15	0	0	0	0	0	397
Blood_vasculature	341	2.35	7.21	0	0	0	1159	66.44	0
