Table	number_of_AS-AS_relationships	percent_invalid_AS-AS_relationship	percent_indirect_AS-AS_relationship	number_of_CT-CT_relationships	percent_invalid_CT-CT_relationship	percent_indirect_CT-CT_relationship	number_of_CT-AS_relationships	percent_invalid_CT-AS_relationship	number_of_no_parent_relationships
Anatomical_Systems	40	2.5	28.21	0	0	0	0	0	0
Blood	0	0	0	23	26.09	76.47	23	100.0	0
Bone-Marrow	0	0	0	41	36.59	61.54	42	95.24	0
Brain	113	29.2	48.75	127	1.57	98.4	203	20.2	0
Eye	37	32.43	60.0	32	12.5	21.43	46	45.65	6
Fallopian_tube	7	42.86	0.0	0	0	0	56	94.64	5
Heart	39	58.97	62.5	0	0	0	140	87.14	0
Kidney	67	28.36	39.58	0	0	0	69	30.43	0
Knee	6	50.0	0.0	1	100.0	0	2	50.0	0
Large_intestine	157	86.62	42.86	0	0	0	152	83.55	89
Liver	13	38.46	12.5	0	0	0	26	84.62	5
Lung	64	37.5	17.5	0	0	0	96	27.08	3
Lymph_node	41	56.1	33.33	0	0	0	82	79.27	0
Lymph_vasculature	7	71.43	50.0	0	0	0	14	92.86	0
Main_Bronchus	12	50.0	0.0	0	0	0	18	88.89	3
Mammary_Gland	0	0	0	0	0	0	0	0
Muscular_System	75	21.33	42.37	0	0	0	165	15.76	0
Ovary	19	68.42	16.67	0	0	0	12	83.33	288
Pancreas	33	66.67	27.27	18	44.44	10.0	28	82.14	0
Palatine_Tonsil	9	11.11	50.0	0	0	0	26	61.54	9
Peripheral_nervous_system	31	12.9	51.85	0	0	0	30	83.33	0
Placenta	16	62.5	33.33	0	0	0	29	72.41	5
Prostate	9	66.67	0.0	0	0	0	12	58.33	1
Skeleton	152	15.79	69.53	0	0	0	174	95.98	0
Skin	16	50.0	37.5	0	0	0	51	82.35	3
Small_intestine	18	11.11	31.25	0	0	0	50	88.0	37
Spinal_Cord	100	14.0	16.28	0	0	0	22	86.36	0
Spleen	29	41.38	29.41	0	0	0	95	92.63	24
Thymus	29	72.41	50.0	0	0	0	64	73.44	0
Trachea	17	29.41	8.33	0	0	0	18	83.33	1
Ureter	9	33.33	83.33	0	0	0	3	100.0	1
Urinary_bladder	18	11.11	12.5	0	0	0	6	83.33	34
Uterus	20	35.0	46.15	0	0	0	0	0	397
Blood_vasculature	337	0.0	34.42	6	33.33	0.0	1136	66.55	0
