Table	AS_valid_term_number	AS_invalid_term_number	AS_invalid_term_percent	CT_valid_term_number	CT_invalid_term_number	CT_invalid_term_percent	invalid_terms_percent
Anatomical_Systems	37	0	0.0	0	0	0	0.0
Blood	1	0	0.0	29	0	0.0	0.0
Bone-Marrow	1	0	0.0	46	1	2.13	2.08
Brain	117	68	36.76	164	461	73.76	64.83
Eye	38	3	7.32	48	7	12.73	10.42
Fallopian_tube	9	63	87.5	17	1	5.56	71.11
Heart	29	23	44.23	28	0	0.0	22.55
Kidney	56	5	8.2	67	3	4.29	6.11
Knee	6	0	0.0	2	9	81.82	52.94
Large_intestine	54	4	6.9	55	3	5.17	5.98
Liver	14	3	17.65	25	5	16.67	17.02
Lung	53	1	1.85	73	2	2.67	2.31
Lymph_node	33	1	2.94	45	0	0.0	1.27
Lymph_vasculature	14	41	74.55	1	0	0.0	51.9
Main_Bronchus	15	0	0.0	16	3	15.79	8.82
Mammary_Gland	1	0	0.0	0	10	100.0	100.0
Muscular_System	165	217	56.81	1	0	0.0	56.66
Ovary	24	45	65.22	5	11	68.75	59.57
Pancreas	28	2	6.67	28	2	6.67	6.45
Palatine_Tonsil	11	10	47.62	12	5	29.41	36.59
Peripheral_nervous_system	32	749	95.9	1	0	0.0	48.92
Placenta	17	8	32.0	19	3	13.64	23.4
Prostate	15	1	6.25	13	6	31.58	19.44
Skeleton	174	898	83.77	1	0	0.0	83.69
Skin	15	0	0.0	33	3	8.33	5.88
Small_intestine	22	25	53.19	25	10	28.57	39.33
Spinal_Cord	86	0	0.0	8	0	0.0	0.0
Spleen	24	14	36.84	46	15	24.59	29.0
Thymus	18	0	0.0	50	0	0.0	0.0
Trachea	20	0	0.0	16	1	5.88	2.7
Ureter	10	1	9.09	3	11	78.57	48.0
Urinary_bladder	17	12	41.38	4	44	91.67	51.38
Uterus	24	36	60.0	0	18	100.0	66.67
Blood_vasculature	370	631	63.04	10	0	0.0	43.13
