Table	AS_valid_term_number	AS_invalid_term_number	AS_invalid_term_percent	CT_valid_term_number	CT_invalid_term_number	CT_invalid_term_percent
Bone-Marrow	1	0	0.0	37	11	28.95
Blood	1	0	0.0	26	4	14.81
Brain	116	45	18.0	0	127	50.8
Eye	24	2	3.77	30	18	33.96
Fallopian_tube	12	38	100.0	0	22	57.89
Heart	27	24	43.64	18	5	9.09
Kidney	56	6	8.33	47	15	20.83
Knee	18	12	31.58	6	18	47.37
Large_intestine	54	0	0.0	54	3	5.26
Liver	8	9	60.0	24	6	40.0
Lung	54	89	39.21	37	22	9.69
Lymph_node	29	5	11.9	33	12	28.57
Lymph_vasculature	3	1	25.0	1	0	0.0
Ovary	21	40	95.24	3	10	23.81
Pancreas	27	2	3.92	26	6	11.76
Peripheral_nervous_system	32	277	29.91	1	0	0.0
Prostate	4	0	0.0	5	7	63.64
Skin	15	0	0.0	32	4	21.05
Small_intestine	20	19	25.68	3	45	60.81
Spleen	24	14	30.43	40	20	43.48
Thymus	17	0	0.0	35	17	50.0
Ureter	6	1	9.09	3	11	100.0
Urinary_bladder	16	0	0.0	4	11	52.38
Uterus	20	29	65.91	1	18	40.91
Blood_vasculature	365	397	49.01	2	0	0.0
