Table	AS_valid_term_number	AS_invalid_term_number	AS_invalid_term_percent	CT_valid_term_number	CT_invalid_term_number	CT_invalid_term_percent
Bone-Marrow	1	0	0.0	43	4	8.33
Blood	1	0	0.0	29	0	0.0
Brain	116	61	7.54	163	463	57.23
Eye	36	3	3.19	47	8	8.51
Fallopian_tube	9	63	70.0	0	18	20.0
Heart	29	24	23.3	27	1	0.97
Kidney	56	5	3.88	65	3	2.33
Knee	18	2	7.41	0	5	18.52
Large_intestine	54	4	3.42	55	3	2.56
Liver	14	3	6.38	25	5	10.64
Lung	41	4	2.82	91	1	0.7
Lymph_node	33	1	1.27	45	0	0.0
Lymph_vasculature	14	41	51.9	1	0	0.0
Main_Bronchus	18	0	0.0	26	1	2.17
Muscular_System	165	217	56.66	1	0	0.0
Ovary	23	45	47.87	5	11	11.7
Palatine_Tonsil	11	10	24.39	12	5	12.2
Pancreas	28	2	2.99	27	8	11.94
Placenta	17	8	17.02	19	3	6.38
Peripheral_nervous_system	32	749	48.92	1	0	0.0
Prostate	4	0	0.0	11	2	11.76
Skeleton	174	898	83.69	1	0	0.0
Skin	15	0	0.0	33	3	5.88
Small_intestine	22	25	28.09	24	10	11.24
Spinal_Cord	86	0	0.0	8	0	0.0
Spleen	24	14	14.0	46	15	15.0
Thymus	18	0	0.0	50	0	0.0
Trachea	20	0	0.0	26	1	2.08
Ureter	10	1	4.0	3	11	44.0
Urinary_bladder	16	0	0.0	4	11	35.48
Uterus	22	36	44.44	0	18	22.22
Blood_vasculature	370	631	43.13	10	0	0.0
