Table	AS_valid_term_number	AS_temp_term_number	AS_out_ub	AS_invalid_term_number	AS_invalid_term_percent	CT_valid_term_number	CT_temp_term_number	CT_out_ub	CT_invalid_term_number	CT_invalid_term_percent	invalid_terms_percent
Anatomical_Systems	82	0	0	0	0.0	0	0	0	0	0	0.0
Blood	1	0	0	0	0.0	29	0	0	0	0.0	0.0
Bone-Marrow	1	0	0	0	0.0	47	0	0	0	0.0	0.0
Brain	172	18	0	18	9.47	620	1	0	1	0.16	2.34
Eye	36	3	0	3	7.69	47	8	0	8	14.55	11.7
Fallopian_tube	9	63	0	63	87.5	18	1	0	1	5.26	70.33
Heart	29	1	22	23	44.23	28	0	0	0	0.0	28.75
Kidney	59	2	0	2	3.28	67	3	0	3	4.29	3.82
Knee	6	0	0	0	0.0	2	9	0	9	81.82	52.94
Large_intestine	54	0	0	0	0.0	55	3	0	3	5.17	2.68
Liver	16	1	0	1	5.88	28	2	0	2	6.67	6.38
Lung	54	0	0	0	0.0	74	0	0	0	0.0	0.0
Lymph_node	34	0	0	0	0.0	45	0	0	0	0.0	0.0
Lymph_vasculature	14	72	32	104	88.14	1	0	0	0	0.0	87.39
Main_Bronchus	15	0	0	0	0.0	19	0	0	0	0.0	0.0
Muscular_System	165	76	141	217	56.81	1	0	0	0	0.0	56.66
Ovary	24	42	3	45	65.22	5	11	0	11	68.75	65.88
Pancreas	28	0	2	2	6.67	28	2	0	2	6.67	6.67
Palatine_Tonsil	11	7	3	10	47.62	13	4	0	4	23.53	36.84
Peripheral_nervous_system	154	0	939	946	86.0	7	120	0	120	94.49	86.88
Placenta	30	4	0	4	11.76	23	0	0	0	0.0	7.02
Prostate	13	0	0	0	0.0	18	2	0	2	10.0	6.06
Skeleton	174	390	508	898	83.77	1	0	0	0	0.0	83.69
Skin	15	0	0	0	0.0	35	0	0	0	0.0	0.0
Small_intestine	22	16	5	21	48.84	25	10	0	10	28.57	39.74
Spinal_Cord	86	0	0	0	0.0	8	0	0	0	0.0	0.0
Spleen	24	12	1	14	36.84	46	15	0	15	24.59	29.29
Thymus	18	0	0	0	0.0	50	0	0	0	0.0	0.0
Trachea	20	0	0	0	0.0	16	0	1	1	5.88	2.7
Ureter	6	1	0	1	14.29	3	11	0	11	78.57	57.14
Urinary_bladder	16	0	0	0	0.0	4	11	0	11	73.33	35.48
Uterus	24	34	2	36	60.0	0	18	0	18	100.0	69.23
Blood_vasculature	377	224	454	678	64.27	10	0	0	0	0.0	63.66
