Table	number_of_AS-AS_relationships	percent_invalid_AS-AS_relationship	percent_indirect_AS-AS_relationship	number_of_CT-CT_relationships	percent_invalid_CT-CT_relationship	percent_indirect_CT-CT_relationship
Bone-Marrow	0	0	0	31	45.16	52.94
Brain	110	30.91	48.68	0	0	0
Blood	0	0	0	20	30.0	71.43
Eye	12	8.33	54.55	9	11.11	50.0
Fallopian_tube	20	75.0	0.0	0	0	0
Heart	35	60.0	85.71	0	0	0
Kidney	48	12.5	50.0	0	0	0
Large_intestine	158	89.24	45.0	0	0	0
Liver	7	42.86	25.0	0	0	0
Lung	59	59.32	66.67	0	0	0
Lymph_node	37	56.76	37.5	0	0	0
Lymph_vasculature	2	0.0	50.0	0	0	0
Ovary	20	65.0	14.29	0	0	0
Pancreas	34	70.59	54.55	17	52.94	12.5
Peripheral_nervous_system	31	12.9	51.85	0	0	0
Skin	16	43.75	60.0	0	0	0
Small_intestine	17	11.76	26.67	0	0	0
Thymus	27	85.19	50.0	0	0	0
Ureter	5	60.0	100.0	0	0	0
Urinary_bladder	15	13.33	0.0	0	0	0
Uterus	20	35.0	46.15	0	0	0
