Upper AS	Upper AS/label	Upper AS/ID	AS Name	References/ID	References/DOI
subsegmental pulmonary vein	Subsegmental pulmonary vein	FMA:9413	pulmonary venule	HTTPS:RADIOLOGYKEYCOM6PULMONARYARTERYANDVEIN	
subsegmental pulmonary vein	Subsegmental pulmonary vein	FMA:9413	pulmonary venule	HTTPS:ENWIKIPEDIAORGWIKIBRONCHIAL:ARTERY	
pulmonary venule			bronchial capillary #2	HTTPS:ENWIKIPEDIAORGWIKIBRONCHIAL:ARTERY	
subsegmental pulmonary vein	Subsegmental pulmonary vein	FMA:9413	pulmonary venule	HTTPS:DOIORG101152JAPPLPHYSIOL011772009	
pulmonary venule			intra-acinar venule	HTTPS:DOIORG101152JAPPLPHYSIOL011772009	
intra-acinar venule			post-alveolar capillary	HTTPS:DOIORG101152JAPPLPHYSIOL011772009	
ascending pharyngeal artery	Ascending pharyngeal artery	FMA:49497	neuromeningeal trunk	HTTPS:ENWIKIPEDIAORGWIKIASCENDING:PHARYNGEAL_ARTERY	
neuromeningeal trunk			hypoglossal branch of ascending pharyngeal artery	HTTPS:ENWIKIPEDIAORGWIKIASCENDING:PHARYNGEAL_ARTERY	
neuromeningeal trunk			jugular branch of ascending pharyngeal artery	HTTPS:ENWIKIPEDIAORGWIKIASCENDING:PHARYNGEAL_ARTERY	
ascending pharyngeal artery	Ascending pharyngeal artery	FMA:49497	neuromeningeal trunk	HTTPS:NEUPSYKEYCOMTHEEXTERNALCAROTIDARTERYANDEXTRACRANIALCIRCULATION	
neuromeningeal trunk			odontoid arcade	HTTPS:NEUPSYKEYCOMTHEEXTERNALCAROTIDARTERYANDEXTRACRANIALCIRCULATION	
ascending pharyngeal artery	Ascending pharyngeal artery	FMA:49497	neuromeningeal trunk	HTTP:NEUROANGIOORGANATOMYANDVARIANTSPOSTERIORMENINGEALARTERY	
ascending pharyngeal artery	Ascending pharyngeal artery	FMA:49497	pharyngeal trunk	HTTPS:ENWIKIPEDIAORGWIKIASCENDING:PHARYNGEAL_ARTERY	
ascending pharyngeal artery	Ascending pharyngeal artery	FMA:49497	pharyngeal trunk	PMID:12169487	
pharyngeal trunk			eustachian branch of ascending pharyngeal artery	PMID:12169487	
pharyngeal trunk			inferior pharyngeal artery	PMID:12169487	
pharyngeal trunk			middle pharyngeal artery	PMID:12169487	
pharyngeal trunk			superior pharyngeal artery	PMID:12169487	
superior pharyngeal artery			pterygovaginal artery	PMID:12169487	
