AS/1	AS/1/LABEL	AS/1/ID	AS/2	AS/2/LABEL	AS/2/ID	AS/3	AS/3/LABEL	AS/3/ID	AS/4	AS/4/LABEL	AS/4/ID	AS/5	AS/5/LABEL	AS/5/ID	CT/1	CT/1/LABEL	CT/1/ID	Protein biomarkers from Antibody Based Assays (IHC, FACS)	Transcriptomics/With References ()	BP/1	BP/1/LABEL	BP/1/ID	BP/2	BP/2/LABEL	BP/2/ID	BP/3	BP/3/LABEL	BP/3/ID	BP/4	BP/4/LABEL	BP/4/ID	BP/5	BP/5/LABEL	BP/5/ID	BP/6	BP/6/LABEL	BP/6/ID	BP/7	BP/7/LABEL	BP/7/ID	BP/8	BP/8/LABEL	BP/8/ID	FTU	REF/1	REF/1/DOI	REF/1/NOTES	REF/2	REF/2/DOI	REF/2/NOTES	REF/3	REF/3/DOI	REF/3/NOTES
lymph node	lymph node	UBERON:0000029	Capsule	capsule of lymph node	UBERON:0002194	Capsule	capsule of lymph node	UBERON:0002194	Connective Tissue						Myofibroblast	myofibroblast cell	CL:0000186	Collagen I+, Collagen III+, Elastin+, Desmin+/-, Smooth Muscle Actin+, Vimentin +/-	ACTA2, COL1A1, COL3A1 (Predicted)	Collagen I+	HGNC: 2197	UniProt: P02452	Collagen III+	HGNC: 2201	UniProt: P02461	Elastin+	HGNC: 3327	UniProt: P15502	Desmin+	HGNC: 2770	UniProt: P17661	Smooth Muscle Actin+	HBNC: 130	UniProt: P62736						UniProt: P08670					Willard-Mack, C. L. Normal Structure, Function, and Histology of Lymph Nodes. Toxicol Pathol 2006, 34 (5), 409–424. https://doi.org/10.1080/01926230600867727	https://doi.org/10.1080/01926230600867727		Toccanier-Pelte MF, Skalli O, Kapanci Y, Gabbiani G. Characterization of stromal cells with myoid features in lymph nodes and spleen in normal and pathologic conditions. Am J Pathol. 1987;129(1):109-118.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1899700	B	Šajdíková, M., & Fontana, J. (2014). Lymphatic System and Immunity / Lymphatic vessels and lymph. In Functions of Cells and Human Body. Prague: 3rd Faculty of Medicine, Charles Universit.	https://books.apple.com/us/book/functions-of-cells-and-human-body/id813370601	AS-CT, B
lymph node	lymph node	UBERON:0000029	Capsule	capsule of lymph node	UBERON:0002194	Capsule	capsule of lymph node	UBERON:0002194	Blood Vessels						Blood Vessel Endothelial Cell			CD31+, CD34+, CD59+, CD105+, CD144+, Podoplanin-, PROX-1-	CAV1, CCL14, CD34, CD74, CD209, CD300LG, DARC, EMCN, ESAM, ICAM1, JAM2, HLA-DRA, HLA-DRB1, HLA-DPA1, HLA-DPB1, MARCO, PLVAP, PVRL2, SPARCL1, (PECAM1 inferred) (general signature from Takeda 2020)	CD31+	HGNC:8823	UniProt: P16284	CD34+	HGNC: 1662	UniProt: P28906	CD59+	HGNC: 1689	UniProt: P13987	CD105+	HGNC: 3349	UniProt: P17813	CD144+	HGNC: 1764	UniProt: P33151											Park SM, Angel CE, McIntosh JD, Mansell C, Chen CJ, Cebon J, Dunbar PR. Mapping the distinctive populations of lymphatic endothelial cells in different zones of human lymph nodes. PLoS One. 2014 Apr 14;9(4):e94781. doi: 10.1371/journal.pone.0094781. Erratum in: PLoS One. 2014;9(8):e106814. Mansell, Claudia M [corrected to Mansell, Claudia J]. PMID: 24733110; PMCID: PMC3986404.	 DOI: 10.1371/journal.pone.0094781		Pusztaszeri MP, Seelentag W, Bosman FT. Immunohistochemical Expression of Endothelial Markers CD31, CD34, von Willebrand Factor, and Fli-1 in Normal Human Tissues. Journal of Histochemistry & Cytochemistry. 2006;54(4):385-395. doi:10.1369/jhc.4A6514.2005	https://doi.org/10.1369/jhc.4A6514.2005				
lymph node	lymph node	UBERON:0000029	Capsule	capsule of lymph node	UBERON:0002194	Trabeculae	trabecula of lymph node	UBERON:0002195	Connective Tissue						Myofibroblast	myofibroblast cell	CL:0000186	Collagen I+, Collagen III+, Elastin+,  Desmin+/-, Smooth Muscle Actin+, Vimentin +/-	ACTA2, COL1A1, COL3A1 (Predicted)	Collagen I+	HGNC: 2197	UniProt: P02452	Collagen III+	HGNC: 2201	UniProt: P02461	Elastin+	HGNC: 3327	UniProt: P15502	Desmin+	HGNC: 2770	UniProt: P17661	Smooth Muscle Actin+	HGNC:130	UniProt: P62736											Šajdíková, M., & Fontana, J. (2014). Lymphatic System and Immunity / Lymphatic vessels and lymph. In Functions of Cells and Human Body. Prague: 3rd Faculty of Medicine, Charles Universit.	https://books.apple.com/us/book/functions-of-cells-and-human-body/id813370601	AS-CT, B	Folse, D.S. , Bethard, G.A. , Granholm, N.A. : Smooth muscle in lymph node capsule and trabeculae. Anat. Rec., 183: 517–522, 1975.	https://doi.org/10.1002/ar.1091830404				
lymph node	lymph node	UBERON:0000029	Capsule	capsule of lymph node	UBERON:0002194	Trabeculae	trabecula of lymph node	UBERON:0002195	Blood Vessels						Blood Vessel Endothelial Cell			CD31+, CD34+, CD105+, CD144+, Podoplanin-, PROX-1- 	CAV1, CCL14, CD34, CD74, CD209, CD300LG, DARC, EMCN, ESAM, ICAM1, JAM2, HLA-DRA, HLA-DRB1, HLA-DPA1, HLA-DPB1, MARCO, PLVAP, PVRL2, SPARCL1, (PECAM1 inferred) (general signature from Takeda 2020)	CD31+	HGNC:8823	UniProt: P16284	CD34+	HGNC: 1662	UniProt: P28906	CD105+	HGNC: 3349	UniProt: P17813	CD144+	HGNC: 1764	UniProt: P33151														Park SM, Angel CE, McIntosh JD, Mansell C, Chen CJ, Cebon J, Dunbar PR. Mapping the distinctive populations of lymphatic endothelial cells in different zones of human lymph nodes. PLoS One. 2014 Apr 14;9(4):e94781. doi: 10.1371/journal.pone.0094781. Erratum in: PLoS One. 2014;9(8):e106814. Mansell, Claudia M [corrected to Mansell, Claudia J]. PMID: 24733110; PMCID: PMC3986404.	DOI: 10.1371/journal.pone.0094781		Pusztaszeri MP, Seelentag W, Bosman FT. Immunohistochemical Expression of Endothelial Markers CD31, CD34, von Willebrand Factor, and Fli-1 in Normal Human Tissues. Journal of Histochemistry & Cytochemistry. 2006;54(4):385-395. doi:10.1369/jhc.4A6514.2005	https://doi.org/10.1369/jhc.4A6514.2005				
lymph node	lymph node	UBERON:0000029	Capsule	capsule of lymph node	UBERON:0002194	Trabeculae	trabecula of lymph node	UBERON:0002195	Blood Vessels						Pericytes	pericyte cell	CL:0000669	PDGFRalpha+, PDGFRbeta+	PDGFRalpha+, PDGFRbeta+ (Xiang et al., 2020)	PDGFRalpha+	HGNC:8803	UniProt: P16234	PDGFRbeta+	HGNC:8804	UniProt: P09619																				Xiang M, Grosso RA, Takeda A, Pan J, Bekkhus T, Brulois K, Dermadi D, Nordling S, Vanlandewijck M, Jalkanen S, Ulvmar MH and Butcher EC (2020) A Single-Cell Transcriptional Roadmap of the Mouse and Human Lymph Node Lymphatic Vasculature. Front. Cardiovasc. Med. 7:52. doi: 10.3389/fcvm.2020.00052	https://doi.org/10.3389/fcvm.2020.00052	AS-CT, CT-B						
lymph node	lymph node	UBERON:0000029	Sinus		William-Mack 2016, Medeiros 2017	Afferent lymphatic vessel	afferent lymphatic vessel	UBERON:0010396	Lymphatic Vessels						Lymphatic Endothelial Cell			ACKR4+, CAV1+, CD31+, CD45-, CD73+, Claudin11-, Lyve1-, MARCO-, MFAP4+, Podoplanin+, Prox-1+, TNFRSF9- 	ACKR4, CAV1, NUDT4, NT5E (Takeda et al., 2019; Xiang et al., 2020)	ACKR4+	HGNC:1611	UniProt: Q9NPB9	CAV1+	HGNC: 1527	UniProt: Q03135	CD31+	HGNC: 8823	UniProt: P16284	CD73+	HGNC: 8021	UniProt: P21589	MFAP4+	HGNC: 7035	UniProt: P55083	Podoplanin+	HGNC: 29602	UniProt: Q86YL7	PROX-1+	HGNC: 9459	UniProt: Q92786					Xiang M, Grosso RA, Takeda A, Pan J, Bekkhus T, Brulois K, Dermadi D, Nordling S, Vanlandewijck M, Jalkanen S, Ulvmar MH and Butcher EC (2020) A Single-Cell Transcriptional Roadmap of the Mouse and Human Lymph Node Lymphatic Vasculature. Front. Cardiovasc. Med. 7:52. doi: 10.3389/fcvm.2020.00052	https://doi.org/10.3389/fcvm.2020.00052		Takeda A, Hollmén M, Dermadi D, Pan J, Brulois KF, Kaukonen R, Lönnberg T, Boström P, Koskivuo I, Irjala H, Miyasaka M, Salmi M, Butcher EC, Jalkanen S. Single-Cell Survey of Human Lymphatics Unveils Marked Endothelial Cell Heterogeneity and Mechanisms of Homing for Neutrophils. Immunity. 2019 Sep 17;51(3):561-572.e5. doi: 10.1016/j.immuni.2019.06.027. Epub 2019 Aug 8. PMID: 31402260.	DOI: 10.1016/j.immuni.2019.06.027				
lymph node	lymph node	UBERON:0000029	Sinus			Afferent lymphatic vessel	afferent lymphatic vessel	UBERON:0010396	Lymphatic Vessels						Smooth Muscle Cell			Smooth Muscle Actin+	ACTA2 (Predicted)	Smooth Muscle Actin+	HGNC:130	UniProt: P62736																							Jalkanen and Salmi, 2020	https://www.nature.com/articles/s41577-020-0281-x	AS-CT	Breslin JW, Yang Y, Scallan JP, Sweat RS, Adderley SP, Murfee WL. Lymphatic Vessel Network Structure and Physiology. Compr Physiol. 2018;9(1):207-299. Published 2018 Dec 13. 	 doi:10.1002/cphy.c180015	B			
lymph node	lymph node	UBERON:0000029	Sinus			Subcapsular Sinus	subcapsular sinus of lymph node	UBERON:0005463							Macrophage	lymph node subcapsular sinus macrophage	CL:0000887	CD4+, CD11c+, CD14+, CD68+, CD163+, CD169+, CD206+, DC-SIGN+	CD4, CD14, HLA-DRA, ITGAX (General macrophage signature from James et al., 2020);  Predicted: CD68, CD163, CD209, MRC1, SIGLEC1	CD4+	HGNC: 1678	UniProt: P01730	CD11c+	HGNC: 6152	UniProt: P20702	CD14+	HGNC: 1628	UniProt: P08571	CD68+	HGNC: 1693	UniProt: P34810	CD163+	HGNC: 1631	UniProt: Q86VB7	CD169+	HGNC: 11127	UniProt: Q9BZZ2	CD206+	HGNC: 7228	UniProt: P22897	DC-SIGN+	HGNC: 1641	UniProt: Q9NNX6		Catherine E. Angel, Chun-Jen J. Chen, Oliver C. Horlacher, Sintia Winkler, Thomas John, Judy Browning, Duncan MacGregor, Jonathan Cebon, P. Rod Dunbar; Distinctive localization of antigen-presenting cells in human lymph nodes. Blood 2009; 113 (6): 1257–1267. doi: https://doi.org/10.1182/blood-2008-06-165266	"https://doi.org/10.1182/blood-2008-06-165266
"		Nguyen TT, Schwartz EJ, West RB, Warnke RA, Arber DA, Natkunam Y. Expression of CD163 (hemoglobin scavenger receptor) in normal tissues, lymphomas, carcinomas, and sarcomas is largely restricted to the monocyte/macrophage lineage. Am J Surg Pathol. 2005 May;29(5):617-24. doi: 10.1097/01.pas.0000157940.80538.ec. PMID: 15832085.	DOI: 10.1097/01.pas.0000157940.80538.ec		Egan C, Jaffe ES. Non-neoplastic histiocytic and dendritic cell disorders in lymph nodes. Semin Diagn Pathol. 2018 Jan;35(1):20-33. doi: 10.1053/j.semdp.2017.11.002. Epub 2017 Nov 3. PMID: 29150219; PMCID: PMC5803315.	DOI: 10.1053/j.semdp.2017.11.002	
lymph node	lymph node	UBERON:0000029	Sinus			Subcapsular Sinus	subcapsular sinus of lymph node	UBERON:0005463							Blood Vessel Endothelial Cell			CD31+, CD34+, CD105+, CD144+,  Podoplanin-, PROX-1- 	CAV1, CCL14, CD34, CD74, CD209, CD300LG, DARC, EMCN, ESAM, ICAM1, JAM2, HLA-DRA, HLA-DRB1, HLA-DPA1, HLA-DPB1, MARCO, PLVAP, PVRL2, SPARCL1, (PECAM1 inferred) (general signature from Takeda 2020)																										Park SM, Angel CE, McIntosh JD, Mansell C, Chen CJ, Cebon J, Dunbar PR. Mapping the distinctive populations of lymphatic endothelial cells in different zones of human lymph nodes. PLoS One. 2014 Apr 14;9(4):e94781. doi: 10.1371/journal.pone.0094781. Erratum in: PLoS One. 2014;9(8):e106814. Mansell, Claudia M [corrected to Mansell, Claudia J]. PMID: 24733110; PMCID: PMC3986404.	DOI: 10.1371/journal.pone.0094781		Pusztaszeri MP, Seelentag W, Bosman FT. Immunohistochemical Expression of Endothelial Markers CD31, CD34, von Willebrand Factor, and Fli-1 in Normal Human Tissues. Journal of Histochemistry & Cytochemistry. 2006;54(4):385-395. doi:10.1369/jhc.4A6514.2005	https://doi.org/10.1369/jhc.4A6514.2005				
lymph node	lymph node	UBERON:0000029	Sinus			Subcapsular Sinus	subcapsular sinus of lymph node	UBERON:0005463							Fibroblastic Reticular Cell	Link 2011, Fletcher 2011, Valencia 2017		CD31-, CXCL13+, Desmin+, Podoplanin+, Smooth Muscle Actin+, Vimentin+  	CXCL13, ENPP2, TNFSF11 (Predicted from mouse-Rodda et al., 2018)																										Link A, Hardie DL, Favre S, Britschgi MR, Adams DH, Sixt M, Cyster JG, Buckley CD, Luther SA. Association of T-zone reticular networks and conduits with ectopic lymphoid tissues in mice and humans. Am J Pathol. 2011 Apr;178(4):1662-75. doi: 10.1016/j.ajpath.2010.12.039. PMID: 21435450; PMCID: PMC3070229.	DOI: 10.1016/j.ajpath.2010.12.039		Fletcher AL, Malhotra D, Acton SE, Lukacs-Kornek V, Bellemare-Pelletier A, Curry M, Armant M, Turley SJ. Reproducible isolation of lymph node stromal cells reveals site-dependent differences in fibroblastic reticular cells. Front Immunol. 2011 Sep 12;2:35. doi: 10.3389/fimmu.2011.00035. PMID: 22566825; PMCID: PMC3342056.	DOI: 10.3389/fimmu.2011.00035		Valencia J, Jiménez E, Martínez VG, Del Amo BG, Hidalgo L, Entrena A, Fernández-Sevilla LM, Del Río F, Varas A, Vicente Á, Sacedón R. Characterization of human fibroblastic reticular cells as potential immunotherapeutic tools. Cytotherapy. 2017 May;19(5):640-653. doi: 10.1016/j.jcyt.2017.01.010. Epub 2017 Mar 2. PMID: 28262465.	https://doi.org/10.1016/j.jcyt.2017.01.010	AS-CT
