Upper AS	Upper AS/label	Upper AS/ID	AS Name	References/ID	References/DOI
ovary	ovary	UBERON:0000992	central ovary	ISBN: 978-1496398949 ; PMID: 4143757 ; DOI: 10.1371/journal.pone.0055578 ; DOI: 10.1016/0090-8258(79)90005-2 ; PMID: 13774016	Mills, Stacey E. Histology for Pathologists. Fifth edition. Philadelphia: Lippincott Williams & Wilkins, 2020. ; Reeves, G. Specific Stroma In The Cortex And Medulla Of The Ovary. Cell Types And Vascular Supply In Relation To Follicular Apparatus And Ovulation. Obstet. Gynecol. Surv. 27, 179-181 (1971). ; Hummitzsch K, Irving-Rodgers HF, Hatzirodos N, et al. A new model of development of the mammalian ovary and follicles. PLoS One 2013;8:e55578 ; Blaustein A, Lee H. Surface cells of the ovary and pelvic peritoneum: A histochemical and ultrastructural comparison. Gynecol Oncol 1979;8:34-43 ; McKay, D., Pinkerton, J., Hertig, A. & Danziger, S. (1961). The Adult Human Ovary: A Histochemical Study. Obstetrics & Gynecology, 18(1), 13-39. 
central ovary			central inferior ovary	ISBN: 978-1496398949 ; PMID: 4143757 ; DOI: 10.1371/journal.pone.0055578 ; DOI: 10.1016/0090-8258(79)90005-2 ; PMID: 13774016	Mills, Stacey E. Histology for Pathologists. Fifth edition. Philadelphia: Lippincott Williams & Wilkins, 2020. ; Reeves, G. Specific Stroma In The Cortex And Medulla Of The Ovary. Cell Types And Vascular Supply In Relation To Follicular Apparatus And Ovulation. Obstet. Gynecol. Surv. 27, 179-181 (1971). ; Hummitzsch K, Irving-Rodgers HF, Hatzirodos N, et al. A new model of development of the mammalian ovary and follicles. PLoS One 2013;8:e55578 ; Blaustein A, Lee H. Surface cells of the ovary and pelvic peritoneum: A histochemical and ultrastructural comparison. Gynecol Oncol 1979;8:34-43 ; McKay, D., Pinkerton, J., Hertig, A. & Danziger, S. (1961). The Adult Human Ovary: A Histochemical Study. Obstetrics & Gynecology, 18(1), 13-39. 
central inferior ovary			central inferior antimesenteric ovary	ISBN: 978-1496398949 ; PMID: 4143757 ; DOI: 10.1371/journal.pone.0055578 ; DOI: 10.1016/0090-8258(79)90005-2 ; PMID: 13774016	Mills, Stacey E. Histology for Pathologists. Fifth edition. Philadelphia: Lippincott Williams & Wilkins, 2020. ; Reeves, G. Specific Stroma In The Cortex And Medulla Of The Ovary. Cell Types And Vascular Supply In Relation To Follicular Apparatus And Ovulation. Obstet. Gynecol. Surv. 27, 179-181 (1971). ; Hummitzsch K, Irving-Rodgers HF, Hatzirodos N, et al. A new model of development of the mammalian ovary and follicles. PLoS One 2013;8:e55578 ; Blaustein A, Lee H. Surface cells of the ovary and pelvic peritoneum: A histochemical and ultrastructural comparison. Gynecol Oncol 1979;8:34-43 ; McKay, D., Pinkerton, J., Hertig, A. & Danziger, S. (1961). The Adult Human Ovary: A Histochemical Study. Obstetrics & Gynecology, 18(1), 13-39. 
ovary	ovary	UBERON:0000992	central ovary		
central ovary			central inferior ovary		
central inferior ovary			central inferior antimesenteric ovary		
central inferior antimesenteric ovary			ovarian corticomedullary junction		
central inferior ovary			central inferior mesenteric ovary	ISBN: 978-1496398949 ; PMID: 4143757 ; DOI: 10.1371/journal.pone.0055578 ; DOI: 10.1016/0090-8258(79)90005-2 ; PMID: 13774016	Mills, Stacey E. Histology for Pathologists. Fifth edition. Philadelphia: Lippincott Williams & Wilkins, 2020. ; Reeves, G. Specific Stroma In The Cortex And Medulla Of The Ovary. Cell Types And Vascular Supply In Relation To Follicular Apparatus And Ovulation. Obstet. Gynecol. Surv. 27, 179-181 (1971). ; Hummitzsch K, Irving-Rodgers HF, Hatzirodos N, et al. A new model of development of the mammalian ovary and follicles. PLoS One 2013;8:e55578 ; Blaustein A, Lee H. Surface cells of the ovary and pelvic peritoneum: A histochemical and ultrastructural comparison. Gynecol Oncol 1979;8:34-43 ; McKay, D., Pinkerton, J., Hertig, A. & Danziger, S. (1961). The Adult Human Ovary: A Histochemical Study. Obstetrics & Gynecology, 18(1), 13-39. 
central inferior ovary			central inferior mesenteric ovary		
central inferior mesenteric ovary			ovarian corticomedullary junction		
central ovary			central superior ovary	ISBN: 978-1496398949 ; PMID: 4143757 ; DOI: 10.1371/journal.pone.0055578 ; DOI: 10.1016/0090-8258(79)90005-2 ; PMID: 13774016	Mills, Stacey E. Histology for Pathologists. Fifth edition. Philadelphia: Lippincott Williams & Wilkins, 2020. ; Reeves, G. Specific Stroma In The Cortex And Medulla Of The Ovary. Cell Types And Vascular Supply In Relation To Follicular Apparatus And Ovulation. Obstet. Gynecol. Surv. 27, 179-181 (1971). ; Hummitzsch K, Irving-Rodgers HF, Hatzirodos N, et al. A new model of development of the mammalian ovary and follicles. PLoS One 2013;8:e55578 ; Blaustein A, Lee H. Surface cells of the ovary and pelvic peritoneum: A histochemical and ultrastructural comparison. Gynecol Oncol 1979;8:34-43 ; McKay, D., Pinkerton, J., Hertig, A. & Danziger, S. (1961). The Adult Human Ovary: A Histochemical Study. Obstetrics & Gynecology, 18(1), 13-39. 
central superior ovary			central superior antimesenteric ovary	ISBN: 978-1496398949 ; PMID: 4143757 ; DOI: 10.1371/journal.pone.0055578 ; DOI: 10.1016/0090-8258(79)90005-2 ; PMID: 13774016	Mills, Stacey E. Histology for Pathologists. Fifth edition. Philadelphia: Lippincott Williams & Wilkins, 2020. ; Reeves, G. Specific Stroma In The Cortex And Medulla Of The Ovary. Cell Types And Vascular Supply In Relation To Follicular Apparatus And Ovulation. Obstet. Gynecol. Surv. 27, 179-181 (1971). ; Hummitzsch K, Irving-Rodgers HF, Hatzirodos N, et al. A new model of development of the mammalian ovary and follicles. PLoS One 2013;8:e55578 ; Blaustein A, Lee H. Surface cells of the ovary and pelvic peritoneum: A histochemical and ultrastructural comparison. Gynecol Oncol 1979;8:34-43 ; McKay, D., Pinkerton, J., Hertig, A. & Danziger, S. (1961). The Adult Human Ovary: A Histochemical Study. Obstetrics & Gynecology, 18(1), 13-39. 
central ovary			central superior ovary		
central superior ovary			central superior antimesenteric ovary		
central superior antimesenteric ovary			ovarian corticomedullary junction		
central superior ovary			central superior mesenteric ovary	ISBN: 978-1496398949 ; PMID: 4143757 ; DOI: 10.1371/journal.pone.0055578 ; DOI: 10.1016/0090-8258(79)90005-2 ; PMID: 13774016	Mills, Stacey E. Histology for Pathologists. Fifth edition. Philadelphia: Lippincott Williams & Wilkins, 2020. ; Reeves, G. Specific Stroma In The Cortex And Medulla Of The Ovary. Cell Types And Vascular Supply In Relation To Follicular Apparatus And Ovulation. Obstet. Gynecol. Surv. 27, 179-181 (1971). ; Hummitzsch K, Irving-Rodgers HF, Hatzirodos N, et al. A new model of development of the mammalian ovary and follicles. PLoS One 2013;8:e55578 ; Blaustein A, Lee H. Surface cells of the ovary and pelvic peritoneum: A histochemical and ultrastructural comparison. Gynecol Oncol 1979;8:34-43 ; McKay, D., Pinkerton, J., Hertig, A. & Danziger, S. (1961). The Adult Human Ovary: A Histochemical Study. Obstetrics & Gynecology, 18(1), 13-39. 
central superior ovary			central superior mesenteric ovary		
central superior mesenteric ovary			ovarian corticomedullary junction		
